ReleaseDate,StateAbbreviation,None,D0,D1,D2,D3,D4
20181030,AZ,0,100,86.67,42.72,12.6,4.32
20181023,AZ,0,100,90.48,42.72,12.6,4.32
20181016,AZ,0,100,90.48,42.72,16.14,4.32
20181009,AZ,0,100,96.37,53.88,23.64,6.94
20181002,AZ,0,100,98.76,76.99,34.12,8.62
20180925,AZ,0,100,100,83.98,41.92,8.62
20180918,AZ,0,100,100,83.98,41.92,8.62
20180911,AZ,0,100,100,83.98,41.92,8.62
20180904,AZ,0,100,100,89.67,48.23,8.62
20180828,AZ,0,100,100,90.79,48.23,8.62
20180821,AZ,0,100,100,91.01,48.23,8.62
20180814,AZ,0,100,100,91.01,48.23,8.62
20180807,AZ,0,100,100,91.01,57.13,10.55
20180731,AZ,0,100,100,91.01,57.65,10.55
20180724,AZ,0,100,100,97.05,64.56,10.55
20180717,AZ,0,100,100,97.05,72.4,14.95
20180710,AZ,0,100,100,97.05,73.62,15.71
20180703,AZ,0,100,100,97.05,73.62,15.71
20180626,AZ,0,100,100,97.05,73.62,15.71
20180619,AZ,0,100,100,97.05,73.62,15.71
20180612,AZ,0,100,100,97.05,73.62,15.71
20180605,AZ,0,100,100,97.05,73.61,15.71
20180529,AZ,0,100,100,97.05,73.61,15.71
20180522,AZ,0,100,100,97.05,73.2,15.71
20180515,AZ,0,100,100,97.07,63.08,10.33
20180508,AZ,0,100,100,95.98,63.06,9.62
20180501,AZ,0,100,100,95.98,60.35,9.62
20180424,AZ,0,100,100,93.05,47.96,9.62
20180417,AZ,0,100,100,92.63,47.56,4.31
20180410,AZ,0,100,100,92.63,47.56,3.98
20180403,AZ,0,100,100,92.63,47.49,0
20180327,AZ,0,100,100,89.47,46.49,0
20180320,AZ,0,100,100,84.16,35.29,0
20180313,AZ,0,100,100,84.16,23.77,0
20180306,AZ,0,100,100,84.09,23.77,0
20180227,AZ,0,100,100,73.22,9.27,0
20180220,AZ,0,100,100,73.22,9.27,0
20180213,AZ,0,100,100,73.41,8.91,0
20180206,AZ,0,100,100,65.32,8.91,0
20180130,AZ,0,100,100,64.27,8.91,0
20180123,AZ,0,100,100,51.06,0,0
20180116,AZ,0,100,100,28.73,0,0
20180109,AZ,0,100,100,28.73,0,0
20180102,AZ,0,100,100,28.66,0,0
20171226,AZ,0,100,100,3.96,0,0
20171219,AZ,0,100,100,3.96,0,0
20171212,AZ,0,100,97.28,2.05,0,0
20171205,AZ,0,100,97.28,2.05,0,0
20171128,AZ,0,100,73.1,2.05,0,0
20171121,AZ,8.61,91.39,44.65,2.05,0,0
20171114,AZ,8.61,91.39,44.26,2.05,0,0
20171107,AZ,9.34,90.66,44.26,2.05,0,0
20171031,AZ,20.98,79.02,41.27,2.05,0,0
20171024,AZ,28.63,71.37,25.9,0,0,0
20171017,AZ,37.91,62.09,10.69,0,0,0
20171010,AZ,38,62,10.69,0,0,0
20171003,AZ,37.51,62.49,10.69,0,0,0
20170926,AZ,45.38,54.62,10.69,0,0,0
