county,state,none,D0,D1,D2,D3,D4,year,month
"Beaverhead County",MT,0.00,100.00,100.00,100.00,72.87,37.68,2004,12
"Beaverhead County",MT,0.00,100.00,100.00,100.00,72.87,37.68,2004,12
"Beaverhead County",MT,0.57,99.43,95.12,89.35,63.40,33.87,2004,12
"Beaverhead County",MT,0.57,99.43,95.69,88.60,63.40,33.87,2004,12
"Beaverhead County",MT,0.57,99.43,95.12,88.60,63.40,33.87,2004,11
"Beaverhead County",MT,0.17,99.83,96.10,86.00,68.75,33.87,2004,11
"Beaverhead County",MT,0.17,99.83,96.10,86.00,68.75,33.87,2004,11
"Beaverhead County",MT,0.17,99.83,96.10,86.00,68.75,33.87,2004,11
"Beaverhead County",MT,0.17,99.83,96.10,86.00,68.75,33.87,2004,11
"Beaverhead County",MT,0.00,100.00,96.10,86.00,68.75,33.87,2004,10
"Beaverhead County",MT,0.00,100.00,96.10,86.00,68.75,33.87,2004,10
"Beaverhead County",MT,0.00,100.00,96.10,86.00,68.75,33.87,2004,10
"Beaverhead County",MT,0.00,100.00,96.10,86.00,68.75,33.87,2004,10
"Beaverhead County",MT,0.00,100.00,96.10,86.00,68.75,33.87,2004,09
"Beaverhead County",MT,0.00,100.00,99.94,90.38,68.75,33.87,2004,09
"Beaverhead County",MT,0.00,100.00,100.00,96.77,68.75,33.87,2004,09
"Beaverhead County",MT,0.00,100.00,100.00,96.77,83.25,50.08,2004,09
"Beaverhead County",MT,0.00,100.00,100.00,96.77,84.06,50.08,2004,08
"Beaverhead County",MT,0.00,100.00,100.00,96.77,84.06,53.16,2004,08
"Beaverhead County",MT,0.00,100.00,100.00,96.77,84.06,53.71,2004,08
"Beaverhead County",MT,0.00,100.00,100.00,96.77,84.06,53.71,2004,08
"Beaverhead County",MT,0.00,100.00,100.00,96.77,84.06,53.71,2004,08
"Beaverhead County",MT,0.00,100.00,100.00,96.77,84.06,53.71,2004,07
"Beaverhead County",MT,0.00,100.00,100.00,96.77,84.70,53.71,2004,07
"Beaverhead County",MT,0.00,100.00,100.00,96.77,84.70,53.71,2004,07
"Beaverhead County",MT,0.00,100.00,100.00,96.77,84.70,53.71,2004,07
"Beaverhead County",MT,0.00,100.00,100.00,97.11,84.70,53.71,2004,06
"Beaverhead County",MT,0.00,100.00,100.00,97.11,84.70,53.71,2004,06
"Beaverhead County",MT,0.00,100.00,100.00,97.22,84.70,53.47,2004,06
"Beaverhead County",MT,0.00,100.00,100.00,97.22,84.70,53.47,2004,06
"Beaverhead County",MT,0.00,100.00,100.00,100.00,90.71,55.57,2004,06
"Beaverhead County",MT,0.00,100.00,100.00,100.00,90.71,55.57,2004,05
"Beaverhead County",MT,0.00,100.00,100.00,100.00,98.42,70.19,2004,05
"Beaverhead County",MT,0.00,100.00,100.00,100.00,98.42,70.19,2004,05
