state,year,month,D0,D1,D2,D3,D4
NM,2000,01,86.5,1.7,0.1,0.0,0.0
NM,2000,02,99.4,24.6,1.3,0.0,0.0
NM,2000,03,86.3,46.2,9.2,0.0,0.0
NM,2000,04,67.1,39.1,16.0,0.0,0.0
NM,2000,05,78.4,56.3,31.7,2.7,0.0
NM,2000,06,97.1,71.0,50.8,9.6,0.0
NM,2000,07,78.2,15.5,0.0,0.0,0.0
NM,2000,08,55.8,8.7,0.6,0.0,0.0
NM,2000,09,76.1,39.8,19.5,0.0,0.0
NM,2000,10,80.0,50.9,24.0,0.2,0.0
NM,2000,11,46.5,6.6,0.0,0.0,0.0
NM,2000,12,43.7,6.4,0.0,0.0,0.0
NM,2001,01,31.1,4.9,0.0,0.0,0.0
NM,2001,02,20.6,0.0,0.0,0.0,0.0
NM,2001,03,20.6,0.0,0.0,0.0,0.0
NM,2001,04,20.6,0.0,0.0,0.0,0.0
NM,2001,05,11.8,0.1,0.0,0.0,0.0
NM,2001,06,11.0,1.9,0.0,0.0,0.0
NM,2001,07,27.9,7.0,0.5,0.0,0.0
NM,2001,08,27.3,9.4,1.8,0.0,0.0
NM,2001,09,49.6,22.4,6.9,0.0,0.0
NM,2001,10,59.9,32.1,9.4,0.0,0.0
NM,2001,11,94.1,55.2,15.7,2.9,0.0
NM,2001,12,89.6,58.0,15.0,2.0,0.0
NM,2002,01,92.1,60.3,14.8,1.6,0.0
NM,2002,02,91.9,66.7,5.2,0.4,0.0
NM,2002,03,99.5,93.0,16.1,0.0,0.0
NM,2002,04,98.5,90.0,69.3,10.7,0.0
NM,2002,05,98.3,92.3,83.1,57.4,4.2
NM,2002,06,100.0,99.8,92.8,76.6,17.2
NM,2002,07,100.0,99.5,86.2,70.1,21.5
NM,2002,08,100.0,93.0,47.9,30.2,13.7
NM,2002,09,100.0,97.7,43.5,23.2,9.5
NM,2002,10,100.0,99.5,27.1,12.3,0.1
NM,2002,11,100.0,80.3,23.0,4.9,0.0
NM,2002,12,94.1,75.9,20.6,3.0,0.0
NM,2003,01,92.3,71.0,17.3,3.5,0.0
NM,2003,02,94.9,69.7,18.7,4.8,0.0
NM,2003,03,98.3,68.6,16.8,4.1,0.0
