California, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189507,1.23,1.05
189607,2.89,2.71
189707,-1.35,-1.53
189807,-1.81,-1.99
189907,0.85,0.67
190007,1.40,1.22
190107,1.82,1.64
190207,1.67,1.49
190307,-0.70,-0.88
190407,1.72,1.54
190507,2.34,2.16
190607,5.77,5.59
190707,4.59,4.41
190807,0.92,0.74
190907,-1.53,-1.71
191007,-2.44,-2.62
191107,2.40,2.22
191207,2.61,2.43
191307,1.74,1.56
191407,-0.21,-0.39
191507,3.74,3.56
191607,0.16,-0.02
191707,0.79,0.61
191807,-2.55,-2.73
191907,-1.79,-1.97
192007,0.77,0.59
192107,0.97,0.79
192207,0.29,0.11
192307,1.52,1.34
192407,-6.03,-6.21
192507,2.20,2.02
192607,-0.51,-0.69
192707,1.92,1.74
192807,-1.19,-1.37
192907,-1.28,-1.46
193007,-0.88,-1.06
193107,-3.31,-3.49
193207,-0.10,-0.28
193307,1.29,1.11
193407,-3.61,-3.79
193507,-0.42,-0.60
193607,-0.36,-0.54
193707,0.34,0.16
193807,0.12,-0.06
193907,-2.36,-2.54
194007,-1.38,-1.56
194107,4.22,4.04
194207,4.12,3.94
194307,2.26,2.08
194407,1.32,1.14
194507,0.84,0.66
194607,-1.84,-2.02
194707,-2.39,-2.57
194807,3.05,2.87
194907,-1.09,-1.27
195007,-1.40,-1.58
195107,-0.49,-0.67
195207,2.66,2.48
195307,3.02,2.84
195407,-0.46,-0.64
195507,0.85,0.67
195607,0.86,0.68
195707,2.16,1.98
195807,4.70,4.52
195907,-4.04,-4.22
196007,-2.54,-2.72
196107,-2.08,-2.26
196207,-1.12,-1.30
196307,2.31,2.13
196407,1.03,0.85
196507,1.26,1.08
196607,-2.75,-2.93
196707,3.08,2.90
196807,-1.77,-1.95
196907,-0.20,-0.38
197007,-1.31,-1.49
197107,1.74,1.56
197207,-2.18,-2.36
197307,-2.12,-2.30
197407,-0.43,-0.61
197507,1.22,1.04
197607,-3.90,-4.08
197707,-6.29,-6.47
197807,2.67,2.49
197907,0.15,-0.03
198007,2.38,2.20
198107,-2.49,-2.67
198207,3.09,2.91
198307,5.82,5.64
198407,0.16,-0.02
198507,-3.18,-3.36
198607,-0.94,-1.12
198707,-3.44,-3.62
198807,-1.54,-1.72
198907,-2.26,-2.44
199007,-2.83,-3.01
199107,-1.43,-1.61
199207,-2.99,-3.17
199307,3.02,2.84
199407,-2.22,-2.40
199507,6.26,6.08
199607,2.88,2.70
199707,-3.08,-3.26
199807,7.17,6.99
199907,0.50,0.32
200007,-0.80,-0.98
200107,-2.79,-2.97
200207,-3.07,-3.25
200307,-0.19,-0.37
200407,-3.26,-3.44
200507,4.58,4.40
200607,-0.68,-0.86
200707,-4.47,-4.65
200807,-4.22,-4.40
200907,-3.27,-3.45
201007,1.94,1.76
201107,3.84,3.66
201207,-1.74,-1.92
201307,-3.51,-3.69
201407,-7.01,-7.19
201507,-4.85,-5.03
201607,-2.30,-2.48
201707,-0.75,-0.93
201807,-2.43,-2.61
