Montana, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189503,2.44,2.03
189603,1.96,1.55
189703,4.74,4.33
189803,5.27,4.86
189903,4.48,4.07
190003,2.64,2.23
190103,-1.61,-2.02
190203,0.66,0.25
190303,1.51,1.10
190403,4.78,4.37
190503,-6.11,-6.52
190603,-3.88,-4.29
190703,5.13,4.72
190803,1.77,1.36
190903,3.05,2.64
191003,-0.51,-0.92
191103,-0.79,-1.20
191203,3.71,3.30
191303,4.50,4.09
191403,1.76,1.35
191503,-1.74,-2.15
191603,5.49,5.08
191703,5.77,5.36
191803,2.07,1.66
191903,-1.95,-2.36
192003,1.96,1.55
192103,-2.36,-2.77
192203,0.85,0.44
192303,-0.35,-0.76
192403,3.34,2.93
192503,1.77,1.36
192603,-0.09,-0.50
192703,1.76,1.35
192803,6.02,5.61
192903,-0.27,-0.68
193003,-0.02,-0.43
193103,-3.05,-3.46
193203,-4.90,-5.31
193303,0.97,0.56
193403,1.26,0.85
193503,-4.75,-5.16
193603,-4.04,-4.45
193703,-6.53,-6.94
193803,-4.47,-4.88
193903,-0.73,-1.14
194003,-2.53,-2.94
194103,-4.71,-5.12
194203,2.60,2.19
194303,4.12,3.71
194403,-3.18,-3.59
194503,-1.72,-2.13
194603,-0.71,-1.12
194703,4.62,4.21
194803,2.76,2.35
194903,3.21,2.80
195003,0.62,0.21
195103,2.84,2.43
195203,4.60,4.19
195303,-0.38,-0.79
195403,0.65,0.24
195503,-3.21,-3.62
195603,2.16,1.75
195703,-1.26,-1.67
195803,0.23,-0.18
195903,2.47,2.06
196003,0.07,-0.34
196103,-4.14,-4.55
196203,-0.15,-0.56
196303,1.53,1.12
196403,-1.95,-2.36
196503,3.57,3.16
196603,0.62,0.21
196703,1.28,0.87
196803,0.94,0.53
196903,3.92,3.51
197003,1.40,0.99
197103,2.94,2.53
197203,3.21,2.80
197303,-1.83,-2.24
197403,2.29,1.88
197503,0.74,0.33
197603,5.34,4.93
197703,-2.79,-3.20
197803,2.08,1.67
197903,4.01,3.60
198003,-3.59,-4.00
198103,-2.74,-3.15
198203,1.85,1.44
198303,2.05,1.64
198403,-0.51,-0.92
198503,-1.29,-1.70
198603,1.77,1.36
198703,-0.10,-0.51
198803,-3.69,-4.10
198903,0.09,-0.32
199003,1.58,1.17
199103,-1.89,-2.30
199203,-2.72,-3.13
199303,-2.54,-2.95
199403,-0.26,-0.67
199503,0.25,-0.16
199603,5.13,4.72
199703,3.74,3.33
199803,-1.22,-1.63
199903,1.22,0.81
200003,-2.12,-2.53
200103,-5.60,-6.01
200203,-6.42,-6.83
200303,-3.20,-3.61
200403,-4.71,-5.12
200503,-5.21,-5.62
200603,1.00,0.59
200703,-1.19,-1.60
200803,-2.56,-2.97
200903,0.97,0.56
201003,-2.01,-2.42
201103,4.62,4.21
201203,-1.78,-2.19
201303,-3.00,-3.41
201403,2.36,1.95
201503,-0.64,-1.05
201603,-2.86,-3.27
201703,2.01,1.60
201803,1.25,0.84
201903,0.00,-0.41
