Montana, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189505,-0.88,-1.36
189605,3.28,2.80
189705,2.46,1.98
189805,5.20,4.72
189905,4.85,4.37
190005,-0.30,-0.78
190105,0.13,-0.35
190205,1.57,1.09
190305,1.97,1.49
190405,-0.65,-1.13
190505,-5.69,-6.17
190605,1.40,0.92
190705,4.98,4.50
190805,2.97,2.49
190905,3.44,2.96
191005,-1.36,-1.84
191105,0.48,0.00
191205,4.15,3.67
191305,3.22,2.74
191405,1.15,0.67
191505,0.40,-0.08
191605,4.73,4.25
191705,5.65,5.17
191805,-0.35,-0.83
191905,-3.22,-3.70
192005,2.93,2.45
192105,-1.98,-2.46
192205,2.08,1.60
192305,0.11,-0.37
192405,1.92,1.44
192505,1.29,0.81
192605,-1.28,-1.76
192705,4.40,3.92
192805,3.63,3.15
192905,-0.04,-0.52
193005,-0.72,-1.20
193105,-4.55,-5.03
193205,-0.32,-0.80
193305,1.81,1.33
193405,-2.44,-2.92
193505,-3.77,-4.25
193605,-4.90,-5.38
193705,-7.27,-7.75
193805,0.82,0.34
193905,-1.52,-2.00
194005,-1.99,-2.47
194105,-4.49,-4.97
194205,3.37,2.89
194305,3.32,2.84
194405,-3.66,-4.14
194505,0.35,-0.13
194605,-1.45,-1.93
194705,2.85,2.37
194805,2.69,2.21
194905,-1.08,-1.56
195005,0.41,-0.07
195105,2.27,1.79
195205,-0.96,-1.44
195305,2.21,1.73
195405,0.36,-0.12
195505,0.95,0.47
195605,-0.06,-0.54
195705,0.61,0.13
195805,-1.30,-1.78
195905,2.56,2.08
196005,-0.16,-0.64
196105,-3.23,-3.71
196205,1.19,0.71
196305,1.54,1.06
196405,0.78,0.30
196505,3.76,3.28
196605,-0.59,-1.07
196705,2.00,1.52
196805,0.95,0.47
196905,2.58,2.10
197005,2.70,2.22
197105,2.46,1.98
197205,2.66,2.18
197305,-1.59,-2.07
197405,2.76,2.28
197505,2.94,2.46
197605,3.98,3.50
197705,-3.68,-4.16
197805,3.61,3.13
197905,-0.30,-0.78
198005,-3.51,-3.99
198105,1.40,0.92
198205,2.89,2.41
198305,1.44,0.96
198405,-0.51,-0.99
198505,-2.27,-2.75
198605,2.04,1.56
198705,-0.88,-1.36
198805,-4.22,-4.70
198905,0.79,0.31
199005,1.81,1.33
199105,1.30,0.82
199205,-3.47,-3.95
199305,-2.46,-2.94
199405,-0.42,-0.90
199505,1.22,0.74
199605,5.43,4.95
199705,3.69,3.21
199805,-1.66,-2.14
199905,1.49,1.01
200005,-2.60,-3.08
200105,-6.35,-6.83
200205,-5.58,-6.06
200305,-2.38,-2.86
200405,-4.40,-4.88
200505,0.17,-0.31
200605,-0.46,-0.94
200705,1.05,0.57
200805,1.09,0.61
200905,-0.59,-1.07
201005,1.39,0.91
201105,7.14,6.66
201205,-1.48,-1.96
201305,1.21,0.73
201405,1.70,1.22
201505,-0.90,-1.38
201605,-1.89,-2.37
201705,-0.59,-1.07
201805,1.74,1.26
201905,1.04,0.56
202005,3.06,2.58
202105,-1.67,-2.15
