Nevada, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189507,3.10,3.04
189607,2.53,2.47
189707,1.67,1.61
189807,-0.79,-0.85
189907,1.57,1.51
190007,-2.83,-2.89
190107,-0.52,-0.58
190207,-1.14,-1.20
190307,-0.23,-0.29
190407,0.07,0.01
190507,-1.00,-1.06
190607,4.62,4.56
190707,6.74,6.68
190807,2.82,2.76
190907,-1.08,-1.14
191007,-2.39,-2.45
191107,2.20,2.14
191207,-0.47,-0.53
191307,1.66,1.60
191407,4.51,4.45
191507,-0.35,-0.41
191607,0.97,0.91
191707,4.22,4.16
191807,0.31,0.25
191907,-2.22,-2.28
192007,0.78,0.72
192107,-0.89,-0.95
192207,3.51,3.45
192307,2.33,2.27
192407,-5.16,-5.22
192507,0.76,0.70
192607,-4.14,-4.20
192707,-1.75,-1.81
192807,-3.80,-3.86
192907,-4.01,-4.07
193007,-3.72,-3.78
193107,-5.56,-5.62
193207,4.12,4.06
193307,-1.81,-1.87
193407,-6.79,-6.85
193507,-0.15,-0.21
193607,0.52,0.46
193707,1.35,1.29
193807,4.40,4.34
193907,-1.79,-1.85
194007,-2.11,-2.17
194107,5.08,5.02
194207,4.06,4.00
194307,2.98,2.92
194407,2.18,2.12
194507,4.60,4.54
194607,1.67,1.61
194707,-1.81,-1.87
194807,-1.20,-1.26
194907,-0.11,-0.17
195007,-3.67,-3.73
195107,-2.53,-2.59
195207,5.12,5.06
195307,-2.75,-2.81
195407,-4.02,-4.08
195507,-2.94,-3.00
195607,0.70,0.64
195707,-0.80,-0.86
195807,2.05,1.99
195907,-5.00,-5.06
196007,-4.80,-4.86
196107,-3.97,-4.03
196207,1.03,0.97
196307,-0.64,-0.70
196407,-0.39,-0.45
196507,2.17,2.11
196607,-3.21,-3.27
196707,3.72,3.66
196807,-2.63,-2.69
196907,4.02,3.96
197007,0.52,0.46
197107,1.97,1.91
197207,-3.76,-3.82
197307,2.95,2.89
197407,-2.57,-2.63
197507,2.47,2.41
197607,0.35,0.29
197707,-3.68,-3.74
197807,3.42,3.36
197907,2.34,2.28
198007,4.76,4.70
198107,-3.74,-3.80
198207,1.63,1.57
198307,5.75,5.69
198407,6.63,6.57
198507,-1.58,-1.64
198607,-0.84,-0.90
198707,-1.74,-1.80
198807,-0.70,-0.76
198907,-2.92,-2.98
199007,-3.88,-3.94
199107,-2.69,-2.75
199207,-4.09,-4.15
199307,3.01,2.95
199407,-3.79,-3.85
199507,8.10,8.04
199607,-0.49,-0.55
199707,0.96,0.90
199807,8.04,7.98
199907,-0.75,-0.81
200007,-3.74,-3.80
200107,-3.70,-3.76
200207,-4.83,-4.89
200307,-4.65,-4.71
200407,-3.32,-3.38
200507,6.35,6.29
200607,-0.15,-0.21
200707,-6.08,-6.14
200807,-3.68,-3.74
200907,-2.57,-2.63
201007,-0.51,-0.57
201107,4.50,4.44
201207,-5.28,-5.34
201307,-5.59,-5.65
201407,-5.99,-6.05
201507,-5.63,-5.69
201607,-0.95,-1.01
201707,2.01,1.95
201807,-4.19,-4.25
201907,4.79,4.73
202007,-3.30,-3.36
