Oregon, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,0.51,0.61
189612,2.71,2.81
189712,1.11,1.21
189812,-1.33,-1.23
189912,2.28,2.38
190012,0.91,1.01
190112,-1.43,-1.33
190212,2.15,2.25
190312,-0.74,-0.64
190412,-1.39,-1.29
190512,-1.67,-1.57
190612,0.93,1.03
190712,0.86,0.96
190812,-1.25,-1.15
190912,-0.29,-0.19
191012,-0.45,-0.35
191112,-1.24,-1.14
191212,2.65,2.75
191312,2.29,2.39
191412,-1.66,-1.56
191512,0.83,0.93
191612,-0.90,-0.80
191712,0.38,0.48
191812,-2.51,-2.41
191912,-0.95,-0.85
192012,2.71,2.81
192112,-0.61,-0.51
192212,0.52,0.62
192312,-0.89,-0.79
192412,1.34,1.44
192512,-1.72,-1.62
192612,0.95,1.05
192712,-0.59,-0.49
192812,-3.01,-2.91
192912,-3.65,-3.55
193012,-4.02,-3.92
193112,0.49,0.59
193212,-1.47,-1.37
193312,-1.06,-0.96
193412,-1.57,-1.47
193512,-3.47,-3.37
193612,-4.06,-3.96
193712,2.41,2.51
193812,-2.32,-2.22
193912,-4.23,-4.13
194012,-1.34,-1.24
194112,3.21,3.31
194212,3.10,3.20
194312,-1.59,-1.49
194412,-2.14,-2.04
194512,1.42,1.52
194612,-0.42,-0.32
194712,1.93,2.03
194812,3.45,3.55
194912,-2.66,-2.56
195012,2.48,2.58
195112,1.78,1.88
195212,0.14,0.24
195312,2.17,2.27
195412,-1.39,-1.29
195512,2.84,2.94
195612,1.56,1.66
195712,1.22,1.32
195812,-1.31,-1.21
195912,-2.16,-2.06
196012,-0.68,-0.58
196112,-0.03,0.07
196212,-0.61,-0.51
196312,0.78,0.88
196412,3.01,3.11
196512,-1.36,-1.26
196612,-1.45,-1.35
196712,-2.51,-2.41
196812,2.29,2.39
196912,0.43,0.53
197012,1.33,1.43
197112,2.62,2.72
197212,-1.50,-1.40
197312,3.23,3.33
197412,0.06,0.16
197512,1.47,1.57
197612,-3.60,-3.50
197712,2.10,2.20
197812,-1.98,-1.88
197912,0.33,0.43
198012,-0.36,-0.26
198112,3.47,3.57
198212,3.40,3.50
198312,4.54,4.64
198412,-0.42,-0.32
198512,-0.86,-0.76
198612,-1.21,-1.11
198712,-3.15,-3.05
198812,-0.46,-0.36
198912,-2.39,-2.29
199012,-1.72,-1.62
199112,-1.48,-1.38
199212,-2.48,-2.38
199312,-2.23,-2.13
199412,0.63,0.73
199512,2.77,2.87
199612,5.06,5.16
199712,1.43,1.53
199812,2.77,2.87
199912,-1.89,-1.79
200012,-2.66,-2.56
200112,-2.01,-1.91
200212,-3.50,-3.40
200312,-2.64,-2.54
200412,-1.73,-1.63
200512,1.81,1.91
200612,1.21,1.31
200712,-1.13,-1.03
200812,-2.18,-2.08
200912,-1.57,-1.47
201012,2.96,3.06
201112,-2.16,-2.06
201212,1.82,1.92
201312,-2.29,-2.19
201412,-0.80,-0.70
201512,-1.79,-1.69
201612,1.98,2.08
201712,-1.66,-1.56
201812,-3.78,-3.68
201912,-2.18,-2.08
202012,-2.42,-2.32
