Arizona, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189509,0.81,-0.37
189609,1.37,0.19
189709,2.35,1.17
189809,0.20,-0.98
189909,0.73,-0.45
190009,1.22,0.04
190109,0.22,-0.96
190209,0.84,-0.34
190309,1.73,0.55
190409,0.57,-0.61
190509,1.93,0.75
190609,0.51,-0.67
190709,0.56,-0.62
190809,1.04,-0.14
190909,1.25,0.07
191009,0.44,-0.74
191109,2.31,1.13
191209,0.19,-0.99
191309,0.92,-0.26
191409,0.65,-0.53
191509,0.66,-0.52
191609,1.53,0.35
191709,1.12,-0.06
191809,0.49,-0.69
191909,2.25,1.07
192009,0.83,-0.35
192109,0.65,-0.53
192209,0.86,-0.32
192309,1.70,0.52
192409,0.90,-0.28
192509,1.77,0.59
192609,2.14,0.96
192709,2.43,1.25
192809,0.36,-0.82
192909,1.85,0.67
193009,0.98,-0.20
193109,1.27,0.09
193209,0.62,-0.56
193309,1.46,0.28
193409,0.53,-0.65
193509,1.41,0.23
193609,1.31,0.13
193709,1.57,0.39
193809,0.73,-0.45
193909,2.97,1.79
194009,2.73,1.55
194109,1.87,0.69
194209,0.65,-0.53
194309,1.56,0.38
194409,1.33,0.15
194509,0.20,-0.98
194609,2.10,0.92
194709,0.60,-0.58
194809,0.65,-0.53
194909,1.52,0.34
195009,0.78,-0.40
195109,0.53,-0.65
195209,1.24,0.06
195309,0.01,-1.17
195409,1.37,0.19
195509,0.08,-1.10
195609,0.07,-1.11
195709,0.05,-1.13
195809,2.52,1.34
195909,0.27,-0.91
196009,1.11,-0.07
196109,1.10,-0.08
196209,1.96,0.78
196309,1.38,0.20
196409,1.76,0.58
196509,1.34,0.16
196609,1.63,0.45
196709,1.73,0.55
196809,0.12,-1.06
196909,1.23,0.05
197009,1.91,0.73
197109,1.50,0.32
197209,0.93,-0.25
197309,0.11,-1.07
197409,1.12,-0.06
197509,1.58,0.40
197609,2.34,1.16
197709,1.32,0.14
197809,0.67,-0.51
197909,0.18,-1.00
198009,0.86,-0.32
198109,1.23,0.05
198209,1.48,0.30
198309,3.32,2.14
198409,1.72,0.54
198509,1.87,0.69
198609,1.19,0.01
198709,0.74,-0.44
198809,0.52,-0.66
198909,0.24,-0.94
199009,2.08,0.90
199109,1.12,-0.06
199209,0.53,-0.65
199309,0.35,-0.83
199409,1.40,0.22
199509,1.30,0.12
199609,1.86,0.68
199709,2.18,1.00
199809,1.44,0.26
199909,1.80,0.62
200009,0.19,-0.99
200109,0.39,-0.79
200209,1.88,0.70
200309,1.09,-0.09
200409,1.58,0.40
200509,0.42,-0.76
200609,1.42,0.24
200709,0.98,-0.20
200809,0.62,-0.56
200909,0.69,-0.49
201009,0.60,-0.58
201109,1.31,0.13
201209,1.07,-0.11
201309,1.88,0.70
201409,2.49,1.31
201509,1.37,0.19
201609,1.35,0.17
201709,0.61,-0.57
201809,0.81,-0.37
201909,1.68,0.50
202009,0.11,-1.07
