Nevada, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189505,1.38,0.40
189605,1.84,0.86
189705,0.55,-0.43
189805,2.04,1.06
189905,0.88,-0.10
190005,0.79,-0.19
190105,0.76,-0.22
190205,0.44,-0.54
190305,0.80,-0.18
190405,1.05,0.07
190505,1.28,0.30
190605,1.61,0.63
190705,0.91,-0.07
190805,1.45,0.47
190905,0.33,-0.65
191005,0.23,-0.75
191105,0.50,-0.48
191205,0.56,-0.42
191305,1.50,0.52
191405,0.58,-0.40
191505,1.38,0.40
191605,0.61,-0.37
191705,2.61,1.63
191805,0.97,-0.01
191905,0.65,-0.33
192005,0.89,-0.09
192105,1.94,0.96
192205,0.77,-0.21
192305,1.05,0.07
192405,0.09,-0.89
192505,0.98,0.00
192605,0.61,-0.37
192705,0.72,-0.26
192805,0.40,-0.58
192905,0.15,-0.83
193005,2.37,1.39
193105,0.39,-0.59
193205,1.31,0.33
193305,1.04,0.06
193405,0.28,-0.70
193505,1.26,0.28
193605,0.46,-0.52
193705,0.57,-0.41
193805,1.52,0.54
193905,0.71,-0.27
194005,0.24,-0.74
194105,1.18,0.20
194205,1.13,0.15
194305,0.38,-0.60
194405,0.56,-0.42
194505,1.27,0.29
194605,1.04,0.06
194705,1.16,0.18
194805,0.58,-0.40
194905,2.00,1.02
195005,0.53,-0.45
195105,0.63,-0.35
195205,0.39,-0.59
195305,1.06,0.08
195405,0.18,-0.80
195505,1.16,0.18
195605,1.39,0.41
195705,2.51,1.53
195805,0.61,-0.37
195905,0.85,-0.13
196005,0.41,-0.57
196105,0.68,-0.30
196205,1.73,0.75
196305,1.15,0.17
196405,1.18,0.20
196505,0.97,-0.01
196605,0.43,-0.55
196705,0.93,-0.05
196805,0.71,-0.27
196905,0.36,-0.62
197005,0.44,-0.54
197105,2.42,1.44
197205,0.33,-0.65
197305,0.73,-0.25
197405,0.15,-0.83
197505,0.81,-0.17
197605,0.65,-0.33
197705,2.29,1.31
197805,0.38,-0.60
197905,0.74,-0.24
198005,2.34,1.36
198105,1.79,0.81
198205,0.75,-0.23
198305,0.54,-0.44
198405,0.46,-0.52
198505,0.56,-0.42
198605,0.63,-0.35
198705,2.47,1.49
198805,0.88,-0.10
198905,1.14,0.16
199005,1.28,0.30
199105,1.67,0.69
199205,0.35,-0.63
199305,0.64,-0.34
199405,1.35,0.37
199505,2.70,1.72
199605,1.41,0.43
199705,0.39,-0.59
199805,2.52,1.54
199905,0.74,-0.24
200005,1.06,0.08
200105,0.16,-0.82
200205,0.40,-0.58
200305,0.90,-0.08
200405,0.59,-0.39
200505,1.99,1.01
200605,0.54,-0.44
200705,0.28,-0.70
200805,1.01,0.03
200905,0.61,-0.37
201005,1.07,0.09
201105,1.53,0.55
201205,0.30,-0.68
201305,0.70,-0.28
201405,0.79,-0.19
201505,2.11,1.13
201605,1.00,0.02
201705,0.53,-0.45
201805,1.37,0.39
