Washington, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189507,0.53,-0.37
189607,0.22,-0.68
189707,1.63,0.73
189807,0.64,-0.26
189907,0.45,-0.45
190007,0.66,-0.24
190107,0.62,-0.28
190207,1.96,1.06
190307,1.08,0.18
190407,1.06,0.16
190507,0.57,-0.33
190607,0.24,-0.66
190707,1.00,0.10
190807,1.21,0.31
190907,1.78,0.88
191007,0.16,-0.74
191107,0.34,-0.56
191207,1.18,0.28
191307,0.80,-0.10
191407,0.38,-0.52
191507,1.69,0.79
191607,2.28,1.38
191707,0.23,-0.67
191807,1.45,0.55
191907,0.29,-0.61
192007,1.20,0.30
192107,0.22,-0.68
192207,0.04,-0.86
192307,1.41,0.51
192407,0.56,-0.34
192507,0.18,-0.72
192607,0.09,-0.81
192707,0.34,-0.56
192807,0.85,-0.05
192907,0.23,-0.67
193007,0.09,-0.81
193107,0.17,-0.73
193207,1.56,0.66
193307,0.49,-0.41
193407,0.77,-0.13
193507,0.90,0.00
193607,0.89,-0.01
193707,0.43,-0.47
193807,0.42,-0.48
193907,0.93,0.03
194007,1.28,0.38
194107,0.38,-0.52
194207,1.46,0.56
194307,0.59,-0.31
194407,0.28,-0.62
194507,0.29,-0.61
194607,0.69,-0.21
194707,1.30,0.40
194807,1.84,0.94
194907,0.76,-0.14
195007,0.94,0.04
195107,0.43,-0.47
195207,0.38,-0.52
195307,0.40,-0.50
195407,1.27,0.37
195507,2.32,1.42
195607,0.59,-0.31
195707,0.91,0.01
195807,0.52,-0.38
195907,0.51,-0.39
196007,0.03,-0.87
196107,0.75,-0.15
196207,0.47,-0.43
196307,1.52,0.62
196407,1.29,0.39
196507,0.77,-0.13
196607,1.67,0.77
196707,0.20,-0.70
196807,0.67,-0.23
196907,0.49,-0.41
197007,0.70,-0.20
197107,0.80,-0.10
197207,1.53,0.63
197307,0.17,-0.73
197407,1.98,1.08
197507,0.84,-0.06
197607,1.03,0.13
197707,0.67,-0.23
197807,1.49,0.59
197907,1.10,0.20
198007,0.74,-0.16
198107,1.11,0.21
198207,1.58,0.68
198307,3.09,2.19
198407,0.20,-0.70
198507,0.20,-0.70
198607,1.26,0.36
198707,1.47,0.57
198807,0.78,-0.12
198907,0.82,-0.08
199007,0.89,-0.01
199107,0.68,-0.22
199207,1.76,0.86
199307,2.59,1.69
199407,0.53,-0.37
199507,1.30,0.40
199607,0.72,-0.18
199707,1.68,0.78
199807,1.07,0.17
199907,0.98,0.08
200007,0.68,-0.22
200107,0.73,-0.17
200207,0.55,-0.35
200307,0.14,-0.76
200407,0.40,-0.50
200507,1.09,0.19
200607,0.38,-0.52
200707,1.06,0.16
200807,0.48,-0.42
200907,0.66,-0.24
201007,0.41,-0.49
201107,1.06,0.16
201207,1.43,0.53
201307,0.16,-0.74
201407,0.77,-0.13
201507,0.42,-0.48
201607,1.16,0.26
201707,0.04,-0.86
201807,0.24,-0.66
