reservoir,storage,capacity,pct_capacity,date
Courtright,88538,123300,71.8,09/1995
Courtright,58058,123300,47.1,10/1995
Courtright,58340,123300,47.3,11/1995
Courtright,68177,123300,55.3,12/1995
Courtright,60661,123300,49.2,01/1996
Courtright,61962,123300,50.3,02/1996
Courtright,72786,123300,59,03/1996
Courtright,68317,123300,55.4,04/1996
Courtright,114979,123300,93.3,05/1996
Courtright,121322,123300,98.4,06/1996
Courtright,100592,123300,81.6,07/1996
Courtright,78524,123300,63.7,08/1996
Courtright,60461,123300,49,09/1996
Courtright,53807,123300,43.6,10/1996
Courtright,46218,123300,37.5,11/1996
Courtright,27334,123300,22.2,12/1996
Courtright,49742,123300,40.3,01/1997
Courtright,51134,123300,41.5,02/1997
Courtright,57372,123300,46.5,03/1997
Courtright,67208,123300,54.5,04/1997
Courtright,116355,123300,94.4,05/1997
Courtright,119589,123300,97,06/1997
Courtright,118917,123300,96.4,07/1997
Courtright,90095,123300,73.1,08/1997
Courtright,39843,123300,32.3,09/1997
Courtright,34737,123300,28.2,10/1997
Courtright,46418,123300,37.6,11/1997
Courtright,56541,123300,45.9,12/1997
Courtright,51524,123300,41.8,01/1998
Courtright,46135,123300,37.4,02/1998
Courtright,35254,123300,28.6,03/1998
Courtright,14997,123300,12.2,04/1998
Courtright,43432,123300,35.2,05/1998
Courtright,75310,123300,61.1,06/1998
Courtright,121742,123300,98.7,07/1998
Courtright,98742,123300,80.1,08/1998
Courtright,72523,123300,58.8,09/1998
Courtright,67950,123300,55.1,10/1998
Courtright,88903,123300,72.1,11/1998
Courtright,67176,123300,54.5,12/1998
Courtright,51524,123300,41.8,01/1999
Courtright,49093,123300,39.8,02/1999
Courtright,52472,123300,42.6,03/1999
Courtright,84332,123300,68.4,04/1999
Courtright,117786,123300,95.5,05/1999
Courtright,111735,123300,90.6,06/1999
Courtright,116038,123300,94.1,07/1999
Courtright,62206,123300,50.5,08/1999
Courtright,24006,123300,19.5,09/1999
Courtright,23913,123300,19.4,10/1999
Courtright,68185,123300,55.3,11/1999
Courtright,59903,123300,48.6,12/1999
Courtright,42550,123300,34.5,01/2000
Courtright,61032,123300,49.5,02/2000
Courtright,45465,123300,36.9,03/2000
Courtright,75055,123300,60.9,04/2000
Courtright,119156,123300,96.6,05/2000
Courtright,101305,123300,82.2,06/2000
Courtright,102583,123300,83.2,07/2000
Courtright,83969,123300,68.1,08/2000
Courtright,89490,123300,72.6,09/2000
Courtright,66780,123300,54.2,10/2000
Courtright,45123,123300,36.6,11/2000
Courtright,45689,123300,37.1,12/2000
Courtright,13605,123300,11,01/2001
Courtright,21978,123300,17.8,02/2001
Courtright,26157,123300,21.2,03/2001
Courtright,83844,123300,68,04/2001
Courtright,113907,123300,92.4,05/2001
Courtright,116132,123300,94.2,06/2001
Courtright,96664,123300,78.4,07/2001
Courtright,73296,123300,59.4,08/2001
Courtright,62083,123300,50.4,09/2001
Courtright,50954,123300,41.3,10/2001
Courtright,43737,123300,35.5,11/2001
Courtright,47512,123300,38.5,12/2001
Courtright,32785,123300,26.6,01/2002
Courtright,25340,123300,20.6,02/2002
Courtright,38396,123300,31.1,03/2002
Courtright,81190,123300,65.8,04/2002
