reservoir,storage,capacity,pct_capacity,date
"Pine Flat Dam",637779,1000000,63.8,09/1995
"Pine Flat Dam",541732,1000000,54.2,10/1995
"Pine Flat Dam",563390,1000000,56.3,11/1995
"Pine Flat Dam",594389,1000000,59.4,12/1995
"Pine Flat Dam",636718,1000000,63.7,01/1996
"Pine Flat Dam",797684,1000000,79.8,02/1996
"Pine Flat Dam",837216,1000000,83.7,03/1996
"Pine Flat Dam",854899,1000000,85.5,04/1996
"Pine Flat Dam",915501,1000000,91.6,05/1996
"Pine Flat Dam",896199,1000000,89.6,06/1996
"Pine Flat Dam",637917,1000000,63.8,07/1996
"Pine Flat Dam",406411,1000000,40.6,08/1996
"Pine Flat Dam",335773,1000000,33.6,09/1996
"Pine Flat Dam",350428,1000000,35,10/1996
"Pine Flat Dam",438539,1000000,43.9,11/1996
"Pine Flat Dam",626026,1000000,62.6,12/1996
"Pine Flat Dam",898039,1000000,89.8,01/1997
"Pine Flat Dam",741253,1000000,74.1,02/1997
"Pine Flat Dam",679013,1000000,67.9,03/1997
"Pine Flat Dam",761007,1000000,76.1,04/1997
"Pine Flat Dam",897704,1000000,89.8,05/1997
"Pine Flat Dam",865129,1000000,86.5,06/1997
"Pine Flat Dam",630007,1000000,63,07/1997
"Pine Flat Dam",432405,1000000,43.2,08/1997
"Pine Flat Dam",390641,1000000,39.1,09/1997
"Pine Flat Dam",429129,1000000,42.9,10/1997
"Pine Flat Dam",464578,1000000,46.5,11/1997
"Pine Flat Dam",501028,1000000,50.1,12/1997
"Pine Flat Dam",573991,1000000,57.4,01/1998
"Pine Flat Dam",750187,1000000,75,02/1998
"Pine Flat Dam",789679,1000000,79,03/1998
"Pine Flat Dam",766806,1000000,76.7,04/1998
"Pine Flat Dam",688780,1000000,68.9,05/1998
"Pine Flat Dam",938996,1000000,93.9,06/1998
"Pine Flat Dam",975523,1000000,97.6,07/1998
"Pine Flat Dam",789886,1000000,79,08/1998
"Pine Flat Dam",705421,1000000,70.5,09/1998
"Pine Flat Dam",677916,1000000,67.8,10/1998
"Pine Flat Dam",672732,1000000,67.3,11/1998
"Pine Flat Dam",639071,1000000,63.9,12/1998
"Pine Flat Dam",663371,1000000,66.3,01/1999
"Pine Flat Dam",728606,1000000,72.9,02/1999
"Pine Flat Dam",732030,1000000,73.2,03/1999
"Pine Flat Dam",782751,1000000,78.3,04/1999
"Pine Flat Dam",888079,1000000,88.8,05/1999
"Pine Flat Dam",798465,1000000,79.8,06/1999
"Pine Flat Dam",538643,1000000,53.9,07/1999
"Pine Flat Dam",395453,1000000,39.5,08/1999
"Pine Flat Dam",367384,1000000,36.7,09/1999
"Pine Flat Dam",389424,1000000,38.9,10/1999
"Pine Flat Dam",396968,1000000,39.7,11/1999
