reservoir,storage,capacity,pct_capacity,date,state
Homestake,42200,43000,98.1,01/2000,CO
Homestake,42200,43000,98.1,02/2000,CO
Homestake,42200,43000,98.1,03/2000,CO
Homestake,37400,43000,87,04/2000,CO
Homestake,28200,43000,65.6,05/2000,CO
Homestake,40900,43000,95.1,06/2000,CO
Homestake,42200,43000,98.1,07/2000,CO
Homestake,42900,43000,99.8,08/2000,CO
Homestake,42500,43000,98.8,09/2000,CO
Homestake,42100,43000,97.9,10/2000,CO
Homestake,42129,43000,98,11/2000,CO
Homestake,42129,43000,98,12/2000,CO
Homestake,42129,43000,98,01/2001,CO
Homestake,42129,43000,98,02/2001,CO
Homestake,42129,43000,98,03/2001,CO
Homestake,33196,43000,77.2,04/2001,CO
Homestake,16219,43000,37.7,05/2001,CO
Homestake,19400,43000,45.1,06/2001,CO
Homestake,31443,43000,73.1,07/2001,CO
Homestake,32928,43000,76.6,08/2001,CO
Homestake,32419,43000,75.4,09/2001,CO
Homestake,32419,43000,75.4,10/2001,CO
Homestake,31326,43000,72.9,11/2001,CO
Homestake,27591,43000,64.2,12/2001,CO
Homestake,27403,43000,63.7,01/2002,CO
Homestake,27185,43000,63.2,02/2002,CO
Homestake,27185,43000,63.2,03/2002,CO
Homestake,21873,43000,50.9,04/2002,CO
Homestake,11289,43000,26.3,05/2002,CO
Homestake,19288,43000,44.9,06/2002,CO
Homestake,22987,43000,53.5,07/2002,CO
Homestake,22987,43000,53.5,08/2002,CO
Homestake,19643,43000,45.7,09/2002,CO
Homestake,17054,43000,39.7,10/2002,CO
Homestake,17055,43000,39.7,11/2002,CO
Homestake,17055,43000,39.7,12/2002,CO
Homestake,17055,43000,39.7,01/2003,CO
Homestake,17055,43000,39.7,02/2003,CO
Homestake,17055,43000,39.7,03/2003,CO
Homestake,17055,43000,39.7,04/2003,CO
Homestake,17322,43000,40.3,05/2003,CO
Homestake,27699,43000,64.4,06/2003,CO
Homestake,33169,43000,77.1,07/2003,CO
Homestake,35986,43000,83.7,08/2003,CO
Homestake,35986,43000,83.7,09/2003,CO
Homestake,35978,43000,83.7,10/2003,CO
Homestake,21811,43000,50.7,11/2003,CO
Homestake,21811,43000,50.7,12/2003,CO
Homestake,21814,43000,50.7,01/2004,CO
Homestake,21911,43000,51,02/2004,CO
Homestake,21959,43000,51.1,03/2004,CO
Homestake,21599,43000,50.2,04/2004,CO
Homestake,13549,43000,31.5,05/2004,CO
Homestake,23284,43000,54.1,06/2004,CO
Homestake,32844,43000,76.4,07/2004,CO
Homestake,34989,43000,81.4,08/2004,CO
Homestake,34989,43000,81.4,09/2004,CO
Homestake,34989,43000,81.4,10/2004,CO
Homestake,34928,43000,81.2,11/2004,CO
Homestake,34989,43000,81.4,12/2004,CO
Homestake,34848,43000,81,01/2005,CO
Homestake,34763,43000,80.8,02/2005,CO
Homestake,35034,43000,81.5,03/2005,CO
Homestake,26998,43000,62.8,04/2005,CO
Homestake,12337,43000,28.7,05/2005,CO
Homestake,20171,43000,46.9,06/2005,CO
Homestake,34035,43000,79.2,07/2005,CO
Homestake,38721,43000,90,08/2005,CO
Homestake,39202,43000,91.2,09/2005,CO
Homestake,39106,43000,90.9,10/2005,CO
Homestake,39589,43000,92.1,11/2005,CO
Homestake,39589,43000,92.1,12/2005,CO
Homestake,39460,43000,91.8,01/2006,CO
Homestake,39686,43000,92.3,02/2006,CO
Homestake,30688,43000,71.4,03/2006,CO
Homestake,21436,43000,49.9,04/2006,CO
Homestake,16396,43000,38.1,05/2006,CO
Homestake,20772,43000,48.3,06/2006,CO
Homestake,35862,43000,83.4,07/2006,CO
Homestake,40909,43000,95.1,08/2006,CO
Homestake,41122,43000,95.6,09/2006,CO
Homestake,41254,43000,95.9,10/2006,CO
Homestake,41188,43000,95.8,11/2006,CO
