reservoir,storage,capacity,pct_capacity,date,state
"Stewart Mtn",64839,69765,92.9,1/1/2008,AZ
"Stewart Mtn",64821,69765,92.9,1/2/2008,AZ
"Stewart Mtn",64777,69765,92.9,1/3/2008,AZ
"Stewart Mtn",64759,69765,92.8,1/4/2008,AZ
"Stewart Mtn",64750,69765,92.8,1/5/2008,AZ
"Stewart Mtn",64785,69765,92.9,1/6/2008,AZ
"Stewart Mtn",64830,69765,92.9,1/7/2008,AZ
"Stewart Mtn",65222,69765,93.5,1/8/2008,AZ
"Stewart Mtn",65347,69765,93.7,1/9/2008,AZ
"Stewart Mtn",65409,69765,93.8,1/10/2008,AZ
"Stewart Mtn",65445,69765,93.8,1/11/2008,AZ
"Stewart Mtn",65480,69765,93.9,1/12/2008,AZ
"Stewart Mtn",65516,69765,93.9,1/13/2008,AZ
"Stewart Mtn",65516,69765,93.9,1/14/2008,AZ
"Stewart Mtn",65516,69765,93.9,1/15/2008,AZ
"Stewart Mtn",65498,69765,93.9,1/16/2008,AZ
"Stewart Mtn",65516,69765,93.9,1/17/2008,AZ
"Stewart Mtn",65507,69765,93.9,1/18/2008,AZ
"Stewart Mtn",65534,69765,93.9,1/19/2008,AZ
"Stewart Mtn",65534,69765,93.9,1/20/2008,AZ
"Stewart Mtn",65525,69765,93.9,1/21/2008,AZ
"Stewart Mtn",65534,69765,93.9,1/22/2008,AZ
"Stewart Mtn",65534,69765,93.9,1/23/2008,AZ
"Stewart Mtn",65596,69765,94,1/24/2008,AZ
"Stewart Mtn",65587,69765,94,1/25/2008,AZ
"Stewart Mtn",65721,69765,94.2,1/26/2008,AZ
"Stewart Mtn",65765,69765,94.3,1/27/2008,AZ
"Stewart Mtn",67733,69765,97.1,1/28/2008,AZ
"Stewart Mtn",68600,69765,98.3,1/29/2008,AZ
"Stewart Mtn",68867,69765,98.7,1/30/2008,AZ
"Stewart Mtn",68498,69765,98.2,1/31/2008,AZ
"Stewart Mtn",68116,69765,97.6,2/1/2008,AZ
"Stewart Mtn",68070,69765,97.6,2/2/2008,AZ
"Stewart Mtn",68170,69765,97.7,2/3/2008,AZ
"Stewart Mtn",68407,69765,98.1,2/4/2008,AZ
"Stewart Mtn",68262,69765,97.8,2/5/2008,AZ
"Stewart Mtn",67897,69765,97.3,2/6/2008,AZ
"Stewart Mtn",68070,69765,97.6,2/7/2008,AZ
"Stewart Mtn",68152,69765,97.7,2/8/2008,AZ
"Stewart Mtn",68243,69765,97.8,2/9/2008,AZ
"Stewart Mtn",68344,69765,98,2/10/2008,AZ
