reservoir,storage,capacity,pct_capacity,date,state
"Willow Creek",4227,13900,30.4,01/2000,OR
"Willow Creek",4327,13900,31.1,02/2000,OR
"Willow Creek",4927,13900,35.4,03/2000,OR
"Willow Creek",5827,13900,41.9,04/2000,OR
"Willow Creek",6227,13900,44.8,05/2000,OR
"Willow Creek",6127,13900,44.1,06/2000,OR
"Willow Creek",6127,13900,44.1,07/2000,OR
"Willow Creek",5927,13900,42.6,08/2000,OR
"Willow Creek",5627,13900,40.5,09/2000,OR
"Willow Creek",5427,13900,39,10/2000,OR
"Willow Creek",5227,13900,37.6,11/2000,OR
"Willow Creek",4427,13900,31.8,12/2000,OR
"Willow Creek",4327,13900,31.1,01/2001,OR
"Willow Creek",4227,13900,30.4,02/2001,OR
"Willow Creek",4427,13900,31.8,03/2001,OR
"Willow Creek",5627,13900,40.5,04/2001,OR
"Willow Creek",6127,13900,44.1,05/2001,OR
"Willow Creek",6127,13900,44.1,06/2001,OR
"Willow Creek",6027,13900,43.4,07/2001,OR
"Willow Creek",5827,13900,41.9,08/2001,OR
"Willow Creek",5627,13900,40.5,09/2001,OR
"Willow Creek",5427,13900,39,10/2001,OR
"Willow Creek",5227,13900,37.6,11/2001,OR
"Willow Creek",4227,13900,30.4,12/2001,OR
"Willow Creek",4127,13900,29.7,01/2002,OR
"Willow Creek",4327,13900,31.1,02/2002,OR
"Willow Creek",4427,13900,31.8,03/2002,OR
"Willow Creek",4927,13900,35.4,04/2002,OR
"Willow Creek",5127,13900,36.9,05/2002,OR
"Willow Creek",5327,13900,38.3,06/2002,OR
"Willow Creek",5227,13900,37.6,07/2002,OR
"Willow Creek",5027,13900,36.2,08/2002,OR
"Willow Creek",4827,13900,34.7,09/2002,OR
"Willow Creek",4527,13900,32.6,10/2002,OR
"Willow Creek",4427,13900,31.8,11/2002,OR
"Willow Creek",4227,13900,30.4,12/2002,OR
"Willow Creek",4327,13900,31.1,01/2003,OR
"Willow Creek",4327,13900,31.1,02/2003,OR
"Willow Creek",5427,13900,39,03/2003,OR
"Willow Creek",6127,13900,44.1,04/2003,OR
"Willow Creek",6227,13900,44.8,05/2003,OR
"Willow Creek",6227,13900,44.8,06/2003,OR
"Willow Creek",6127,13900,44.1,07/2003,OR
"Willow Creek",5327,13900,38.3,08/2003,OR
"Willow Creek",4427,13900,31.8,09/2003,OR
"Willow Creek",3927,13900,28.3,10/2003,OR
"Willow Creek",3827,13900,27.5,11/2003,OR
"Willow Creek",3727,13900,26.8,12/2003,OR
"Willow Creek",3927,13900,28.3,01/2004,OR
"Willow Creek",4427,13900,31.8,02/2004,OR
"Willow Creek",4227,13900,30.4,03/2004,OR
"Willow Creek",5427,13900,39,04/2004,OR
"Willow Creek",6127,13900,44.1,05/2004,OR
"Willow Creek",6427,13900,46.2,06/2004,OR
"Willow Creek",6327,13900,45.5,07/2004,OR
"Willow Creek",6027,13900,43.4,08/2004,OR
"Willow Creek",5027,13900,36.2,09/2004,OR
"Willow Creek",4827,13900,34.7,10/2004,OR
"Willow Creek",4527,13900,32.6,11/2004,OR
"Willow Creek",4227,13900,30.4,12/2004,OR
"Willow Creek",4227,13900,30.4,01/2005,OR
"Willow Creek",4427,13900,31.8,02/2005,OR
"Willow Creek",4527,13900,32.6,03/2005,OR
"Willow Creek",4627,13900,33.3,04/2005,OR
"Willow Creek",4827,13900,34.7,05/2005,OR
"Willow Creek",6227,13900,44.8,06/2005,OR
"Willow Creek",6227,13900,44.8,07/2005,OR
"Willow Creek",5727,13900,41.2,08/2005,OR
"Willow Creek",4727,13900,34,09/2005,OR
"Willow Creek",4027,13900,29,10/2005,OR
"Willow Creek",3927,13900,28.3,11/2005,OR
"Willow Creek",3927,13900,28.3,12/2005,OR
"Willow Creek",4027,13900,29,01/2006,OR
"Willow Creek",4127,13900,29.7,02/2006,OR
"Willow Creek",4727,13900,34,03/2006,OR
"Willow Creek",5827,13900,41.9,04/2006,OR
"Willow Creek",6127,13900,44.1,05/2006,OR
"Willow Creek",6327,13900,45.5,06/2006,OR
"Willow Creek",6127,13900,44.1,07/2006,OR
"Willow Creek",5927,13900,42.6,08/2006,OR
"Willow Creek",5027,13900,36.2,09/2006,OR
"Willow Creek",4427,13900,31.8,10/2006,OR
"Willow Creek",4327,13900,31.1,11/2006,OR
"Willow Creek",4427,13900,31.8,12/2006,OR
"Willow Creek",4427,13900,31.8,01/2007,OR
"Willow Creek",4227,13900,30.4,02/2007,OR
"Willow Creek",4927,13900,35.4,03/2007,OR
"Willow Creek",5827,13900,41.9,04/2007,OR
"Willow Creek",6127,13900,44.1,05/2007,OR
"Willow Creek",6227,13900,44.8,06/2007,OR
"Willow Creek",6127,13900,44.1,07/2007,OR
"Willow Creek",5327,13900,38.3,08/2007,OR
"Willow Creek",4427,13900,31.8,09/2007,OR
"Willow Creek",4027,13900,29,10/2007,OR
"Willow Creek",3927,13900,28.3,11/2007,OR
"Willow Creek",3927,13900,28.3,12/2007,OR
"Willow Creek",4127,13900,29.7,01/2008,OR
"Willow Creek",4327,13900,31.1,02/2008,OR
"Willow Creek",4927,13900,35.4,03/2008,OR
"Willow Creek",5727,13900,41.2,04/2008,OR
"Willow Creek",6227,13900,44.8,05/2008,OR
"Willow Creek",6127,13900,44.1,06/2008,OR
"Willow Creek",6227,13900,44.8,07/2008,OR
"Willow Creek",6027,13900,43.4,08/2008,OR
"Willow Creek",5327,13900,38.3,09/2008,OR
"Willow Creek",4927,13900,35.4,10/2008,OR
"Willow Creek",4727,13900,34,11/2008,OR
"Willow Creek",4227,13900,30.4,12/2008,OR
"Willow Creek",4227,13900,30.4,01/2009,OR
"Willow Creek",4327,13900,31.1,02/2009,OR
"Willow Creek",4627,13900,33.3,03/2009,OR
"Willow Creek",5927,13900,42.6,04/2009,OR
"Willow Creek",6027,13900,43.4,05/2009,OR
"Willow Creek",6127,13900,44.1,06/2009,OR
"Willow Creek",6127,13900,44.1,07/2009,OR
"Willow Creek",5827,13900,41.9,08/2009,OR
"Willow Creek",4927,13900,35.4,09/2009,OR
"Willow Creek",4127,13900,29.7,10/2009,OR
