reservoir,storage,capacity,pct_capacity,date
"Grand Coulee/FDR Lake",3814018.00,9562000,39.9,01/01/2000
"Grand Coulee/FDR Lake",3828463.50,9562000,40,01/02/2000
"Grand Coulee/FDR Lake",3792267.00,9562000,39.7,01/03/2000
"Grand Coulee/FDR Lake",3726552.00,9562000,39,01/04/2000
"Grand Coulee/FDR Lake",3654874.00,9562000,38.2,01/05/2000
"Grand Coulee/FDR Lake",3582564.25,9562000,37.5,01/06/2000
"Grand Coulee/FDR Lake",3532804.00,9562000,36.9,01/07/2000
"Grand Coulee/FDR Lake",3525743.75,9562000,36.9,01/08/2000
"Grand Coulee/FDR Lake",3589730.25,9562000,37.5,01/09/2000
"Grand Coulee/FDR Lake",3525743.75,9562000,36.9,01/10/2000
"Grand Coulee/FDR Lake",3475711.75,9562000,36.3,01/11/2000
"Grand Coulee/FDR Lake",3404863.75,9562000,35.6,01/12/2000
"Grand Coulee/FDR Lake",3348563.00,9562000,35,01/13/2000
"Grand Coulee/FDR Lake",3292119.50,9562000,34.4,01/14/2000
"Grand Coulee/FDR Lake",3327284.75,9562000,34.8,01/15/2000
"Grand Coulee/FDR Lake",3397857.50,9562000,35.5,01/16/2000
"Grand Coulee/FDR Lake",3362829.00,9562000,35.2,01/17/2000
"Grand Coulee/FDR Lake",3345009.75,9562000,35,01/18/2000
"Grand Coulee/FDR Lake",3327284.75,9562000,34.8,01/19/2000
"Grand Coulee/FDR Lake",3320223.25,9562000,34.7,01/20/2000
"Grand Coulee/FDR Lake",3341456.25,9562000,34.9,01/21/2000
"Grand Coulee/FDR Lake",3397857.50,9562000,35.5,01/22/2000
"Grand Coulee/FDR Lake",3425968.50,9562000,35.8,01/23/2000
"Grand Coulee/FDR Lake",3369981.00,9562000,35.2,01/24/2000
"Grand Coulee/FDR Lake",3348563.00,9562000,35,01/25/2000
"Grand Coulee/FDR Lake",3334364.75,9562000,34.9,01/26/2000
"Grand Coulee/FDR Lake",3334364.75,9562000,34.9,01/27/2000
"Grand Coulee/FDR Lake",3323750.25,9562000,34.8,01/28/2000
"Grand Coulee/FDR Lake",3292119.50,9562000,34.4,01/29/2000
"Grand Coulee/FDR Lake",3243504.25,9562000,33.9,01/30/2000
"Grand Coulee/FDR Lake",3180495.75,9562000,33.3,01/31/2000
"Grand Coulee/FDR Lake",3131980.75,9562000,32.8,02/01/2000
"Grand Coulee/FDR Lake",3131980.75,9562000,32.8,02/02/2000
"Grand Coulee/FDR Lake",3152681.50,9562000,33,02/03/2000
"Grand Coulee/FDR Lake",3101191.00,9562000,32.4,02/04/2000
"Grand Coulee/FDR Lake",3097784.50,9562000,32.4,02/05/2000
"Grand Coulee/FDR Lake",3166554.75,9562000,33.1,02/06/2000
"Grand Coulee/FDR Lake",3166554.75,9562000,33.1,02/07/2000
"Grand Coulee/FDR Lake",3138862.50,9562000,32.8,02/08/2000
"Grand Coulee/FDR Lake",3090992.75,9562000,32.3,02/09/2000
"Grand Coulee/FDR Lake",3001038.50,9562000,31.4,02/10/2000
"Grand Coulee/FDR Lake",2946759.00,9562000,30.8,02/11/2000
"Grand Coulee/FDR Lake",2939836.75,9562000,30.7,02/12/2000
"Grand Coulee/FDR Lake",2953697.50,9562000,30.9,02/13/2000
"Grand Coulee/FDR Lake",2864733.25,9562000,30,02/14/2000
"Grand Coulee/FDR Lake",2854648.00,9562000,29.9,02/15/2000
"Grand Coulee/FDR Lake",2844592.25,9562000,29.7,02/16/2000
"Grand Coulee/FDR Lake",2864733.25,9562000,30,02/17/2000
"Grand Coulee/FDR Lake",2864733.25,9562000,30,02/18/2000
"Grand Coulee/FDR Lake",2885026.25,9562000,30.2,02/19/2000
"Grand Coulee/FDR Lake",2946759.00,9562000,30.8,02/20/2000
"Grand Coulee/FDR Lake",2946759.00,9562000,30.8,02/21/2000
"Grand Coulee/FDR Lake",2946759.00,9562000,30.8,02/22/2000
"Grand Coulee/FDR Lake",2926031.75,9562000,30.6,02/23/2000
"Grand Coulee/FDR Lake",2932921.25,9562000,30.7,02/24/2000
"Grand Coulee/FDR Lake",2932921.25,9562000,30.7,02/25/2000
"Grand Coulee/FDR Lake",2987437.75,9562000,31.2,02/26/2000
"Grand Coulee/FDR Lake",3076984.50,9562000,32.2,02/27/2000
"Grand Coulee/FDR Lake",3097784.50,9562000,32.4,02/28/2000
