reservoir,storage,capacity,pct_capacity,date
"Crane Prairie",44360,55300,80.2,01/2000,or
"Crane Prairie",45041,55300,81.4,02/2000,or
"Crane Prairie",47004,55300,85,03/2000,or
"Crane Prairie",50133,55300,90.7,04/2000,or
"Crane Prairie",54447,55300,98.5,05/2000,or
"Crane Prairie",51815,55300,93.7,06/2000,or
"Crane Prairie",45986,55300,83.2,07/2000,or
"Crane Prairie",41181,55300,74.5,08/2000,or
"Crane Prairie",36833,55300,66.6,09/2000,or
"Crane Prairie",33454,55300,60.5,10/2000,or
"Crane Prairie",33502,55300,60.6,11/2000,or
"Crane Prairie",35270,55300,63.8,12/2000,or
"Crane Prairie",38368,55300,69.4,01/2001,or
"Crane Prairie",42006,55300,76,02/2001,or
"Crane Prairie",46483,55300,84.1,03/2001,or
"Crane Prairie",49979,55300,90.4,04/2001,or
"Crane Prairie",47481,55300,85.9,05/2001,or
"Crane Prairie",40419,55300,73.1,06/2001,or
"Crane Prairie",32463,55300,58.7,07/2001,or
"Crane Prairie",25978,55300,47,08/2001,or
"Crane Prairie",23900,55300,43.2,09/2001,or
"Crane Prairie",25571,55300,46.2,10/2001,or
"Crane Prairie",30005,55300,54.3,11/2001,or
"Crane Prairie",36357,55300,65.7,12/2001,or
"Crane Prairie",38193,55300,69.1,01/2002,or
"Crane Prairie",38469,55300,69.6,02/2002,or
"Crane Prairie",40202,55300,72.7,03/2002,or
"Crane Prairie",43005,55300,77.8,04/2002,or
"Crane Prairie",41634,55300,75.3,05/2002,or
"Crane Prairie",39731,55300,71.8,06/2002,or
"Crane Prairie",35569,55300,64.3,07/2002,or
"Crane Prairie",30864,55300,55.8,08/2002,or
"Crane Prairie",28407,55300,51.4,09/2002,or
"Crane Prairie",24473,55300,44.3,10/2002,or
"Crane Prairie",24201,55300,43.8,11/2002,or
"Crane Prairie",28251,55300,51.1,12/2002,or
"Crane Prairie",33294,55300,60.2,01/2003,or
"Crane Prairie",37181,55300,67.2,02/2003,or
"Crane Prairie",40456,55300,73.2,03/2003,or
"Crane Prairie",44514,55300,80.5,04/2003,or
"Crane Prairie",44596,55300,80.6,05/2003,or
"Crane Prairie",41270,55300,74.6,06/2003,or
"Crane Prairie",32860,55300,59.4,07/2003,or
