reservoir,storage,capacity,pct_capacity,date
"Phillips Lake",40166,114000,35.2,01/2000,or
"Phillips Lake",42656,114000,37.4,02/2000,or
"Phillips Lake",47645,114000,41.8,03/2000,or
"Phillips Lake",62483,114000,54.8,04/2000,or
"Phillips Lake",71187,114000,62.4,05/2000,or
"Phillips Lake",68661,114000,60.2,06/2000,or
"Phillips Lake",58043,114000,50.9,07/2000,or
"Phillips Lake",40527,114000,35.6,08/2000,or
"Phillips Lake",29173,114000,25.6,09/2000,or
"Phillips Lake",27769,114000,24.4,10/2000,or
"Phillips Lake",28012,114000,24.6,11/2000,or
"Phillips Lake",28326,114000,24.8,12/2000,or
"Phillips Lake",29250,114000,25.7,01/2001,or
"Phillips Lake",30471,114000,26.7,02/2001,or
"Phillips Lake",31975,114000,28,03/2001,or
"Phillips Lake",36207,114000,31.8,04/2001,or
"Phillips Lake",35692,114000,31.3,05/2001,or
"Phillips Lake",27974,114000,24.5,06/2001,or
"Phillips Lake",20331,114000,17.8,07/2001,or
"Phillips Lake",8914,114000,7.8,08/2001,or
"Phillips Lake",3315,114000,2.9,09/2001,or
"Phillips Lake",2329,114000,2,10/2001,or
"Phillips Lake",2390,114000,2.1,11/2001,or
"Phillips Lake",3157,114000,2.8,12/2001,or
"Phillips Lake",4319,114000,3.8,01/2002,or
"Phillips Lake",5444,114000,4.8,02/2002,or
"Phillips Lake",7445,114000,6.5,03/2002,or
"Phillips Lake",22203,114000,19.5,04/2002,or
"Phillips Lake",30420,114000,26.7,05/2002,or
"Phillips Lake",31753,114000,27.9,06/2002,or
"Phillips Lake",25639,114000,22.5,07/2002,or
"Phillips Lake",12746,114000,11.2,08/2002,or
"Phillips Lake",4750,114000,4.2,09/2002,or
"Phillips Lake",3614,114000,3.2,10/2002,or
"Phillips Lake",3705,114000,3.3,11/2002,or
"Phillips Lake",4334,114000,3.8,12/2002,or
"Phillips Lake",5605,114000,4.9,01/2003,or
"Phillips Lake",8808,114000,7.7,02/2003,or
"Phillips Lake",12426,114000,10.9,03/2003,or
"Phillips Lake",20404,114000,17.9,04/2003,or
"Phillips Lake",24595,114000,21.6,05/2003,or
"Phillips Lake",31766,114000,27.9,06/2003,or
"Phillips Lake",25801,114000,22.6,07/2003,or
"Phillips Lake",12513,114000,11,08/2003,or
"Phillips Lake",5466,114000,4.8,09/2003,or
"Phillips Lake",4226,114000,3.7,10/2003,or
"Phillips Lake",4140,114000,3.6,11/2003,or
"Phillips Lake",4988,114000,4.4,12/2003,or
"Phillips Lake",6002,114000,5.3,01/2004,or
"Phillips Lake",7427,114000,6.5,02/2004,or
"Phillips Lake",13668,114000,12,03/2004,or
"Phillips Lake",29943,114000,26.3,04/2004,or
"Phillips Lake",32799,114000,28.8,05/2004,or
"Phillips Lake",34818,114000,30.5,06/2004,or
"Phillips Lake",29561,114000,25.9,07/2004,or
"Phillips Lake",17564,114000,15.4,08/2004,or
"Phillips Lake",10741,114000,9.4,09/2004,or
"Phillips Lake",9828,114000,8.6,10/2004,or
"Phillips Lake",10481,114000,9.2,11/2004,or
"Phillips Lake",11778,114000,10.3,12/2004,or
"Phillips Lake",13275,114000,11.6,01/2005,or
"Phillips Lake",14874,114000,13,02/2005,or
"Phillips Lake",17903,114000,15.7,03/2005,or
"Phillips Lake",24123,114000,21.2,04/2005,or
"Phillips Lake",32953,114000,28.9,05/2005,or
"Phillips Lake",37702,114000,33.1,06/2005,or
"Phillips Lake",30346,114000,26.6,07/2005,or
"Phillips Lake",16858,114000,14.8,08/2005,or
"Phillips Lake",8850,114000,7.8,09/2005,or
"Phillips Lake",7405,114000,6.5,10/2005,or
"Phillips Lake",7583,114000,6.7,11/2005,or
"Phillips Lake",8567,114000,7.5,12/2005,or
"Phillips Lake",11215,114000,9.8,01/2006,or
"Phillips Lake",13807,114000,12.1,02/2006,or
"Phillips Lake",18598,114000,16.3,03/2006,or
"Phillips Lake",40463,114000,35.5,04/2006,or
"Phillips Lake",67596,114000,59.3,05/2006,or
"Phillips Lake",75389,114000,66.1,06/2006,or
"Phillips Lake",67741,114000,59.4,07/2006,or
"Phillips Lake",50384,114000,44.2,08/2006,or
"Phillips Lake",35789,114000,31.4,09/2006,or
"Phillips Lake",33044,114000,29,10/2006,or
"Phillips Lake",33135,114000,29.1,11/2006,or
"Phillips Lake",33992,114000,29.8,12/2006,or
"Phillips Lake",34968,114000,30.7,01/2007,or
"Phillips Lake",36468,114000,32,02/2007,or
"Phillips Lake",41294,114000,36.2,03/2007,or
"Phillips Lake",48457,114000,42.5,04/2007,or
"Phillips Lake",45680,114000,40.1,05/2007,or
"Phillips Lake",37588,114000,33,06/2007,or
"Phillips Lake",26592,114000,23.3,07/2007,or
