# ---------------------------------- Disclaimer -----------------------------------------
# The reservoir data contained in this file are best estimates generated by the Texas    
# Water Development Board(TWDB) using data collected by various data providers as well   
# as by TWDB. For a detailed explaination of the methodology used please visit:          
#                                                                                        
#     http://waterdatafortexas.org/reservoirs/methodology                                
#                                                                                        
# TWDB makes no warranties(including no warranties as to merchantability or fitness)     
# either expressed or implied with respect to the data or its fitness for any specific   
# application.                                                                           
# ---------------------------------------------------------------------------------------
# 
# Definitions:
#     reservoir_storage = actual storage at measured lake elevation
#     dead_pool_capacity = storage at dead pool elevation
#     conservation_capacity = storage at conservation pool elevation - dead pool capacity
#     conservation_storage = reservoir storage - dead pool capacity (note: conservation storage is capped at conservation capacity)
#     percent_full = 100 * conservation storage/conservation capacity
# 
#     for more detailed explanations see http://waterdatafortexas.org/reservoirs/glossary
# 
# Estimated daily average data for Lake Bonham
#     generated: 2019-05-01T23:06:05.086651 UTC
#     url: https://www.waterdatafortexas.org/reservoirs/individual/bonham-1year.csv
# 
# Footnote:
#     
# 
#             The elevation-storage rating curve used to produce the storage
#             hydrograph is made of two segments: (1) the segment up to the
#             conservation pool top (below the red line) is based on measured data,
#              and (2) the segment in the flood pool (above the red line) is an
#             extrapolation from the first segment and shouldn't be relied upon for
#             flood storage information.
#         
# 
# Data from 2018-05-01 00:00:00 to 2019-05-01 22:00:00 is marked as provisional by the USGS.
# 
# Elevation-Area-Capacity rating curve(s) used:
#     https://127.0.0.1/reservoirs/individual/bonham/rating-curve/USGS/1969-01-01
#     https://127.0.0.1/reservoirs/individual/bonham/rating-curve/TWDB/2004-03-01
# 
# Conservation pool elevation(s) used: 565.0 feet above NGVD29
# 
# Dead pool elevation(s) used: 538.0 feet above NGVD29
# 
# Units:
#     date: YYYY-MM-DD
#     water_level: feet above NGVD29
#     surface_area: acres
#     storages: acre-feet
# 
# 
date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
2018-05-01,564.75,1039.99,10777,10765,97.6,11027,12
2018-05-02,564.74,1039.53,10767,10755,97.5,11027,12
2018-05-03,564.80,1042.26,10829,10817,98.1,11027,12
2018-05-04,564.93,1053.86,10965,10953,99.3,11027,12
2018-05-05,564.96,1060.91,10996,10984,99.6,11027,12
2018-05-06,564.95,1058.56,10986,10974,99.5,11027,12
2018-05-07,564.93,1053.86,10965,10953,99.3,11027,12
2018-05-08,564.91,1049.16,10944,10932,99.1,11027,12
2018-05-09,564.88,1045.90,10912,10900,98.8,11027,12
2018-05-10,564.86,1044.99,10892,10880,98.7,11027,12
2018-05-11,564.83,1043.62,10860,10848,98.4,11027,12
2018-05-12,564.81,1042.71,10839,10827,98.2,11027,12
2018-05-13,564.79,1041.80,10819,10807,98.0,11027,12
2018-05-14,564.78,1041.35,10808,10796,97.9,11027,12
2018-05-15,564.95,1058.56,10986,10974,99.5,11027,12
2018-05-16,565.14,1077.47,11189,11027,100.0,11027,12
2018-05-17,565.09,1074.91,11135,11027,100.0,11027,12
2018-05-18,565.05,1072.87,11092,11027,100.0,11027,12
2018-05-19,565.00,1070.31,11038,11026,100.0,11027,12
2018-05-20,564.98,1065.61,11017,11005,99.8,11027,12
2018-05-21,564.95,1058.56,10986,10974,99.5,11027,12
2018-05-22,564.93,1053.86,10965,10953,99.3,11027,12
2018-05-23,564.91,1049.16,10944,10932,99.1,11027,12
2018-05-24,564.88,1045.90,10912,10900,98.8,11027,12
2018-05-25,564.94,1056.21,10975,10963,99.4,11027,12
2018-05-26,565.04,1072.35,11081,11027,100.0,11027,12
2018-05-27,565.02,1071.33,11060,11027,100.0,11027,12
2018-05-28,564.98,1065.61,11017,11005,99.8,11027,12
2018-05-29,564.96,1060.91,10996,10984,99.6,11027,12
2018-05-30,564.93,1053.86,10965,10953,99.3,11027,12
2018-05-31,564.89,1046.35,10923,10911,98.9,11027,12
2018-06-01,564.86,1044.99,10892,10880,98.7,11027,12
2018-06-02,564.84,1044.08,10871,10859,98.5,11027,12
2018-06-03,564.81,1042.71,10839,10827,98.2,11027,12
2018-06-04,564.78,1041.35,10808,10796,97.9,11027,12
2018-06-05,564.76,1040.44,10787,10775,97.7,11027,12
2018-06-06,564.74,1039.53,10767,10755,97.5,11027,12
2018-06-07,564.72,1038.62,10746,10734,97.3,11027,12
2018-06-08,564.69,1037.26,10715,10703,97.1,11027,12
2018-06-09,564.67,1036.35,10694,10682,96.9,11027,12
2018-06-10,564.64,1034.99,10663,10651,96.6,11027,12
2018-06-11,564.61,1033.63,10632,10620,96.3,11027,12
2018-06-12,564.59,1032.72,10611,10599,96.1,11027,12
2018-06-13,564.56,1031.37,10580,10568,95.8,11027,12
2018-06-14,564.53,1030.01,10549,10537,95.6,11027,12
2018-06-15,564.50,1028.65,10518,10506,95.3,11027,12
2018-06-16,564.46,1026.84,10477,10465,94.9,11027,12
2018-06-17,564.43,1025.48,10446,10434,94.6,11027,12
2018-06-18,564.41,1024.58,10426,10414,94.4,11027,12
2018-06-19,564.38,1023.22,10395,10383,94.2,11027,12
2018-06-20,564.36,1022.32,10375,10363,94.0,11027,12
2018-06-21,564.37,1022.77,10385,10373,94.1,11027,12
2018-06-22,564.35,1021.87,10365,10353,93.9,11027,12
2018-06-23,564.33,1020.96,10344,10332,93.7,11027,12
2018-06-24,564.30,1019.61,10313,10301,93.4,11027,12
2018-06-25,564.27,1018.26,10283,10271,93.1,11027,12
2018-06-26,564.24,1016.90,10252,10240,92.9,11027,12
2018-06-27,564.21,1015.55,10222,10210,92.6,11027,12
2018-06-28,564.18,1014.20,10191,10179,92.3,11027,12
2018-06-29,564.15,1012.85,10161,10149,92.0,11027,12
2018-06-30,564.11,1011.05,10121,10109,91.7,11027,12
2018-07-01,564.08,1009.70,10090,10078,91.4,11027,12
2018-07-02,564.05,1008.35,10060,10048,91.1,11027,12
2018-07-03,564.03,1007.45,10040,10028,90.9,11027,12
2018-07-04,564.00,1006.10,10010,9998,90.7,11027,12
2018-07-05,563.97,1004.75,9979,9967,90.4,11027,12
2018-07-06,563.97,1004.75,9979,9967,90.4,11027,12
2018-07-07,564.01,1006.55,10020,10008,90.8,11027,12
2018-07-08,563.98,1005.20,9990,9978,90.5,11027,12
2018-07-09,563.96,1004.30,9969,9957,90.3,11027,12
2018-07-10,563.94,1003.41,9949,9937,90.1,11027,12
2018-07-11,563.92,1002.51,9929,9917,89.9,11027,12
2018-07-12,563.91,1002.06,9919,9907,89.8,11027,12
2018-07-13,563.91,1002.06,9919,9907,89.8,11027,12
2018-07-14,563.88,1000.71,9889,9877,89.6,11027,12
2018-07-15,563.85,999.37,9859,9847,89.3,11027,12
2018-07-16,563.82,998.02,9829,9817,89.0,11027,12
2018-07-17,563.79,996.68,9799,9787,88.8,11027,12
2018-07-18,563.75,994.89,9760,9748,88.4,11027,12
2018-07-19,563.72,993.54,9730,9718,88.1,11027,12
2018-07-20,563.68,991.75,9690,9678,87.8,11027,12
2018-07-21,563.64,989.97,9650,9638,87.4,11027,12
2018-07-22,563.61,988.62,9621,9609,87.1,11027,12
2018-07-23,563.57,986.84,9581,9569,86.8,11027,12
2018-07-24,563.53,985.05,9542,9530,86.4,11027,12
2018-07-25,563.50,983.71,9512,9500,86.2,11027,12
2018-07-26,563.47,982.38,9483,9471,85.9,11027,12
2018-07-27,563.44,981.04,9453,9441,85.6,11027,12
2018-07-28,563.41,979.70,9424,9412,85.4,11027,12
2018-07-29,563.39,978.81,9404,9392,85.2,11027,12
2018-07-30,563.39,978.81,9404,9392,85.2,11027,12
2018-07-31,563.37,977.91,9385,9373,85.0,11027,12
2018-08-01,563.33,976.12,9346,9334,84.6,11027,12
2018-08-02,563.32,975.68,9336,9324,84.6,11027,12
2018-08-03,563.29,974.33,9307,9295,84.3,11027,12
2018-08-04,563.26,972.97,9277,9265,84.0,11027,12
2018-08-05,563.21,970.70,9229,9217,83.6,11027,12
2018-08-06,563.19,969.79,9209,9197,83.4,11027,12
2018-08-07,563.15,967.95,9171,9159,83.1,11027,12
2018-08-08,563.13,967.03,9151,9139,82.9,11027,12
2018-08-09,563.14,967.49,9161,9149,83.0,11027,12
2018-08-10,563.11,966.11,9132,9120,82.7,11027,12
2018-08-11,563.09,965.18,9113,9101,82.5,11027,12
2018-08-12,563.08,964.72,9103,9091,82.4,11027,12
2018-08-13,563.12,966.57,9142,9130,82.8,11027,12
2018-08-14,563.25,972.51,9268,9256,83.9,11027,12
2018-08-15,563.24,972.06,9258,9246,83.8,11027,12
2018-08-16,563.22,971.15,9239,9227,83.7,11027,12
2018-08-17,563.20,970.24,9219,9207,83.5,11027,12
2018-08-18,563.18,969.33,9200,9188,83.3,11027,12
2018-08-19,563.26,972.97,9277,9265,84.0,11027,12
2018-08-20,563.23,971.61,9248,9236,83.8,11027,12
2018-08-21,563.21,970.70,9229,9217,83.6,11027,12
2018-08-22,563.18,969.33,9200,9188,83.3,11027,12
2018-08-23,563.15,967.95,9171,9159,83.1,11027,12
2018-08-24,563.12,966.57,9142,9130,82.8,11027,12
2018-08-25,563.09,965.18,9113,9101,82.5,11027,12
2018-08-26,563.06,963.78,9084,9072,82.3,11027,12
2018-08-27,563.03,962.38,9055,9043,82.0,11027,12
2018-08-28,563.00,960.98,9026,9014,81.7,11027,12
2018-08-29,562.97,959.56,8997,8985,81.5,11027,12
2018-08-30,562.94,958.13,8968,8956,81.2,11027,12
2018-08-31,562.91,956.71,8940,8928,81.0,11027,12
2018-09-01,562.88,955.27,8911,8899,80.7,11027,12
2018-09-02,562.85,953.81,8882,8870,80.4,11027,12
2018-09-03,562.84,953.33,8873,8861,80.4,11027,12
2018-09-04,562.85,953.81,8882,8870,80.4,11027,12
2018-09-05,562.85,953.81,8882,8870,80.4,11027,12
2018-09-06,562.84,953.33,8873,8861,80.4,11027,12
2018-09-07,562.83,952.84,8863,8851,80.3,11027,12
2018-09-08,562.85,953.81,8882,8870,80.4,11027,12
2018-09-09,562.83,952.84,8863,8851,80.3,11027,12
2018-09-10,562.81,951.87,8844,8832,80.1,11027,12
2018-09-11,562.79,950.88,8825,8813,79.9,11027,12
2018-09-12,562.77,949.88,8806,8794,79.7,11027,12
2018-09-13,562.76,949.37,8797,8785,79.7,11027,12
2018-09-14,562.77,949.88,8806,8794,79.7,11027,12
2018-09-15,562.94,958.13,8968,8956,81.2,11027,12
2018-09-16,562.98,960.03,9007,8995,81.6,11027,12
2018-09-17,562.96,959.08,8988,8976,81.4,11027,12
2018-09-18,562.95,958.61,8978,8966,81.3,11027,12
2018-09-19,562.93,957.66,8959,8947,81.1,11027,12
2018-09-20,562.90,956.24,8930,8918,80.9,11027,12
2018-09-21,563.05,963.32,9074,9062,82.2,11027,12
2018-09-22,568.05,,14542,11027,100.0,11027,12
2018-09-23,571.07,,15099,11027,100.0,11027,12
2018-09-24,569.53,,15099,11027,100.0,11027,12
2018-09-25,567.52,,13899,11027,100.0,11027,12
2018-09-26,566.36,,12541,11027,100.0,11027,12
2018-09-27,565.86,1114.51,11978,11027,100.0,11027,12
2018-09-28,565.58,1100.06,11668,11027,100.0,11027,12
2018-09-29,565.42,1091.83,11492,11027,100.0,11027,12
2018-09-30,565.32,1086.69,11383,11027,100.0,11027,12
2018-10-01,565.25,1083.11,11308,11027,100.0,11027,12
2018-10-02,565.20,1080.54,11253,11027,100.0,11027,12
2018-10-03,565.18,1079.52,11232,11027,100.0,11027,12
2018-10-04,565.14,1077.47,11189,11027,100.0,11027,12
2018-10-05,565.12,1076.45,11167,11027,100.0,11027,12
2018-10-06,565.09,1074.91,11135,11027,100.0,11027,12
2018-10-07,565.12,1076.45,11167,11027,100.0,11027,12
2018-10-08,565.11,1075.93,11156,11027,100.0,11027,12
2018-10-09,565.27,1084.13,11329,11027,100.0,11027,12
2018-10-10,565.59,1100.57,11679,11027,100.0,11027,12
2018-10-11,565.44,1092.86,11514,11027,100.0,11027,12
2018-10-12,565.45,1093.37,11525,11027,100.0,11027,12
2018-10-13,566.17,,12326,11027,100.0,11027,12
2018-10-14,566.59,,12805,11027,100.0,11027,12
2018-10-15,566.44,,12633,11027,100.0,11027,12
2018-10-16,566.49,,12690,11027,100.0,11027,12
2018-10-17,566.16,,12314,11027,100.0,11027,12
2018-10-18,565.77,1109.86,11878,11027,100.0,11027,12
2018-10-19,565.67,1104.70,11767,11027,100.0,11027,12
2018-10-20,566.03,,12168,11027,100.0,11027,12
2018-10-21,565.74,1108.31,11844,11027,100.0,11027,12
2018-10-22,565.53,1097.49,11613,11027,100.0,11027,12
2018-10-23,565.39,1090.29,11460,11027,100.0,11027,12
2018-10-24,565.31,1086.18,11373,11027,100.0,11027,12
2018-10-25,565.34,1087.72,11405,11027,100.0,11027,12
2018-10-26,565.33,1087.21,11394,11027,100.0,11027,12
2018-10-27,565.27,1084.13,11329,11027,100.0,11027,12
2018-10-28,565.22,1081.57,11275,11027,100.0,11027,12
2018-10-29,565.18,1079.52,11232,11027,100.0,11027,12
2018-10-30,565.15,1077.98,11199,11027,100.0,11027,12
2018-10-31,565.24,1082.59,11297,11027,100.0,11027,12
2018-11-01,565.65,1103.67,11745,11027,100.0,11027,12
2018-11-02,565.52,1096.97,11602,11027,100.0,11027,12
2018-11-03,565.39,1090.29,11460,11027,100.0,11027,12
2018-11-04,565.36,1088.75,11427,11027,100.0,11027,12
2018-11-05,565.31,1086.18,11373,11027,100.0,11027,12
2018-11-06,565.29,1085.16,11351,11027,100.0,11027,12
2018-11-07,565.27,1084.13,11329,11027,100.0,11027,12
2018-11-08,565.22,1081.57,11275,11027,100.0,11027,12
2018-11-09,565.18,1079.52,11232,11027,100.0,11027,12
2018-11-10,565.15,1077.98,11199,11027,100.0,11027,12
2018-11-11,565.12,1076.45,11167,11027,100.0,11027,12
2018-11-12,565.12,1076.45,11167,11027,100.0,11027,12
2018-11-13,565.08,1074.40,11124,11027,100.0,11027,12
2018-11-14,565.06,1073.38,11103,11027,100.0,11027,12
2018-11-15,565.05,1072.87,11092,11027,100.0,11027,12
2018-11-16,565.04,1072.35,11081,11027,100.0,11027,12
2018-11-17,565.03,1071.84,11070,11027,100.0,11027,12
2018-11-18,565.01,1070.82,11049,11027,100.0,11027,12
2018-11-19,565.00,1070.31,11038,11026,100.0,11027,12
2018-11-20,564.99,1067.96,11028,11016,99.9,11027,12
2018-11-21,564.97,1063.26,11007,10995,99.7,11027,12
2018-11-22,564.96,1060.91,10996,10984,99.6,11027,12
2018-11-23,564.95,1058.56,10986,10974,99.5,11027,12
2018-11-24,564.95,1058.56,10986,10974,99.5,11027,12
2018-11-25,564.93,1053.86,10965,10953,99.3,11027,12
2018-11-26,564.91,1049.16,10944,10932,99.1,11027,12
2018-11-27,564.89,1046.35,10923,10911,98.9,11027,12
2018-11-28,564.88,1045.90,10912,10900,98.8,11027,12
2018-11-29,564.87,1045.44,10902,10890,98.8,11027,12
2018-11-30,564.89,1046.35,10923,10911,98.9,11027,12
2018-12-01,565.14,1077.47,11189,11027,100.0,11027,12
2018-12-02,565.18,1079.52,11232,11027,100.0,11027,12
2018-12-03,565.16,1078.49,11210,11027,100.0,11027,12
2018-12-04,565.14,1077.47,11189,11027,100.0,11027,12
2018-12-05,565.12,1076.45,11167,11027,100.0,11027,12
2018-12-06,565.12,1076.45,11167,11027,100.0,11027,12
2018-12-07,565.14,1077.47,11189,11027,100.0,11027,12
2018-12-08,565.47,1094.40,11547,11027,100.0,11027,12
2018-12-09,565.89,1116.06,12011,11027,100.0,11027,12
2018-12-10,565.68,1105.21,11778,11027,100.0,11027,12
2018-12-11,565.51,1096.46,11591,11027,100.0,11027,12
2018-12-12,565.38,1089.78,11449,11027,100.0,11027,12
2018-12-13,565.34,1087.72,11405,11027,100.0,11027,12
2018-12-14,565.91,1117.10,12034,11027,100.0,11027,12
2018-12-15,565.83,1112.96,11944,11027,100.0,11027,12
2018-12-16,565.59,1100.57,11679,11027,100.0,11027,12
2018-12-17,565.41,1091.32,11481,11027,100.0,11027,12
2018-12-18,565.32,1086.69,11383,11027,100.0,11027,12
2018-12-19,565.28,1084.64,11340,11027,100.0,11027,12
2018-12-20,565.22,1081.57,11275,11027,100.0,11027,12
2018-12-21,565.17,1079.01,11221,11027,100.0,11027,12
2018-12-22,565.14,1077.47,11189,11027,100.0,11027,12
2018-12-23,565.11,1075.93,11156,11027,100.0,11027,12
2018-12-24,565.10,1075.42,11146,11027,100.0,11027,12
2018-12-25,565.08,1074.40,11124,11027,100.0,11027,12
2018-12-26,565.16,1078.49,11210,11027,100.0,11027,12
