# ---------------------------------- Disclaimer -----------------------------------------
# The reservoir data contained in this file are best estimates generated by the Texas    
# Water Development Board(TWDB) using data collected by various data providers as well   
# as by TWDB. For a detailed explaination of the methodology used please visit:          
#                                                                                        
#     http://waterdatafortexas.org/reservoirs/methodology                                
#                                                                                        
# TWDB makes no warranties(including no warranties as to merchantability or fitness)     
# either expressed or implied with respect to the data or its fitness for any specific   
# application.                                                                           
# ---------------------------------------------------------------------------------------
# 
# Definitions:
#     reservoir_storage = actual storage at measured lake elevation
#     dead_pool_capacity = storage at dead pool elevation
#     conservation_capacity = storage at conservation pool elevation - dead pool capacity
#     conservation_storage = reservoir storage - dead pool capacity (note: conservation storage is capped at conservation capacity)
#     percent_full = 100 * conservation storage/conservation capacity
# 
#     for more detailed explanations see http://waterdatafortexas.org/reservoirs/glossary
# 
# Estimated daily average data for Palo Duro Reservoir
#     generated: 2021-07-03T19:48:09.973222 UTC
#     url: https://www.waterdatafortexas.org/reservoirs/individual/palo-duro-1year.csv
# 
# Footnote:
#     
# 
#             The elevation-storage rating curve used to produce the storage
#             hydrograph is made of two segments: (1) the segment up to the
#             conservation pool top (below the red line) is based on measured data,
#              and (2) the segment in the flood pool (above the red line) is an
#             extrapolation from the first segment and shouldn't be relied upon for
#             flood storage information.
#         
# 
# Data from 2021-01-13 06:00:00 to 2021-07-03 18:45:00 is marked as provisional by the USGS.
# 
# Elevation-Area-Capacity rating curve(s) used:
#     https://127.0.0.1/reservoirs/individual/palo-duro/rating-curve/USGS/1991-01-01
# 
# Conservation pool elevation(s) used: 2892.0 feet above NGVD29
# 
# Dead pool elevation(s) used: None
# 
# Units:
#     date: YYYY-MM-DD
#     water_level: feet above NGVD29
#     surface_area: acres
#     storages: acre-feet
# 
# 
date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
2020-07-03,2837.66,,1648,1648,2.7,61066,0
2020-07-04,2837.60,,1636,1636,2.7,61066,0
2020-07-05,2837.55,,1626,1626,2.7,61066,0
2020-07-06,2837.53,,1622,1622,2.7,61066,0
2020-07-07,2837.48,,1612,1612,2.6,61066,0
2020-07-08,2837.44,,1604,1604,2.6,61066,0
2020-07-09,2837.40,,1596,1596,2.6,61066,0
2020-07-10,2837.34,,1584,1584,2.6,61066,0
2020-07-11,2837.28,,1572,1572,2.6,61066,0
2020-07-12,2837.23,,1562,1562,2.6,61066,0
2020-07-13,2837.17,,1550,1550,2.5,61066,0
2020-07-14,2837.13,,1542,1542,2.5,61066,0
2020-07-15,2837.15,,1546,1546,2.5,61066,0
2020-07-16,2837.22,,1560,1560,2.6,61066,0
2020-07-17,2837.33,,1582,1582,2.6,61066,0
2020-07-18,2837.35,,1586,1586,2.6,61066,0
2020-07-19,2837.30,,1576,1576,2.6,61066,0
2020-07-20,2837.42,,1600,1600,2.6,61066,0
2020-07-21,2837.73,,1662,1662,2.7,61066,0
2020-07-22,2838.64,,1845,1845,3.0,61066,0
2020-07-23,2838.76,,1869,1869,3.1,61066,0
2020-07-24,2838.70,,1857,1857,3.0,61066,0
2020-07-25,2838.64,,1845,1845,3.0,61066,0
2020-07-26,2838.57,,1831,1831,3.0,61066,0
2020-07-27,2838.54,,1825,1825,3.0,61066,0
2020-07-28,2838.57,,1831,1831,3.0,61066,0
2020-07-29,2838.53,,1823,1823,3.0,61066,0
2020-07-30,2838.46,,1809,1809,3.0,61066,0
2020-07-31,2838.41,,1799,1799,2.9,61066,0
2020-08-01,2838.36,,1789,1789,2.9,61066,0
2020-08-02,2838.31,,1779,1779,2.9,61066,0
2020-08-03,2838.25,,1767,1767,2.9,61066,0
2020-08-04,2838.20,,1757,1757,2.9,61066,0
