#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 07007070: Meredith Reservoir, CO
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Meredith Reservoir (07007070) 
# Colorado  RESERVOIR Site - 4260 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 14, 2021 2:59:01 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1952,,,,,,,,,,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,3300,21800
1958,26000,27000,28100,27200,26300,28000,19400,18200,13900,12900,11700,12100
1959,12100,15600,26000,25100,22400,18500,1300,0,0,0,0,0
1960,0,700,13900,26200,25100,15200,5700,3400,0,0,0,0
1961,0,200,6000,5800,5000,3900,5000,4300,300,0,0,0
1962,7100,2200,17700,25100,26000,20800,16000,11700,5700,5200,4300,4300
1963,5000,6800,10000,9100,6800,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,12700,20800,26000,25400
1966,26200,26000,26400,25300,24000,17900,4800,6800,5700,6700,6100,5500
1967,6200,7100,6900,5900,4000,0,0,0,0,0,0,0
1968,0,2300,2300,2000,800,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,1500,21300,25600
1970,25400,25200,25100,24700,23400,22100,24000,19700,11700,9000,8500,15600
1971,26000,26000,26000,25400,24100,17100,1600,400,800,0,0,0
1972,0,3200,8600,7600,6800,3800,0,0,0,0,0,0
1973,7800,20100,22200,22500,22200,26600,16700,13800,11800,12200,11600,12300
1974,19500,26200,27000,25700,24300,13700,11000,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,3900,0,0,0
1980,0,0,0,0,0,7300,14800,9600,4300,3500,2600,2100
1981,2100,2050,1960,1600,1067,533,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0
1983,100,2000,14800,23600,31800,40500,41000,39100,37700,33700,33200,33200
1984,33200,33700,37200,37200,40100,39700,41200,41100,33300,39300,39900,40000
1985,40100,40100,41200,42000,42800,40900,39000,32800,28000,28000,27600,28400
1986,28400,33000,39100,38600,36300,31600,39800,40500,35000,34800,33700,40000
1987,40100,40100,39900,39600,38600,42400,40900,30000,20500,17700,16300,15511
1988,18590,21471,29724,34118,35525,29256,23796,13571,9219,7528,0,0
1989,2801,3872,6646,13891,8823,6018,3550,2503,1536,1024,592,321
1990,1992,7943,12818,14723,13180,7599,4400,3252,2533,1742,1427,6990
1991,12485,12505,12401,14782,12354,5480,3774,3104,2434,1491,827,7143
1992,16832,17214,17023,22751,16529,10343,9395,6259,5451,4883,4252,4178
1993,4923,12024,22157,26807,34172,34953,34703,32111,28321,26748,26250,26799
1994,26249,32796,36353,38070,27111,38046,37474,22465,18077,13614,12213,12001
1995,25840,26904,32295,33739,29100,36956,39804,39804,38893,33577,29185,28247
1996,38731,38286,38124,40435,33536,41158,39706,38840,32111,32359,30326,36716
1997,36014,35959,39633,38443,39060,39690,39804,34551,38020,31590,37095,39975
1998,40431,40545,40431,39340,40431,38656,31624,28201,34961,28490,32706,40056
1999,39804,39592,38836,40170,39758,40512,40105,40317,34768,28110,31580,38799
2000,39696,39368,39275,24773,36415,33004,35309,25355,16106,13995,12226,11584
2001,11522,18607,27235,31913,26410,30226,31962,24096,12297,10529,8620,7708
2002,7579,18017,26203,23249,17646,8452,6327,3806,1688,605,25,2282
2003,7803,12266,16832,17209,9098,2510,2266,1186,136,0,0,207
2004,7118,16259,25976,28887,22001,16374,10095,3550,1110,765,161,3014
2005,15069,29681,34714,39747,36662,38448,37203,17329,6542,5745,5325,4705
2006,4683,8246,14584,18794,12886,10712,6342,6912,9382,11460,11615,11584
2007,11925,11987,19400,30800,32400,37600,38800,35500,33400,31900,22792,22084
2008,23291,29294,39100,38821,30519,24829,33425,28618,27264,27784,26994,26053
2009,25667,29158,37464,40532,36831,41926,37540,33614,31896,30241,29836,29011
