#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	RESERVOIR 10UTENTU: Upper Enterprise, UT
# 
# Data items provided in this file:
#
# Element Name              Value Type  Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description               
# Reservoir Storage Volume  Value       None           Instantaneous - Start of Month  N/A        Acre feet          N/A           RESC          Reservoir storage volume  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Upper Enterprise (10UTENTU) 
# Utah  RESERVOIR Site - 5753 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 14, 2021 2:57:02 PM GMT-08:00
#
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values,Reservoir Storage Volume (ac_ft) Start of Month Values
1985,,,,,5000,5000,,,,,,
1986,2500,2900,,,3000,,,,,,,
1987,,0,800,,2800,,,,,,,
1988,500,500,900,900,900,,,,,,,
1989,200,400,600,,600,,,,,,,
1990,400,400,800,1500,2100,,,,,,,
1991,900,1000,2000,7500,7500,,,,,,,
1992,6200,7900,12000,12000,10000,,,,,,,
1993,7500,7500,7600,8300,8000,,,5000,,,4100,4000
1994,4500,5000,10000,10000,10000,10000,,,,,,
1995,7400,7400,7900,7800,7700,,,,,,,3700
1996,3600,5500,5500,5500,5500,,,,,,,
1997,2500,2500,4800,10000,10000,10000,,,,,,
1998,7500,7700,7700,7800,8000,,,,,,,
1999,3000,3400,4000,5000,1500,4800,,,,,,1000
2000,1000,1000,1500,3100,3100,2500,,,,,,
2001,500,500,500,500,500,500,500,500,500,0,0,0
2002,0,0,0,300,300,300,,0,0,0,0,0
2003,0,0,0,1400,1500,1000,500,200,0,0,0,0
2004,0,0,0,1400,1500,1000,500,2000,0,0,1800,4000
2005,5000,10000,10000,10000,10000,10000,9900,9000,8500,8000,8000,8000
2006,9000,9000,9000,10000,10000,10000,9800,6000,5000,7000,5000,4000
2007,3800,4000,3000,3000,3000,3500,2500,1500,0,0,0,0
2008,0,0,1000,2000,2500,2500,2000,1500,100,100,0,0
2009,100,200,3000,5700,6200,6000,3500,2500,300,200,200,200
2010,200,200,300,3200,7500,5200,4500,3000,3000,2500,4500,4500
2011,10000,10000,10000,10000,10000,10000,9000,8000,7000,6000,6000,6000
2012,6000,6000,6000,7000,8000,5400,4400,3500,2000,2200,2000,2000
2013,2100,2200,2200,2300,2000,1500,1000,1000,400,500,600,700
2014,800,1000,575,1000,800,800,800,850,900,1300,1300,1250
2015,1300,4450,4800,4800,4800,507,500,500,600,500,520,550
2016,700,900,1500,500,600,315,300,300,250,250,300,350
2017,400,600,3719,4195,5500,3500,3200,2800,1800,1700,1600,1600
2018,1400,1651,1651,1380,1376,900,500,300,210,228,228,228
2019,228,400,480,7000,7200,7314,7000,6650,6500,3000,3000,3000
2020,4500,5400,5400,6600,5500,5100,4000,2335,3703,3700,3049,3049
2021,3049,3049,3477,3477,3477,2289,,,,,,
