reservoir,storage,capacity,pct_capacity,date,state
"Anderson Ranch",331079,503500,65.8,01/2000,id
"Anderson Ranch",334370,503500,66.4,02/2000,id
"Anderson Ranch",317024,503500,63,03/2000,id
"Anderson Ranch",302646,503500,60.1,04/2000,id
"Anderson Ranch",377786,503500,75,05/2000,id
"Anderson Ranch",419332,503500,83.3,06/2000,id
"Anderson Ranch",369251,503500,73.3,07/2000,id
"Anderson Ranch",291803,503500,58,08/2000,id
"Anderson Ranch",255866,503500,50.8,09/2000,id
"Anderson Ranch",241237,503500,47.9,10/2000,id
"Anderson Ranch",241745,503500,48,11/2000,id
"Anderson Ranch",241066,503500,47.9,12/2000,id
"Anderson Ranch",239810,503500,47.6,01/2001,id
"Anderson Ranch",238188,503500,47.3,02/2001,id
"Anderson Ranch",239708,503500,47.6,03/2001,id
"Anderson Ranch",230033,503500,45.7,04/2001,id
"Anderson Ranch",197045,503500,39.1,05/2001,id
"Anderson Ranch",156814,503500,31.1,06/2001,id
"Anderson Ranch",105376,503500,20.9,07/2001,id
"Anderson Ranch",76617,503500,15.2,08/2001,id
"Anderson Ranch",59159,503500,11.7,09/2001,id
"Anderson Ranch",51953,503500,10.3,10/2001,id
"Anderson Ranch",46636,503500,9.3,11/2001,id
"Anderson Ranch",41551,503500,8.3,12/2001,id
"Anderson Ranch",36373,503500,7.2,01/2002,id
"Anderson Ranch",34232,503500,6.8,02/2002,id
"Anderson Ranch",35015,503500,7,03/2002,id
"Anderson Ranch",89429,503500,17.8,04/2002,id
"Anderson Ranch",183797,503500,36.5,05/2002,id
"Anderson Ranch",278364,503500,55.3,06/2002,id
"Anderson Ranch",263630,503500,52.4,07/2002,id
"Anderson Ranch",192072,503500,38.1,08/2002,id
"Anderson Ranch",129411,503500,25.7,09/2002,id
"Anderson Ranch",109919,503500,21.8,10/2002,id
"Anderson Ranch",105457,503500,20.9,11/2002,id
"Anderson Ranch",102365,503500,20.3,12/2002,id
"Anderson Ranch",100746,503500,20,01/2003,id
"Anderson Ranch",104958,503500,20.8,02/2003,id
