reservoir,storage,capacity,pct_capacity,date,state
"Jackson Lk",12860,26100,49.3,01/2000,CO
"Jackson Lk",19537,26100,74.9,02/2000,CO
"Jackson Lk",19300,26100,73.9,03/2000,CO
"Jackson Lk",19044,26100,73,04/2000,CO
"Jackson Lk",22012,26100,84.3,05/2000,CO
"Jackson Lk",25250,26100,96.7,06/2000,CO
"Jackson Lk",20898,26100,80.1,07/2000,CO
"Jackson Lk",13701,26100,52.5,08/2000,CO
"Jackson Lk",2182,26100,8.4,09/2000,CO
"Jackson Lk",-1200,26100,-4.6,10/2000,CO
"Jackson Lk",6314,26100,24.2,11/2000,CO
"Jackson Lk",20351,26100,78,12/2000,CO
"Jackson Lk",20015,26100,76.7,01/2001,CO
"Jackson Lk",19721,26100,75.6,02/2001,CO
"Jackson Lk",22495,26100,86.2,03/2001,CO
"Jackson Lk",26297,26100,100.8,04/2001,CO
"Jackson Lk",26014,26100,99.7,05/2001,CO
"Jackson Lk",27100,26100,103.8,06/2001,CO
"Jackson Lk",25132,26100,96.3,07/2001,CO
"Jackson Lk",15563,26100,59.6,08/2001,CO
"Jackson Lk",-1200,26100,-4.6,09/2001,CO
"Jackson Lk",-1200,26100,-4.6,10/2001,CO
"Jackson Lk",-1200,26100,-4.6,11/2001,CO
"Jackson Lk",-1200,26100,-4.6,12/2001,CO
"Jackson Lk",-1200,26100,-4.6,01/2002,CO
"Jackson Lk",8767,26100,33.6,02/2002,CO
"Jackson Lk",20477,26100,78.5,03/2002,CO
"Jackson Lk",26336,26100,100.9,04/2002,CO
"Jackson Lk",24890,26100,95.4,05/2002,CO
"Jackson Lk",16274,26100,62.4,06/2002,CO
"Jackson Lk",11584,26100,44.4,07/2002,CO
"Jackson Lk",1110,26100,4.3,08/2002,CO
"Jackson Lk",0,26100,0,09/2002,CO
"Jackson Lk",0,26100,0,10/2002,CO
"Jackson Lk",0,26100,0,11/2002,CO
"Jackson Lk",13245,26100,50.7,12/2002,CO
"Jackson Lk",24766,26100,94.9,01/2003,CO
"Jackson Lk",24120,26100,92.4,02/2003,CO
"Jackson Lk",23482,26100,90,03/2003,CO
"Jackson Lk",24615,26100,94.3,04/2003,CO
"Jackson Lk",24077,26100,92.2,05/2003,CO
"Jackson Lk",24220,26100,92.8,06/2003,CO
"Jackson Lk",25540,26100,97.9,07/2003,CO
"Jackson Lk",15145,26100,58,08/2003,CO
"Jackson Lk",2840,26100,10.9,09/2003,CO
"Jackson Lk",2260,26100,8.7,10/2003,CO
"Jackson Lk",2360,26100,9,11/2003,CO
"Jackson Lk",12690,26100,48.6,12/2003,CO
"Jackson Lk",23700,26100,90.8,01/2004,CO
"Jackson Lk",23756,26100,91,02/2004,CO
"Jackson Lk",24261,26100,93,03/2004,CO
"Jackson Lk",24766,26100,94.9,04/2004,CO
"Jackson Lk",23700,26100,90.8,05/2004,CO
"Jackson Lk",22189,26100,85,06/2004,CO
"Jackson Lk",20180,26100,77.3,07/2004,CO
"Jackson Lk",15297,26100,58.6,08/2004,CO
"Jackson Lk",7701,26100,29.5,09/2004,CO
"Jackson Lk",5300,26100,20.3,10/2004,CO
"Jackson Lk",120,26100,0.5,11/2004,CO
"Jackson Lk",11180,26100,42.8,12/2004,CO
"Jackson Lk",22240,26100,85.2,01/2005,CO
"Jackson Lk",21675,26100,83,02/2005,CO
"Jackson Lk",21065,26100,80.7,03/2005,CO
"Jackson Lk",26056,26100,99.8,04/2005,CO
"Jackson Lk",25712,26100,98.5,05/2005,CO
"Jackson Lk",25626,26100,98.2,06/2005,CO
"Jackson Lk",25720,26100,98.5,07/2005,CO
"Jackson Lk",16387,26100,62.8,08/2005,CO
"Jackson Lk",13093,26100,50.2,09/2005,CO
"Jackson Lk",10326,26100,39.6,10/2005,CO
"Jackson Lk",15712,26100,60.2,11/2005,CO
"Jackson Lk",23905,26100,91.6,12/2005,CO
"Jackson Lk",23905,26100,91.6,01/2006,CO
"Jackson Lk",23905,26100,91.6,02/2006,CO
"Jackson Lk",23905,26100,91.6,03/2006,CO
"Jackson Lk",26056,26100,99.8,04/2006,CO
"Jackson Lk",24806,26100,95,05/2006,CO
"Jackson Lk",1879,26100,7.2,06/2006,CO
"Jackson Lk",13929,26100,53.4,07/2006,CO
"Jackson Lk",9670,26100,37,08/2006,CO
"Jackson Lk",-1200,26100,-4.6,09/2006,CO
"Jackson Lk",-1200,26100,-4.6,10/2006,CO
"Jackson Lk",-1200,26100,-4.6,11/2006,CO
"Jackson Lk",6592,26100,25.3,12/2006,CO
"Jackson Lk",13663,26100,52.3,01/2007,CO
"Jackson Lk",19379,26100,74.2,02/2007,CO
"Jackson Lk",22075,26100,84.6,03/2007,CO
"Jackson Lk",25970,26100,99.5,04/2007,CO
"Jackson Lk",26057,26100,99.8,05/2007,CO
"Jackson Lk",26057,26100,99.8,06/2007,CO
"Jackson Lk",25734,26100,98.6,07/2007,CO
"Jackson Lk",19104,26100,73.2,08/2007,CO
"Jackson Lk",19910,26100,76.3,09/2007,CO
"Jackson Lk",13245,26100,50.7,10/2007,CO
"Jackson Lk",12641,26100,48.4,11/2007,CO
"Jackson Lk",17437,26100,66.8,12/2007,CO
"Jackson Lk",23906,26100,91.6,01/2008,CO
"Jackson Lk",23906,26100,91.6,02/2008,CO
"Jackson Lk",25282,26100,96.9,03/2008,CO
"Jackson Lk",26035,26100,99.8,04/2008,CO
"Jackson Lk",25433,26100,97.4,05/2008,CO
"Jackson Lk",24035,26100,92.1,06/2008,CO
"Jackson Lk",22726,26100,87.1,07/2008,CO
"Jackson Lk",14195,26100,54.4,08/2008,CO
"Jackson Lk",11293,26100,43.3,09/2008,CO
"Jackson Lk",8820,26100,33.8,10/2008,CO
"Jackson Lk",5829,26100,22.3,11/2008,CO
"Jackson Lk",13853,26100,53.1,12/2008,CO
"Jackson Lk",24121,26100,92.4,01/2009,CO
"Jackson Lk",24078,26100,92.3,02/2009,CO
"Jackson Lk",24616,26100,94.3,03/2009,CO
"Jackson Lk",25777,26100,98.8,04/2009,CO
"Jackson Lk",26100,26100,100,05/2009,CO
"Jackson Lk",26143,26100,100.2,06/2009,CO
"Jackson Lk",25842,26100,99,07/2009,CO
"Jackson Lk",24809,26100,95.1,08/2009,CO
"Jackson Lk",19598,26100,75.1,09/2009,CO
"Jackson Lk",17081,26100,65.4,10/2009,CO
"Jackson Lk",16556,26100,63.4,11/2009,CO
"Jackson Lk",23906,26100,91.6,12/2009,CO
"Jackson Lk",23546,26100,90.2,01/2010,CO
"Jackson Lk",22957,26100,88,02/2010,CO
"Jackson Lk",23970,26100,91.8,03/2010,CO
"Jackson Lk",25971,26100,99.5,04/2010,CO
"Jackson Lk",26121,26100,100.1,05/2010,CO
"Jackson Lk",26207,26100,100.4,06/2010,CO
"Jackson Lk",25949,26100,99.4,07/2010,CO
"Jackson Lk",23693,26100,90.8,08/2010,CO
"Jackson Lk",20015,26100,76.7,09/2010,CO
"Jackson Lk",14271,26100,54.7,10/2010,CO
"Jackson Lk",13245,26100,50.7,11/2010,CO
"Jackson Lk",18986,26100,72.7,12/2010,CO
"Jackson Lk",24121,26100,92.4,01/2011,CO
"Jackson Lk",24336,26100,93.2,02/2011,CO
"Jackson Lk",26100,26100,100,03/2011,CO
"Jackson Lk",25476,26100,97.6,04/2011,CO
"Jackson Lk",25476,26100,97.6,05/2011,CO
"Jackson Lk",26315,26100,100.8,06/2011,CO
"Jackson Lk",26143,26100,100.2,07/2011,CO
"Jackson Lk",26379,26100,101.1,08/2011,CO
"Jackson Lk",23189,26100,88.8,09/2011,CO
"Jackson Lk",20645,26100,79.1,10/2011,CO
"Jackson Lk",20540,26100,78.7,11/2011,CO
"Jackson Lk",22075,26100,84.6,12/2011,CO
"Jackson Lk",21991,26100,84.3,01/2012,CO
"Jackson Lk",21696,26100,83.1,02/2012,CO
"Jackson Lk",24702,26100,94.6,03/2012,CO
"Jackson Lk",26250,26100,100.6,04/2012,CO
"Jackson Lk",25928,26100,99.3,05/2012,CO
"Jackson Lk",24960,26100,95.6,06/2012,CO
"Jackson Lk",15525,26100,59.5,07/2012,CO
"Jackson Lk",6002,26100,23,08/2012,CO
"Jackson Lk",0,26100,0,09/2012,CO
"Jackson Lk",0,26100,0,10/2012,CO
"Jackson Lk",2160,26100,8.3,11/2012,CO
"Jackson Lk",10681,26100,40.9,12/2012,CO
"Jackson Lk",19700,26100,75.5,01/2013,CO
"Jackson Lk",23189,26100,88.8,02/2013,CO
"Jackson Lk",22621,26100,86.7,03/2013,CO
"Jackson Lk",25992,26100,99.6,04/2013,CO
"Jackson Lk",26057,26100,99.8,05/2013,CO
"Jackson Lk",24960,26100,95.6,06/2013,CO
"Jackson Lk",21928,26100,84,07/2013,CO
"Jackson Lk",13302,26100,51,08/2013,CO
"Jackson Lk",5144,26100,19.7,09/2013,CO
"Jackson Lk",1820,26100,7,10/2013,CO
"Jackson Lk",2040,26100,7.8,11/2013,CO
"Jackson Lk",10592,26100,40.6,12/2013,CO
"Jackson Lk",18430,26100,70.6,01/2014,CO
"Jackson Lk",26014,26100,99.7,02/2014,CO
"Jackson Lk",26057,26100,99.8,03/2014,CO
"Jackson Lk",25304,26100,97,04/2014,CO
"Jackson Lk",24594,26100,94.2,05/2014,CO
"Jackson Lk",26272,26100,100.7,06/2014,CO
"Jackson Lk",25390,26100,97.3,07/2014,CO
"Jackson Lk",24121,26100,92.4,08/2014,CO
"Jackson Lk",22810,26100,87.4,09/2014,CO
"Jackson Lk",21822,26100,83.6,10/2014,CO
"Jackson Lk",22222,26100,85.1,11/2014,CO
"Jackson Lk",23441,26100,89.8,12/2014,CO
"Jackson Lk",23231,26100,89,01/2015,CO
"Jackson Lk",22894,26100,87.7,02/2015,CO
"Jackson Lk",24013,26100,92,03/2015,CO
"Jackson Lk",25670,26100,98.4,04/2015,CO
"Jackson Lk",26057,26100,99.8,05/2015,CO
"Jackson Lk",26745,26100,102.5,06/2015,CO
"Jackson Lk",25842,26100,99,07/2015,CO
"Jackson Lk",24336,26100,93.2,08/2015,CO
"Jackson Lk",20751,26100,79.5,09/2015,CO
"Jackson Lk",19320,26100,74,10/2015,CO
"Jackson Lk",19241,26100,73.7,11/2015,CO
"Jackson Lk",24013,26100,92,12/2015,CO
"Jackson Lk",24013,26100,92,01/2016,CO
"Jackson Lk",24013,26100,92,02/2016,CO
"Jackson Lk",24013,26100,92,03/2016,CO
"Jackson Lk",25885,26100,99.2,04/2016,CO
"Jackson Lk",26121,26100,100.1,05/2016,CO
"Jackson Lk",25949,26100,99.4,06/2016,CO
"Jackson Lk",25777,26100,98.8,07/2016,CO
"Jackson Lk",23378,26100,89.6,08/2016,CO
"Jackson Lk",20540,26100,78.7,09/2016,CO
"Jackson Lk",19025,26100,72.9,10/2016,CO
"Jackson Lk",20751,26100,79.5,11/2016,CO
"Jackson Lk",24013,26100,92,12/2016,CO
"Jackson Lk",24013,26100,92,01/2017,CO
"Jackson Lk",24013,26100,92,02/2017,CO
"Jackson Lk",26035,26100,99.8,03/2017,CO
"Jackson Lk",26035,26100,99.8,04/2017,CO
"Jackson Lk",26035,26100,99.8,05/2017,CO
"Jackson Lk",25756,26100,98.7,06/2017,CO
"Jackson Lk",25411,26100,97.4,07/2017,CO
"Jackson Lk",20414,26100,78.2,08/2017,CO
"Jackson Lk",17868,26100,68.5,09/2017,CO
"Jackson Lk",15657,26100,60,10/2017,CO
"Jackson Lk",19202,26100,73.6,11/2017,CO
"Jackson Lk",24200,26100,92.7,12/2017,CO
"Jackson Lk",24200,26100,92.7,01/2018,CO
"Jackson Lk",24200,26100,92.7,02/2018,CO
"Jackson Lk",24600,26100,94.3,03/2018,CO
"Jackson Lk",25800,26100,98.9,04/2018,CO
"Jackson Lk",26100,26100,100,05/2018,CO
"Jackson Lk",26100,26100,100,06/2018,CO
"Jackson Lk",25500,26100,97.7,07/2018,CO
"Jackson Lk",18300,26100,70.1,08/2018,CO
"Jackson Lk",14500,26100,55.6,09/2018,CO
"Jackson Lk",13100,26100,50.2,10/2018,CO
"Jackson Lk",19500,26100,74.7,11/2018,CO
"Jackson Lk",24228,26100,92.8,12/2018,CO
"Jackson Lk",24300,26100,93.1,01/2019,CO
"Jackson Lk",23700,26100,90.8,02/2019,CO
"Jackson Lk",24000,26100,92,03/2019,CO
"Jackson Lk",26100,26100,100,04/2019,CO
