reservoir,storage,capacity,pct_capacity,date,state
Bair,1840,7300,25.2,01/2000,MT
Bair,1910,7300,26.2,02/2000,MT
Bair,2020,7300,27.7,03/2000,MT
Bair,2510,7300,34.4,04/2000,MT
Bair,2920,7300,40,05/2000,MT
Bair,2360,7300,32.3,06/2000,MT
Bair,1460,7300,20,07/2000,MT
Bair,1210,7300,16.6,08/2000,MT
Bair,850,7300,11.6,09/2000,MT
Bair,740,7300,10.1,10/2000,MT
Bair,1130,7300,15.5,11/2000,MT
Bair,1170,7300,16,12/2000,MT
Bair,1360,7300,18.6,01/2001,MT
Bair,1490,7300,20.4,02/2001,MT
Bair,1630,7300,22.3,03/2001,MT
Bair,1800,7300,24.7,04/2001,MT
Bair,2100,7300,28.8,05/2001,MT
Bair,1780,7300,24.4,06/2001,MT
Bair,770,7300,10.5,07/2001,MT
Bair,880,7300,12.1,08/2001,MT
Bair,810,7300,11.1,09/2001,MT
Bair,770,7300,10.5,10/2001,MT
Bair,900,7300,12.3,11/2001,MT
Bair,1110,7300,15.2,12/2001,MT
Bair,1330,7300,18.2,01/2002,MT
Bair,1550,7300,21.2,02/2002,MT
Bair,1810,7300,24.8,03/2002,MT
Bair,2100,7300,28.8,04/2002,MT
Bair,2740,7300,37.5,05/2002,MT
Bair,3140,7300,43,06/2002,MT
Bair,2100,7300,28.8,07/2002,MT
Bair,2010,7300,27.5,08/2002,MT
Bair,900,7300,12.3,09/2002,MT
Bair,920,7300,12.6,10/2002,MT
Bair,930,7300,12.7,11/2002,MT
Bair,1240,7300,17,12/2002,MT
Bair,1440,7300,19.7,01/2003,MT
Bair,1550,7300,21.2,02/2003,MT
Bair,1800,7300,24.7,03/2003,MT
Bair,2770,7300,37.9,04/2003,MT
Bair,3840,7300,52.6,05/2003,MT
Bair,4230,7300,57.9,06/2003,MT
Bair,4540,7300,62.2,07/2003,MT
Bair,2420,7300,33.2,08/2003,MT
Bair,900,7300,12.3,09/2003,MT
Bair,810,7300,11.1,10/2003,MT
Bair,940,7300,12.9,11/2003,MT
Bair,1020,7300,14,12/2003,MT
Bair,1090,7300,14.9,01/2004,MT
Bair,1630,7300,22.3,02/2004,MT
Bair,1910,7300,26.2,03/2004,MT
Bair,2660,7300,36.4,04/2004,MT
Bair,3220,7300,44.1,05/2004,MT
Bair,3290,7300,45.1,06/2004,MT
