reservoir,storage,capacity,pct_capacity,date,state
Keyhole,171584,193800,88.5,01/2000,WY
Keyhole,172004,193800,88.8,02/2000,WY
Keyhole,173265,193800,89.4,03/2000,WY
Keyhole,174627,193800,90.1,04/2000,WY
Keyhole,175049,193800,90.3,05/2000,WY
Keyhole,175750,193800,90.7,06/2000,WY
Keyhole,173050,193800,89.3,07/2000,WY
Keyhole,168847,193800,87.1,08/2000,WY
Keyhole,162561,193800,83.9,09/2000,WY
Keyhole,158980,193800,82,10/2000,WY
Keyhole,157688,193800,81.4,11/2000,WY
Keyhole,157769,193800,81.4,12/2000,WY
Keyhole,158414,193800,81.7,01/2001,WY
Keyhole,158818,193800,81.9,02/2001,WY
Keyhole,159522,193800,82.3,03/2001,WY
Keyhole,167408,193800,86.4,04/2001,WY
Keyhole,170725,193800,88.1,05/2001,WY
Keyhole,169615,193800,87.5,06/2001,WY
Keyhole,171433,193800,88.5,07/2001,WY
Keyhole,168085,193800,86.7,08/2001,WY
Keyhole,160687,193800,82.9,09/2001,WY
Keyhole,157047,193800,81,10/2001,WY
Keyhole,155450,193800,80.2,11/2001,WY
Keyhole,154758,193800,79.9,12/2001,WY
Keyhole,154280,193800,79.6,01/2002,WY
Keyhole,154110,193800,79.5,02/2002,WY
Keyhole,154399,193800,79.7,03/2002,WY
Keyhole,155609,193800,80.3,04/2002,WY
Keyhole,157310,193800,81.2,05/2002,WY
Keyhole,156487,193800,80.7,06/2002,WY
Keyhole,146311,193800,75.5,07/2002,WY
Keyhole,129055,193800,66.6,08/2002,WY
Keyhole,121681,193800,62.8,09/2002,WY
Keyhole,116706,193800,60.2,10/2002,WY
Keyhole,115548,193800,59.6,11/2002,WY
Keyhole,115244,193800,59.5,12/2002,WY
Keyhole,115305,193800,59.5,01/2003,WY
Keyhole,116035,193800,59.9,02/2003,WY
Keyhole,117012,193800,60.4,03/2003,WY
Keyhole,130745,193800,67.5,04/2003,WY
Keyhole,131563,193800,67.9,05/2003,WY
Keyhole,131289,193800,67.7,06/2003,WY
Keyhole,135873,193800,70.1,07/2003,WY
