reservoir,storage,capacity,pct_capacity,date,state
Belton,375746,435225,86.3,01/2000,tx
Belton,372473,435225,85.6,02/2000,tx
Belton,373176,435225,85.7,03/2000,tx
Belton,377817,435225,86.8,04/2000,tx
Belton,379070,435225,87.1,05/2000,tx
Belton,401707,435225,92.3,06/2000,tx
Belton,402186,435225,92.4,07/2000,tx
Belton,383892,435225,88.2,08/2000,tx
Belton,369362,435225,84.9,09/2000,tx
Belton,365585,435225,84,10/2000,tx
Belton,423877,435225,97.4,11/2000,tx
Belton,437469,435225,100.5,12/2000,tx
Belton,437469,435225,100.5,01/2001,tx
Belton,437469,435225,100.5,02/2001,tx
Belton,437469,435225,100.5,03/2001,tx
Belton,437469,435225,100.5,04/2001,tx
Belton,437469,435225,100.5,05/2001,tx
Belton,437469,435225,100.5,06/2001,tx
Belton,434599,435225,99.9,07/2001,tx
Belton,421051,435225,96.7,08/2001,tx
Belton,437448,435225,100.5,09/2001,tx
Belton,434688,435225,99.9,10/2001,tx
Belton,434109,435225,99.7,11/2001,tx
Belton,437469,435225,100.5,12/2001,tx
Belton,437469,435225,100.5,01/2002,tx
Belton,437469,435225,100.5,02/2002,tx
Belton,437469,435225,100.5,03/2002,tx
Belton,437465,435225,100.5,04/2002,tx
Belton,435636,435225,100.1,05/2002,tx
Belton,433083,435225,99.5,06/2002,tx
Belton,437351,435225,100.5,07/2002,tx
Belton,435428,435225,100,08/2002,tx
Belton,424964,435225,97.6,09/2002,tx
Belton,421116,435225,96.8,10/2002,tx
Belton,436948,435225,100.4,11/2002,tx
Belton,437469,435225,100.5,12/2002,tx
Belton,437469,435225,100.5,01/2003,tx
Belton,437469,435225,100.5,02/2003,tx
Belton,437469,435225,100.5,03/2003,tx
Belton,437469,435225,100.5,04/2003,tx
Belton,435182,435225,100,05/2003,tx
Belton,434987,435225,99.9,06/2003,tx
Belton,432946,435225,99.5,07/2003,tx
Belton,421416,435225,96.8,08/2003,tx
Belton,415914,435225,95.6,09/2003,tx
Belton,429370,435225,98.7,10/2003,tx
Belton,435124,435225,100,11/2003,tx
Belton,432502,435225,99.4,12/2003,tx
Belton,432782,435225,99.4,01/2004,tx
Belton,435225,435225,100,02/2004,tx
Belton,435225,435225,100,03/2004,tx
Belton,435225,435225,100,04/2004,tx
Belton,435225,435225,100,05/2004,tx
Belton,435225,435225,100,06/2004,tx
Belton,435225,435225,100,07/2004,tx
Belton,435135,435225,100,08/2004,tx
Belton,435172,435225,100,09/2004,tx
Belton,435225,435225,100,10/2004,tx
Belton,435225,435225,100,11/2004,tx
