reservoir,storage,capacity,pct_capacity,date,state
Berryessa,1396100,1602000,87.1,01/2000,ca
Berryessa,1564500,1602000,97.7,02/2000,ca
Berryessa,1598400,1602000,99.8,03/2000,ca
Berryessa,1589600,1602000,99.2,04/2000,ca
Berryessa,1562000,1602000,97.5,05/2000,ca
Berryessa,1514200,1602000,94.5,06/2000,ca
Berryessa,1463100,1602000,91.3,07/2000,ca
Berryessa,1418600,1602000,88.6,08/2000,ca
Berryessa,1390100,1602000,86.8,09/2000,ca
Berryessa,1375500,1602000,85.9,10/2000,ca
Berryessa,1368300,1602000,85.4,11/2000,ca
Berryessa,1363800,1602000,85.1,12/2000,ca
Berryessa,1377200,1602000,86,01/2001,ca
Berryessa,1450500,1602000,90.5,02/2001,ca
Berryessa,1489001,1602000,92.9,03/2001,ca
Berryessa,1472400,1602000,91.9,04/2001,ca
Berryessa,1430000,1602000,89.3,05/2001,ca
Berryessa,1382800,1602000,86.3,06/2001,ca
Berryessa,1336500,1602000,83.4,07/2001,ca
Berryessa,1295100,1602000,80.8,08/2001,ca
Berryessa,1264300,1602000,78.9,09/2001,ca
Berryessa,1246029,1602000,77.8,10/2001,ca
Berryessa,1256641,1602000,78.4,11/2001,ca
Berryessa,1370307,1602000,85.5,12/2001,ca
Berryessa,1480410,1602000,92.4,01/2002,ca
Berryessa,1494817,1602000,93.3,02/2002,ca
Berryessa,1506826,1602000,94.1,03/2002,ca
Berryessa,1489376,1602000,93,04/2002,ca
Berryessa,1457142,1602000,91,05/2002,ca
Berryessa,1410696,1602000,88.1,06/2002,ca
Berryessa,1360728,1602000,84.9,07/2002,ca
Berryessa,1318643,1602000,82.3,08/2002,ca
Berryessa,1286775,1602000,80.3,09/2002,ca
Berryessa,1266247,1602000,79,10/2002,ca
Berryessa,1263976,1602000,78.9,11/2002,ca
Berryessa,1494817,1602000,93.3,12/2002,ca
Berryessa,1570778,1602000,98.1,01/2003,ca
Berryessa,1586498,1602000,99,02/2003,ca
Berryessa,1604405,1602000,100.2,03/2003,ca
Berryessa,1617750,1602000,101,04/2003,ca
Berryessa,1596312,1602000,99.6,05/2003,ca
Berryessa,1555501,1602000,97.1,06/2003,ca
Berryessa,1505888,1602000,94,07/2003,ca
Berryessa,1464569,1602000,91.4,08/2003,ca
Berryessa,1430888,1602000,89.3,09/2003,ca
Berryessa,1410696,1602000,88.1,10/2003,ca
Berryessa,1405396,1602000,87.7,11/2003,ca
Berryessa,1523988,1602000,95.1,12/2003,ca
Berryessa,1586305,1602000,99,01/2004,ca
Berryessa,1649058,1602000,102.9,02/2004,ca
Berryessa,1600738,1602000,99.9,03/2004,ca
Berryessa,1577672,1602000,98.5,04/2004,ca
Berryessa,1540093,1602000,96.1,05/2004,ca
Berryessa,1493879,1602000,93.3,06/2004,ca
Berryessa,1443440,1602000,90.1,07/2004,ca
Berryessa,1401009,1602000,87.5,08/2004,ca
Berryessa,1369584,1602000,85.5,09/2004,ca
Berryessa,1358565,1602000,84.8,10/2004,ca
Berryessa,1355900,1602000,84.6,11/2004,ca
Berryessa,1434943,1602000,89.6,12/2004,ca
Berryessa,1530993,1602000,95.6,01/2005,ca
Berryessa,1576140,1602000,98.4,02/2005,ca
Berryessa,1623756,1602000,101.4,03/2005,ca
Berryessa,1603632,1602000,100.1,04/2005,ca
Berryessa,1609434,1602000,100.5,05/2005,ca
Berryessa,1575374,1602000,98.3,06/2005,ca
Berryessa,1527580,1602000,95.4,07/2005,ca
