reservoir,storage,capacity,pct_capacity,date,state
"Camanche Reservoir",309520,417100,74.2,01/2000,ca
"Camanche Reservoir",302290,417100,72.5,02/2000,ca
"Camanche Reservoir",280820,417100,67.3,03/2000,ca
"Camanche Reservoir",291580,417100,69.9,04/2000,ca
"Camanche Reservoir",341190,417100,81.8,05/2000,ca
"Camanche Reservoir",351330,417100,84.2,06/2000,ca
"Camanche Reservoir",324510,417100,77.8,07/2000,ca
"Camanche Reservoir",309260,417100,74.1,08/2000,ca
"Camanche Reservoir",298700,417100,71.6,09/2000,ca
"Camanche Reservoir",316580,417100,75.9,10/2000,ca
"Camanche Reservoir",315790,417100,75.7,11/2000,ca
"Camanche Reservoir",314220,417100,75.3,12/2000,ca
"Camanche Reservoir",296400,417100,71.1,01/2001,ca
"Camanche Reservoir",280820,417100,67.3,02/2001,ca
"Camanche Reservoir",268330,417100,64.3,03/2001,ca
"Camanche Reservoir",270260,417100,64.8,04/2001,ca
"Camanche Reservoir",260870,417100,62.5,05/2001,ca
"Camanche Reservoir",235145,417100,56.4,06/2001,ca
"Camanche Reservoir",221450,417100,53.1,07/2001,ca
"Camanche Reservoir",208400,417100,50,08/2001,ca
"Camanche Reservoir",194790,417100,46.7,09/2001,ca
"Camanche Reservoir",204650,417100,49.1,10/2001,ca
"Camanche Reservoir",191780,417100,46,11/2001,ca
"Camanche Reservoir",202560,417100,48.6,12/2001,ca
"Camanche Reservoir",239450,417100,57.4,01/2002,ca
"Camanche Reservoir",233800,417100,56.1,02/2002,ca
"Camanche Reservoir",271730,417100,65.1,03/2002,ca
"Camanche Reservoir",295890,417100,70.9,04/2002,ca
"Camanche Reservoir",280830,417100,67.3,05/2002,ca
"Camanche Reservoir",286050,417100,68.6,06/2002,ca
"Camanche Reservoir",263970,417100,63.3,07/2002,ca
"Camanche Reservoir",247470,417100,59.3,08/2002,ca
"Camanche Reservoir",237620,417100,57,09/2002,ca
"Camanche Reservoir",250020,417100,59.9,10/2002,ca
"Camanche Reservoir",248862,417100,59.7,11/2002,ca
"Camanche Reservoir",262305,417100,62.9,12/2002,ca
"Camanche Reservoir",282800,417100,67.8,01/2003,ca
"Camanche Reservoir",305630,417100,73.3,02/2003,ca
"Camanche Reservoir",303830,417100,72.8,03/2003,ca
"Camanche Reservoir",312130,417100,74.8,04/2003,ca
"Camanche Reservoir",356870,417100,85.6,05/2003,ca
"Camanche Reservoir",376860,417100,90.4,06/2003,ca
"Camanche Reservoir",324250,417100,77.7,07/2003,ca
"Camanche Reservoir",287050,417100,68.8,08/2003,ca
"Camanche Reservoir",278840,417100,66.9,09/2003,ca
"Camanche Reservoir",289312,417100,69.4,10/2003,ca
"Camanche Reservoir",282310,417100,67.7,11/2003,ca
"Camanche Reservoir",289877,417100,69.5,12/2003,ca
"Camanche Reservoir",310040,417100,74.3,01/2004,ca
"Camanche Reservoir",316840,417100,76,02/2004,ca
"Camanche Reservoir",350780,417100,84.1,03/2004,ca
"Camanche Reservoir",357420,417100,85.7,04/2004,ca
"Camanche Reservoir",307970,417100,73.8,05/2004,ca
"Camanche Reservoir",283740,417100,68,06/2004,ca
"Camanche Reservoir",264700,417100,63.5,07/2004,ca
"Camanche Reservoir",250720,417100,60.1,08/2004,ca
"Camanche Reservoir",242630,417100,58.2,09/2004,ca
"Camanche Reservoir",250720,417100,60.1,10/2004,ca
"Camanche Reservoir",243550,417100,58.4,11/2004,ca
"Camanche Reservoir",254230,417100,61,12/2004,ca
"Camanche Reservoir",307452,417100,73.7,01/2005,ca
"Camanche Reservoir",336580,417100,80.7,02/2005,ca
"Camanche Reservoir",371740,417100,89.1,03/2005,ca
"Camanche Reservoir",372590,417100,89.3,04/2005,ca
"Camanche Reservoir",397400,417100,95.3,05/2005,ca
"Camanche Reservoir",406540,417100,97.5,06/2005,ca
"Camanche Reservoir",367792,417100,88.2,07/2005,ca
"Camanche Reservoir",327180,417100,78.4,08/2005,ca
"Camanche Reservoir",294870,417100,70.7,09/2005,ca
"Camanche Reservoir",310040,417100,74.3,10/2005,ca
"Camanche Reservoir",305380,417100,73.2,11/2005,ca
"Camanche Reservoir",331480,417100,79.5,12/2005,ca
"Camanche Reservoir",264940,417100,63.5,01/2006,ca
"Camanche Reservoir",265180,417100,63.6,02/2006,ca
"Camanche Reservoir",340100,417100,81.5,03/2006,ca
"Camanche Reservoir",355480,417100,85.2,04/2006,ca
"Camanche Reservoir",380580,417100,91.2,05/2006,ca
"Camanche Reservoir",394760,417100,94.6,06/2006,ca
"Camanche Reservoir",356040,417100,85.4,07/2006,ca
"Camanche Reservoir",340100,417100,81.5,08/2006,ca
"Camanche Reservoir",304340,417100,73,09/2006,ca
"Camanche Reservoir",313430,417100,75.1,10/2006,ca
"Camanche Reservoir",311870,417100,74.8,11/2006,ca
"Camanche Reservoir",322390,417100,77.3,12/2006,ca
"Camanche Reservoir",318950,417100,76.5,01/2007,ca
"Camanche Reservoir",307450,417100,73.7,02/2007,ca
"Camanche Reservoir",305380,417100,73.2,03/2007,ca
"Camanche Reservoir",288560,417100,69.2,04/2007,ca
"Camanche Reservoir",266870,417100,64,05/2007,ca
"Camanche Reservoir",252350,417100,60.5,06/2007,ca
"Camanche Reservoir",230450,417100,55.3,07/2007,ca
"Camanche Reservoir",219480,417100,52.6,08/2007,ca
"Camanche Reservoir",213630,417100,51.2,09/2007,ca
"Camanche Reservoir",213950,417100,51.3,10/2007,ca
"Camanche Reservoir",211560,417100,50.7,11/2007,ca
"Camanche Reservoir",199270,417100,47.8,12/2007,ca
"Camanche Reservoir",200860,417100,48.2,01/2008,ca
"Camanche Reservoir",206880,417100,49.6,02/2008,ca
"Camanche Reservoir",210980,417100,50.6,03/2008,ca
"Camanche Reservoir",200140,417100,48,04/2008,ca
"Camanche Reservoir",175758,417100,42.1,05/2008,ca
"Camanche Reservoir",162910,417100,39.1,06/2008,ca
"Camanche Reservoir",150660,417100,36.1,07/2008,ca
"Camanche Reservoir",150490,417100,36.1,08/2008,ca
"Camanche Reservoir",145770,417100,34.9,09/2008,ca
"Camanche Reservoir",145000,417100,34.8,10/2008,ca
"Camanche Reservoir",138560,417100,33.2,11/2008,ca
"Camanche Reservoir",137200,417100,32.9,12/2008,ca
"Camanche Reservoir",141640,417100,34,01/2009,ca
"Camanche Reservoir",156580,417100,37.5,02/2009,ca
"Camanche Reservoir",202460,417100,48.5,03/2009,ca
"Camanche Reservoir",230340,417100,55.2,04/2009,ca
"Camanche Reservoir",318090,417100,76.3,05/2009,ca
"Camanche Reservoir",330250,417100,79.2,06/2009,ca
"Camanche Reservoir",329580,417100,79,07/2009,ca
"Camanche Reservoir",329540,417100,79,08/2009,ca
"Camanche Reservoir",322320,417100,77.3,09/2009,ca
"Camanche Reservoir",289310,417100,69.4,10/2009,ca
"Camanche Reservoir",281380,417100,67.5,11/2009,ca
"Camanche Reservoir",278470,417100,66.8,12/2009,ca
"Camanche Reservoir",286420,417100,68.7,01/2010,ca
"Camanche Reservoir",303945,417100,72.9,02/2010,ca
"Camanche Reservoir",325780,417100,78.1,03/2010,ca
"Camanche Reservoir",350230,417100,84,04/2010,ca
"Camanche Reservoir",352370,417100,84.5,05/2010,ca
"Camanche Reservoir",392500,417100,94.1,06/2010,ca
"Camanche Reservoir",362030,417100,86.8,07/2010,ca
