reservoir,storage,capacity,pct_capacity,date,state
Donnells,16098,56900,28.3,01/2000,ca
Donnells,13800,56900,24.3,02/2000,ca
Donnells,14397,56900,25.3,03/2000,ca
Donnells,33700,56900,59.2,04/2000,ca
Donnells,63300,56900,111.2,05/2000,ca
Donnells,64300,56900,113,06/2000,ca
Donnells,44000,56900,77.3,07/2000,ca
Donnells,23400,56900,41.1,08/2000,ca
Donnells,15800,56900,27.8,09/2000,ca
Donnells,13597,56900,23.9,10/2000,ca
Donnells,5597,56900,9.8,11/2000,ca
Donnells,4947,56900,8.7,12/2000,ca
Donnells,5823,56900,10.2,01/2001,ca
Donnells,4999,56900,8.8,02/2001,ca
Donnells,14200,56900,25,03/2001,ca
Donnells,19400,56900,34.1,04/2001,ca
Donnells,62500,56900,109.8,05/2001,ca
Donnells,58805,56900,103.3,06/2001,ca
Donnells,50700,56900,89.1,07/2001,ca
Donnells,37900,56900,66.6,08/2001,ca
Donnells,27100,56900,47.6,09/2001,ca
Donnells,21371,56900,37.6,10/2001,ca
Donnells,19117,56900,33.6,11/2001,ca
Donnells,14161,56900,24.9,12/2001,ca
Donnells,5638,56900,9.9,01/2002,ca
Donnells,5470,56900,9.6,02/2002,ca
Donnells,6820,56900,12,03/2002,ca
Donnells,21087,56900,37.1,04/2002,ca
Donnells,50365,56900,88.5,05/2002,ca
Donnells,63460,56900,111.5,06/2002,ca
Donnells,58694,56900,103.2,07/2002,ca
Donnells,51266,56900,90.1,08/2002,ca
Donnells,24453,56900,43,09/2002,ca
Donnells,10700,56900,18.8,10/2002,ca
Donnells,9120,56900,16,11/2002,ca
Donnells,6574,56900,11.6,12/2002,ca
Donnells,7498,56900,13.2,01/2003,ca
Donnells,5155,56900,9.1,02/2003,ca
Donnells,9136,56900,16.1,03/2003,ca
Donnells,6978,56900,12.3,04/2003,ca
Donnells,61099,56900,107.4,05/2003,ca
Donnells,62948,56900,110.6,06/2003,ca
Donnells,53725,56900,94.4,07/2003,ca
Donnells,45870,56900,80.6,08/2003,ca
Donnells,33331,56900,58.6,09/2003,ca
Donnells,23303,56900,41,10/2003,ca
Donnells,23669,56900,41.6,11/2003,ca
Donnells,18895,56900,33.2,12/2003,ca
Donnells,10340,56900,18.2,01/2004,ca
Donnells,7427,56900,13.1,02/2004,ca
Donnells,11667,56900,20.5,03/2004,ca
Donnells,27171,56900,47.8,04/2004,ca
Donnells,62998,56900,110.7,05/2004,ca
Donnells,63880,56900,112.3,06/2004,ca
Donnells,56522,56900,99.3,07/2004,ca
Donnells,45752,56900,80.4,08/2004,ca
Donnells,36184,56900,63.6,09/2004,ca
Donnells,27167,56900,47.7,10/2004,ca
Donnells,12114,56900,21.3,11/2004,ca
Donnells,14683,56900,25.8,12/2004,ca
Donnells,13017,56900,22.9,01/2005,ca
Donnells,14312,56900,25.2,02/2005,ca
Donnells,6026,56900,10.6,03/2005,ca
Donnells,11951,56900,21,04/2005,ca
Donnells,61115,56900,107.4,05/2005,ca
Donnells,62952,56900,110.6,06/2005,ca
Donnells,61605,56900,108.3,07/2005,ca
Donnells,54802,56900,96.3,08/2005,ca
Donnells,46681,56900,82,09/2005,ca
Donnells,40156,56900,70.6,10/2005,ca
Donnells,34334,56900,60.3,11/2005,ca
Donnells,45959,56900,80.8,12/2005,ca
Donnells,40138,56900,70.5,01/2006,ca
Donnells,25540,56900,44.9,02/2006,ca
Donnells,8532,56900,15,03/2006,ca
Donnells,31444,56900,55.3,04/2006,ca
Donnells,59193,56900,104,05/2006,ca
Donnells,63905,56900,112.3,06/2006,ca
Donnells,60990,56900,107.2,07/2006,ca
