reservoir,storage,capacity,pct_capacity,date,state
Granbury,119870,132949,90.2,01/2000,tx
Granbury,116519,132949,87.6,02/2000,tx
Granbury,116322,132949,87.5,03/2000,tx
Granbury,118081,132949,88.8,04/2000,tx
Granbury,119156,132949,89.6,05/2000,tx
Granbury,131734,132949,99.1,06/2000,tx
Granbury,130340,132949,98,07/2000,tx
Granbury,123293,132949,92.7,08/2000,tx
Granbury,119794,132949,90.1,09/2000,tx
Granbury,113433,132949,85.3,10/2000,tx
Granbury,124838,132949,93.9,11/2000,tx
Granbury,128903,132949,97,12/2000,tx
Granbury,132717,132949,99.8,01/2001,tx
Granbury,130944,132949,98.5,02/2001,tx
Granbury,129025,132949,97,03/2001,tx
Granbury,130833,132949,98.4,04/2001,tx
Granbury,130330,132949,98,05/2001,tx
Granbury,129098,132949,97.1,06/2001,tx
Granbury,122809,132949,92.4,07/2001,tx
Granbury,122285,132949,92,08/2001,tx
Granbury,127549,132949,95.9,09/2001,tx
Granbury,120693,132949,90.8,10/2001,tx
Granbury,116680,132949,87.8,11/2001,tx
Granbury,115696,132949,87,12/2001,tx
Granbury,115391,132949,86.8,01/2002,tx
Granbury,124925,132949,94,02/2002,tx
Granbury,130935,132949,98.5,03/2002,tx
Granbury,132734,132949,99.8,04/2002,tx
Granbury,133140,132949,100.1,05/2002,tx
Granbury,132225,132949,99.5,06/2002,tx
Granbury,132809,132949,99.9,07/2002,tx
Granbury,133102,132949,100.1,08/2002,tx
Granbury,132862,132949,99.9,09/2002,tx
Granbury,132839,132949,99.9,10/2002,tx
Granbury,132604,132949,99.7,11/2002,tx
Granbury,132666,132949,99.8,12/2002,tx
Granbury,133063,132949,100.1,01/2003,tx
Granbury,133148,132949,100.1,02/2003,tx
Granbury,133214,132949,100.2,03/2003,tx
Granbury,133085,132949,100.1,04/2003,tx
Granbury,132918,132949,100,05/2003,tx
Granbury,133623,132949,100.5,06/2003,tx
Granbury,124518,132949,93.7,07/2003,tx
Granbury,124213,132949,93.4,08/2003,tx
Granbury,124275,132949,93.5,09/2003,tx
Granbury,124629,132949,93.7,10/2003,tx
Granbury,124393,132949,93.6,11/2003,tx
Granbury,123425,132949,92.8,12/2003,tx
Granbury,123299,132949,92.7,01/2004,tx
Granbury,125128,132949,94.1,02/2004,tx
Granbury,125105,132949,94.1,03/2004,tx
Granbury,124688,132949,93.8,04/2004,tx
Granbury,125029,132949,94,05/2004,tx
Granbury,124826,132949,93.9,06/2004,tx
Granbury,124454,132949,93.6,07/2004,tx
Granbury,124751,132949,93.8,08/2004,tx
Granbury,124624,132949,93.7,09/2004,tx
Granbury,124234,132949,93.4,10/2004,tx
Granbury,124351,132949,93.5,11/2004,tx
Granbury,124062,132949,93.3,12/2004,tx
Granbury,124043,132949,93.3,01/2005,tx
Granbury,124132,132949,93.4,02/2005,tx
Granbury,124410,132949,93.6,03/2005,tx
Granbury,124222,132949,93.4,04/2005,tx
Granbury,124591,132949,93.7,05/2005,tx
Granbury,125243,132949,94.2,06/2005,tx
Granbury,119905,132949,90.2,07/2005,tx
Granbury,119460,132949,89.9,08/2005,tx
Granbury,124199,132949,93.4,09/2005,tx
Granbury,123809,132949,93.1,10/2005,tx
Granbury,124168,132949,93.4,11/2005,tx
Granbury,124709,132949,93.8,12/2005,tx
Granbury,123867,132949,93.2,01/2006,tx
Granbury,123932,132949,93.2,02/2006,tx
Granbury,124510,132949,93.7,03/2006,tx
Granbury,124313,132949,93.5,04/2006,tx
Granbury,124342,132949,93.5,05/2006,tx
Granbury,123020,132949,92.5,06/2006,tx
Granbury,121018,132949,91,07/2006,tx
Granbury,117039,132949,88,08/2006,tx
Granbury,113829,132949,85.6,09/2006,tx
Granbury,108218,132949,81.4,10/2006,tx
Granbury,113258,132949,85.2,11/2006,tx
Granbury,116552,132949,87.7,12/2006,tx
Granbury,120326,132949,90.5,01/2007,tx
Granbury,123020,132949,92.5,02/2007,tx
Granbury,123058,132949,92.6,03/2007,tx
Granbury,123479,132949,92.9,04/2007,tx
Granbury,123567,132949,92.9,05/2007,tx
Granbury,123439,132949,92.8,06/2007,tx
Granbury,121974,132949,91.7,07/2007,tx
Granbury,123028,132949,92.5,08/2007,tx
Granbury,122614,132949,92.2,09/2007,tx
Granbury,123745,132949,93.1,10/2007,tx
Granbury,119920,132949,90.2,11/2007,tx
Granbury,119658,132949,90,12/2007,tx
Granbury,117974,132949,88.7,01/2008,tx
Granbury,119340,132949,89.8,02/2008,tx
Granbury,123434,132949,92.8,03/2008,tx
Granbury,124062,132949,93.3,04/2008,tx
Granbury,123853,132949,93.2,05/2008,tx
Granbury,123195,132949,92.7,06/2008,tx
Granbury,116714,132949,87.8,07/2008,tx
Granbury,112257,132949,84.4,08/2008,tx
Granbury,112250,132949,84.4,09/2008,tx
Granbury,109162,132949,82.1,10/2008,tx
Granbury,116219,132949,87.4,11/2008,tx
Granbury,113102,132949,85.1,12/2008,tx
Granbury,109779,132949,82.6,01/2009,tx
Granbury,111544,132949,83.9,02/2009,tx
Granbury,116361,132949,87.5,03/2009,tx
Granbury,116237,132949,87.4,04/2009,tx
Granbury,114852,132949,86.4,05/2009,tx
Granbury,113904,132949,85.7,06/2009,tx
Granbury,105048,132949,79,07/2009,tx
Granbury,105935,132949,79.7,08/2009,tx
Granbury,106553,132949,80.1,09/2009,tx
Granbury,121757,132949,91.6,10/2009,tx
Granbury,124269,132949,93.5,11/2009,tx
Granbury,124015,132949,93.3,12/2009,tx
Granbury,124734,132949,93.8,01/2010,tx
Granbury,124936,132949,94,02/2010,tx
Granbury,124460,132949,93.6,03/2010,tx
Granbury,124544,132949,93.7,04/2010,tx
Granbury,124133,132949,93.4,05/2010,tx
Granbury,124645,132949,93.8,06/2010,tx
Granbury,124480,132949,93.6,07/2010,tx
