reservoir,storage,capacity,pct_capacity,date,state
Granger,53073,51822,102.4,01/2000,tx
Granger,54196,51822,104.6,02/2000,tx
Granger,55374,51822,106.9,03/2000,tx
Granger,57170,51822,110.3,04/2000,tx
Granger,57608,51822,111.2,05/2000,tx
Granger,57612,51822,111.2,06/2000,tx
Granger,55963,51822,108,07/2000,tx
Granger,51147,51822,98.7,08/2000,tx
Granger,47161,51822,91,09/2000,tx
Granger,47575,51822,91.8,10/2000,tx
Granger,57066,51822,110.1,11/2000,tx
Granger,57612,51822,111.2,12/2000,tx
Granger,57612,51822,111.2,01/2001,tx
Granger,57612,51822,111.2,02/2001,tx
Granger,57612,51822,111.2,03/2001,tx
Granger,57612,51822,111.2,04/2001,tx
Granger,57612,51822,111.2,05/2001,tx
Granger,57612,51822,111.2,06/2001,tx
Granger,57602,51822,111.2,07/2001,tx
Granger,54959,51822,106.1,08/2001,tx
Granger,57612,51822,111.2,09/2001,tx
Granger,57612,51822,111.2,10/2001,tx
Granger,57612,51822,111.2,11/2001,tx
Granger,57612,51822,111.2,12/2001,tx
Granger,57612,51822,111.2,01/2002,tx
Granger,57612,51822,111.2,02/2002,tx
Granger,57612,51822,111.2,03/2002,tx
Granger,57612,51822,111.2,04/2002,tx
Granger,57559,51822,111.1,05/2002,tx
Granger,57314,51822,110.6,06/2002,tx
Granger,57612,51822,111.2,07/2002,tx
Granger,57612,51822,111.2,08/2002,tx
Granger,57612,51822,111.2,09/2002,tx
Granger,57573,51822,111.1,10/2002,tx
Granger,57602,51822,111.2,11/2002,tx
Granger,57603,51822,111.2,12/2002,tx
Granger,57601,51822,111.2,01/2003,tx
Granger,57269,51822,110.5,02/2003,tx
Granger,57411,51822,110.8,03/2003,tx
Granger,57025,51822,110,04/2003,tx
Granger,57107,51822,110.2,05/2003,tx
Granger,57403,51822,110.8,06/2003,tx
Granger,56186,51822,108.4,07/2003,tx
Granger,52782,51822,101.9,08/2003,tx
Granger,49836,51822,96.2,09/2003,tx
Granger,48976,51822,94.5,10/2003,tx
