reservoir,storage,capacity,pct_capacity,date,state
Kent,22203,32900,67.5,01/2000,ca
Kent,32895,32900,100,02/2000,ca
Kent,32769,32900,99.6,03/2000,ca
Kent,32533,32900,98.9,04/2000,ca
Kent,32673,32900,99.3,05/2000,ca
Kent,31874,32900,96.9,06/2000,ca
Kent,30939,32900,94,07/2000,ca
Kent,29538,32900,89.8,08/2000,ca
Kent,27902,32900,84.8,09/2000,ca
Kent,26123,32900,79.4,10/2000,ca
Kent,24327,32900,73.9,11/2000,ca
Kent,23009,32900,69.9,12/2000,ca
Kent,22184,32900,67.4,01/2001,ca
Kent,24204,32900,73.6,02/2001,ca
Kent,25078,32900,76.2,03/2001,ca
Kent,24082,32900,73.2,04/2001,ca
Kent,22972,32900,69.8,05/2001,ca
Kent,21772,32900,66.2,06/2001,ca
Kent,20083,32900,61,07/2001,ca
Kent,19032,32900,57.8,08/2001,ca
Kent,17608,32900,53.5,09/2001,ca
Kent,15661,32900,47.6,10/2001,ca
Kent,15225,32900,46.3,11/2001,ca
Kent,27395,32900,83.3,12/2001,ca
Kent,32895,32900,100,01/2002,ca
Kent,32895,32900,100,02/2002,ca
Kent,32895,32900,100,03/2002,ca
Kent,32064,32900,97.5,04/2002,ca
Kent,31701,32900,96.4,05/2002,ca
Kent,30073,32900,91.4,06/2002,ca
Kent,28949,32900,88,07/2002,ca
Kent,27626,32900,84,08/2002,ca
Kent,24967,32900,75.9,09/2002,ca
Kent,22868,32900,69.5,10/2002,ca
Kent,21738,32900,66.1,11/2002,ca
Kent,29985,32900,91.1,12/2002,ca
Kent,32895,32900,100,01/2003,ca
Kent,32895,32900,100,02/2003,ca
Kent,32895,32900,100,03/2003,ca
Kent,32895,32900,100,04/2003,ca
Kent,32769,32900,99.6,05/2003,ca
Kent,31962,32900,97.1,06/2003,ca
Kent,30755,32900,93.5,07/2003,ca
Kent,29507,32900,89.7,08/2003,ca
Kent,27451,32900,83.4,09/2003,ca
Kent,25169,32900,76.5,10/2003,ca
Kent,24141,32900,73.4,11/2003,ca
Kent,26104,32900,79.3,12/2003,ca
Kent,30908,32900,93.9,01/2004,ca
Kent,32895,32900,100,02/2004,ca
Kent,32464,32900,98.7,03/2004,ca
Kent,31432,32900,95.5,04/2004,ca
Kent,30622,32900,93.1,05/2004,ca
Kent,29618,32900,90,06/2004,ca
Kent,28582,32900,86.9,07/2004,ca
Kent,27332,32900,83.1,08/2004,ca
Kent,25906,32900,78.7,09/2004,ca
Kent,24381,32900,74.1,10/2004,ca
Kent,22853,32900,69.5,11/2004,ca
Kent,25456,32900,77.4,12/2004,ca
Kent,30462,32900,92.6,01/2005,ca
Kent,32895,32900,100,02/2005,ca
Kent,32895,32900,100,03/2005,ca
Kent,32695,32900,99.4,04/2005,ca
Kent,32822,32900,99.8,05/2005,ca
Kent,31984,32900,97.2,06/2005,ca
Kent,31035,32900,94.3,07/2005,ca
Kent,29918,32900,90.9,08/2005,ca
Kent,28303,32900,86,09/2005,ca
Kent,26338,32900,80.1,10/2005,ca
Kent,24986,32900,75.9,11/2005,ca
Kent,32895,32900,100,12/2005,ca
Kent,32895,32900,100,01/2006,ca
Kent,32895,32900,100,02/2006,ca
Kent,32895,32900,100,03/2006,ca
Kent,32895,32900,100,04/2006,ca
Kent,31830,32900,96.7,05/2006,ca
Kent,29629,32900,90.1,06/2006,ca
Kent,27408,32900,83.3,07/2006,ca
Kent,24934,32900,75.8,08/2006,ca
Kent,21900,32900,66.6,09/2006,ca
Kent,19840,32900,60.3,10/2006,ca
Kent,18583,32900,56.5,11/2006,ca
Kent,18805,32900,57.2,12/2006,ca
Kent,17361,32900,52.8,01/2007,ca
Kent,22976,32900,69.8,02/2007,ca
Kent,23136,32900,70.3,03/2007,ca
Kent,22326,32900,67.9,04/2007,ca
Kent,21920,32900,66.6,05/2007,ca
Kent,20840,32900,63.3,06/2007,ca
Kent,19931,32900,60.6,07/2007,ca
Kent,18905,32900,57.5,08/2007,ca
Kent,17667,32900,53.7,09/2007,ca
Kent,16409,32900,49.9,10/2007,ca
