reservoir,storage,capacity,pct_capacity,date,state
"Lake Spaulding S Yuba System",51688,144600,35.7,01/2000,ca
"Lake Spaulding S Yuba System",57267,144600,39.6,02/2000,ca
"Lake Spaulding S Yuba System",55618,144600,38.5,03/2000,ca
"Lake Spaulding S Yuba System",104166,144600,72,04/2000,ca
"Lake Spaulding S Yuba System",139043,144600,96.2,05/2000,ca
"Lake Spaulding S Yuba System",122766,144600,84.9,06/2000,ca
"Lake Spaulding S Yuba System",87802,144600,60.7,07/2000,ca
"Lake Spaulding S Yuba System",62326,144600,43.1,08/2000,ca
"Lake Spaulding S Yuba System",52518,144600,36.3,09/2000,ca
"Lake Spaulding S Yuba System",44871,144600,31,10/2000,ca
"Lake Spaulding S Yuba System",30714,144600,21.2,11/2000,ca
"Lake Spaulding S Yuba System",28840,144600,19.9,12/2000,ca
"Lake Spaulding S Yuba System",24344,144600,16.8,01/2001,ca
"Lake Spaulding S Yuba System",23325,144600,16.1,02/2001,ca
"Lake Spaulding S Yuba System",46051,144600,31.8,03/2001,ca
"Lake Spaulding S Yuba System",80707,144600,55.8,04/2001,ca
"Lake Spaulding S Yuba System",115863,144600,80.1,05/2001,ca
"Lake Spaulding S Yuba System",97162,144600,67.2,06/2001,ca
"Lake Spaulding S Yuba System",68252,144600,47.2,07/2001,ca
"Lake Spaulding S Yuba System",46894,144600,32.4,08/2001,ca
"Lake Spaulding S Yuba System",39523,144600,27.3,09/2001,ca
"Lake Spaulding S Yuba System",32961,144600,22.8,10/2001,ca
"Lake Spaulding S Yuba System",34032,144600,23.5,11/2001,ca
"Lake Spaulding S Yuba System",37171,144600,25.7,12/2001,ca
"Lake Spaulding S Yuba System",26313,144600,18.2,01/2002,ca
"Lake Spaulding S Yuba System",33224,144600,23,02/2002,ca
"Lake Spaulding S Yuba System",40289,144600,27.9,03/2002,ca
"Lake Spaulding S Yuba System",79172,144600,54.8,04/2002,ca
"Lake Spaulding S Yuba System",132082,144600,91.3,05/2002,ca
"Lake Spaulding S Yuba System",128543,144600,88.9,06/2002,ca
"Lake Spaulding S Yuba System",92636,144600,64.1,07/2002,ca
"Lake Spaulding S Yuba System",65289,144600,45.2,08/2002,ca
"Lake Spaulding S Yuba System",59458,144600,41.1,09/2002,ca
"Lake Spaulding S Yuba System",41013,144600,28.4,10/2002,ca
"Lake Spaulding S Yuba System",35418,144600,24.5,11/2002,ca
"Lake Spaulding S Yuba System",44763,144600,31,12/2002,ca
"Lake Spaulding S Yuba System",50969,144600,35.2,01/2003,ca
"Lake Spaulding S Yuba System",38036,144600,26.3,02/2003,ca
"Lake Spaulding S Yuba System",53447,144600,37,03/2003,ca
"Lake Spaulding S Yuba System",72958,144600,50.5,04/2003,ca
"Lake Spaulding S Yuba System",127699,144600,88.3,05/2003,ca
"Lake Spaulding S Yuba System",124409,144600,86,06/2003,ca
"Lake Spaulding S Yuba System",86166,144600,59.6,07/2003,ca
"Lake Spaulding S Yuba System",84994,144600,58.8,08/2003,ca
"Lake Spaulding S Yuba System",83627,144600,57.8,09/2003,ca
"Lake Spaulding S Yuba System",72149,144600,49.9,10/2003,ca
"Lake Spaulding S Yuba System",51658,144600,35.7,11/2003,ca
"Lake Spaulding S Yuba System",41673,144600,28.8,12/2003,ca
"Lake Spaulding S Yuba System",25871,144600,17.9,01/2004,ca
"Lake Spaulding S Yuba System",44553,144600,30.8,02/2004,ca
"Lake Spaulding S Yuba System",51884,144600,35.9,03/2004,ca
"Lake Spaulding S Yuba System",87076,144600,60.2,04/2004,ca
"Lake Spaulding S Yuba System",115760,144600,80.1,05/2004,ca
"Lake Spaulding S Yuba System",104915,144600,72.6,06/2004,ca
"Lake Spaulding S Yuba System",86168,144600,59.6,07/2004,ca
"Lake Spaulding S Yuba System",67932,144600,47,08/2004,ca
"Lake Spaulding S Yuba System",62223,144600,43,09/2004,ca
"Lake Spaulding S Yuba System",60170,144600,41.6,10/2004,ca
"Lake Spaulding S Yuba System",47264,144600,32.7,11/2004,ca
"Lake Spaulding S Yuba System",37998,144600,26.3,12/2004,ca
"Lake Spaulding S Yuba System",29835,144600,20.6,01/2005,ca
"Lake Spaulding S Yuba System",19610,144600,13.6,02/2005,ca
"Lake Spaulding S Yuba System",49511,144600,34.2,04/2005,ca
"Lake Spaulding S Yuba System",121795,144600,84.2,05/2005,ca
"Lake Spaulding S Yuba System",128669,144600,89,06/2005,ca
"Lake Spaulding S Yuba System",107906,144600,74.6,07/2005,ca
"Lake Spaulding S Yuba System",85444,144600,59.1,08/2005,ca
"Lake Spaulding S Yuba System",79533,144600,55,09/2005,ca
"Lake Spaulding S Yuba System",56766,144600,39.3,10/2005,ca
"Lake Spaulding S Yuba System",46335,144600,32,11/2005,ca
"Lake Spaulding S Yuba System",97502,144600,67.4,12/2005,ca
"Lake Spaulding S Yuba System",92946,144600,64.3,01/2006,ca
"Lake Spaulding S Yuba System",113097,144600,78.2,02/2006,ca
"Lake Spaulding S Yuba System",107818,144600,74.6,03/2006,ca
"Lake Spaulding S Yuba System",117846,144600,81.5,05/2006,ca
"Lake Spaulding S Yuba System",105666,144600,73.1,06/2006,ca
"Lake Spaulding S Yuba System",105666,144600,73.1,07/2006,ca
"Lake Spaulding S Yuba System",82726,144600,57.2,08/2006,ca
"Lake Spaulding S Yuba System",76806,144600,53.1,09/2006,ca
"Lake Spaulding S Yuba System",52944,144600,36.6,11/2006,ca
"Lake Spaulding S Yuba System",46711,144600,32.3,12/2006,ca
"Lake Spaulding S Yuba System",34057,144600,23.6,01/2007,ca
"Lake Spaulding S Yuba System",43920,144600,30.4,02/2007,ca
"Lake Spaulding S Yuba System",71160,144600,49.2,03/2007,ca
"Lake Spaulding S Yuba System",104212,144600,72.1,04/2007,ca
"Lake Spaulding S Yuba System",123467,144600,85.4,05/2007,ca
"Lake Spaulding S Yuba System",106900,144600,73.9,06/2007,ca
"Lake Spaulding S Yuba System",95155,144600,65.8,07/2007,ca
"Lake Spaulding S Yuba System",70169,144600,48.5,08/2007,ca
"Lake Spaulding S Yuba System",61242,144600,42.4,09/2007,ca
"Lake Spaulding S Yuba System",58995,144600,40.8,10/2007,ca
"Lake Spaulding S Yuba System",45280,144600,31.3,11/2007,ca
"Lake Spaulding S Yuba System",33251,144600,23,12/2007,ca
"Lake Spaulding S Yuba System",27764,144600,19.2,01/2008,ca
"Lake Spaulding S Yuba System",22937,144600,15.9,02/2008,ca
"Lake Spaulding S Yuba System",33025,144600,22.8,03/2008,ca
"Lake Spaulding S Yuba System",61117,144600,42.3,04/2008,ca
"Lake Spaulding S Yuba System",118258,144600,81.8,05/2008,ca
"Lake Spaulding S Yuba System",109008,144600,75.4,06/2008,ca
"Lake Spaulding S Yuba System",93310,144600,64.5,07/2008,ca
"Lake Spaulding S Yuba System",66546,144600,46,08/2008,ca
"Lake Spaulding S Yuba System",58549,144600,40.5,09/2008,ca
"Lake Spaulding S Yuba System",50082,144600,34.6,10/2008,ca
"Lake Spaulding S Yuba System",39511,144600,27.3,11/2008,ca
"Lake Spaulding S Yuba System",27162,144600,18.8,12/2008,ca
"Lake Spaulding S Yuba System",35528,144600,24.6,01/2009,ca
"Lake Spaulding S Yuba System",51168,144600,35.4,02/2009,ca
"Lake Spaulding S Yuba System",65556,144600,45.3,03/2009,ca
"Lake Spaulding S Yuba System",90601,144600,62.7,04/2009,ca
"Lake Spaulding S Yuba System",127911,144600,88.5,05/2009,ca
"Lake Spaulding S Yuba System",114589,144600,79.2,06/2009,ca
