reservoir,storage,capacity,pct_capacity,date,state
"Millers Creek",8092,26768,30.2,01/2000,tx
"Millers Creek",7887,26768,29.5,02/2000,tx
"Millers Creek",7780,26768,29.1,03/2000,tx
"Millers Creek",7658,26768,28.6,04/2000,tx
"Millers Creek",7440,26768,27.8,05/2000,tx
"Millers Creek",7479,26768,27.9,06/2000,tx
"Millers Creek",7041,26768,26.3,07/2000,tx
"Millers Creek",6189,26768,23.1,08/2000,tx
"Millers Creek",5396,26768,20.2,09/2000,tx
"Millers Creek",4971,26768,18.6,10/2000,tx
"Millers Creek",5453,26768,20.4,11/2000,tx
"Millers Creek",6825,26768,25.5,12/2000,tx
"Millers Creek",6606,26768,24.7,01/2001,tx
"Millers Creek",7364,26768,27.5,02/2001,tx
"Millers Creek",11729,26768,43.8,03/2001,tx
"Millers Creek",12663,26768,47.3,04/2001,tx
"Millers Creek",14954,26768,55.9,05/2001,tx
"Millers Creek",15222,26768,56.9,06/2001,tx
"Millers Creek",13948,26768,52.1,07/2001,tx
"Millers Creek",12882,26768,48.1,08/2001,tx
"Millers Creek",12277,26768,45.9,09/2001,tx
"Millers Creek",11650,26768,43.5,10/2001,tx
"Millers Creek",11436,26768,42.7,11/2001,tx
"Millers Creek",11601,26768,43.3,12/2001,tx
"Millers Creek",11385,26768,42.5,01/2002,tx
"Millers Creek",11127,26768,41.6,02/2002,tx
"Millers Creek",10827,26768,40.4,03/2002,tx
"Millers Creek",11952,26768,44.7,04/2002,tx
"Millers Creek",11950,26768,44.6,05/2002,tx
"Millers Creek",16023,26768,59.9,06/2002,tx
"Millers Creek",16739,26768,62.5,07/2002,tx
"Millers Creek",15799,26768,59,08/2002,tx
"Millers Creek",14909,26768,55.7,09/2002,tx
"Millers Creek",14162,26768,52.9,07/2009,tx
"Millers Creek",13898,26768,51.9,08/2009,tx
"Millers Creek",13258,26768,49.5,09/2009,tx
"Millers Creek",12985,26768,48.5,10/2009,tx
"Millers Creek",12683,26768,47.4,11/2009,tx
"Millers Creek",12418,26768,46.4,12/2009,tx
"Millers Creek",12412,26768,46.4,01/2010,tx
"Millers Creek",14390,26768,53.8,02/2010,tx
