reservoir,storage,capacity,pct_capacity,date,state
Pardee,187610,210000,89.3,01/2000,ca
Pardee,193380,210000,92.1,02/2000,ca
Pardee,186620,210000,88.9,03/2000,ca
Pardee,189660,210000,90.3,04/2000,ca
Pardee,194040,210000,92.4,05/2000,ca
Pardee,188710,210000,89.9,06/2000,ca
Pardee,194040,210000,92.4,07/2000,ca
Pardee,194500,210000,92.6,08/2000,ca
Pardee,191590,210000,91.2,09/2000,ca
Pardee,166310,210000,79.2,10/2000,ca
Pardee,165990,210000,79,11/2000,ca
Pardee,163970,210000,78.1,12/2000,ca
Pardee,165280,210000,78.7,01/2001,ca
Pardee,167820,210000,79.9,02/2001,ca
Pardee,181140,210000,86.3,03/2001,ca
Pardee,193690,210000,92.2,04/2001,ca
Pardee,191660,210000,91.3,05/2001,ca
Pardee,196130,210000,93.4,06/2001,ca
Pardee,193320,210000,92.1,07/2001,ca
Pardee,193470,210000,92.1,08/2001,ca
Pardee,196160,210000,93.4,09/2001,ca
Pardee,173970,210000,82.8,10/2001,ca
Pardee,176480,210000,84,11/2001,ca
Pardee,177400,210000,84.5,12/2001,ca
Pardee,167510,210000,79.8,01/2002,ca
Pardee,182640,210000,87,02/2002,ca
Pardee,181480,210000,86.4,03/2002,ca
Pardee,174200,210000,83,04/2002,ca
Pardee,191370,210000,91.1,05/2002,ca
Pardee,188820,210000,89.9,06/2002,ca
Pardee,191200,210000,91,07/2002,ca
Pardee,191550,210000,91.2,08/2002,ca
Pardee,191420,210000,91.2,09/2002,ca
Pardee,170230,210000,81.1,10/2002,ca
Pardee,171835,210000,81.8,11/2002,ca
Pardee,170437,210000,81.2,12/2002,ca
Pardee,171690,210000,81.8,01/2003,ca
Pardee,166910,210000,79.5,02/2003,ca
Pardee,178550,210000,85,03/2003,ca
Pardee,189180,210000,90.1,04/2003,ca
Pardee,190330,210000,90.6,05/2003,ca
Pardee,195050,210000,92.9,06/2003,ca
Pardee,194810,210000,92.8,07/2003,ca
Pardee,193690,210000,92.2,08/2003,ca
Pardee,189900,210000,90.4,09/2003,ca
Pardee,169171,210000,80.6,10/2003,ca
Pardee,167700,210000,79.9,11/2003,ca
Pardee,172268,210000,82,12/2003,ca
Pardee,166610,210000,79.3,01/2004,ca
Pardee,179610,210000,85.5,02/2004,ca
Pardee,184250,210000,87.7,03/2004,ca
Pardee,175660,210000,83.6,04/2004,ca
Pardee,180510,210000,86,05/2004,ca
Pardee,193970,210000,92.4,06/2004,ca
Pardee,194770,210000,92.7,07/2004,ca
Pardee,192970,210000,91.9,08/2004,ca
Pardee,191440,210000,91.2,09/2004,ca
Pardee,163640,210000,77.9,10/2004,ca
Pardee,170170,210000,81,11/2004,ca
Pardee,171250,210000,81.5,12/2004,ca
Pardee,180253,210000,85.8,01/2005,ca
Pardee,183400,210000,87.3,02/2005,ca
Pardee,185620,210000,88.4,03/2005,ca
Pardee,187420,210000,89.2,04/2005,ca
Pardee,189530,210000,90.3,05/2005,ca
Pardee,196350,210000,93.5,06/2005,ca
Pardee,196165,210000,93.4,07/2005,ca
Pardee,193730,210000,92.3,08/2005,ca
Pardee,194220,210000,92.5,09/2005,ca
Pardee,168100,210000,80,10/2005,ca
Pardee,168850,210000,80.4,11/2005,ca
Pardee,201390,210000,95.9,12/2005,ca
Pardee,181040,210000,86.2,01/2006,ca
Pardee,176930,210000,84.3,02/2006,ca
Pardee,193540,210000,92.2,03/2006,ca
Pardee,198420,210000,94.5,04/2006,ca
Pardee,196070,210000,93.4,05/2006,ca
Pardee,197570,210000,94.1,06/2006,ca
Pardee,195180,210000,92.9,07/2006,ca
Pardee,192250,210000,91.5,08/2006,ca
Pardee,191160,210000,91,09/2006,ca
Pardee,166950,210000,79.5,10/2006,ca
Pardee,165340,210000,78.7,11/2006,ca
Pardee,162930,210000,77.6,12/2006,ca
Pardee,161050,210000,76.7,01/2007,ca
Pardee,176490,210000,84,02/2007,ca
Pardee,181920,210000,86.6,03/2007,ca
Pardee,183000,210000,87.1,04/2007,ca
Pardee,193450,210000,92.1,05/2007,ca
Pardee,191090,210000,91,06/2007,ca
Pardee,195600,210000,93.1,07/2007,ca
Pardee,186690,210000,88.9,08/2007,ca
Pardee,178940,210000,85.2,09/2007,ca
Pardee,164450,210000,78.3,10/2007,ca
Pardee,166090,210000,79.1,11/2007,ca
Pardee,170560,210000,81.2,12/2007,ca
Pardee,176260,210000,83.9,01/2008,ca
Pardee,174220,210000,83,02/2008,ca
Pardee,179990,210000,85.7,03/2008,ca
Pardee,174370,210000,83,04/2008,ca
Pardee,189556,210000,90.3,05/2008,ca
Pardee,187140,210000,89.1,06/2008,ca
Pardee,180111,210000,85.8,07/2008,ca
Pardee,173960,210000,82.8,08/2008,ca
Pardee,162520,210000,77.4,09/2008,ca
Pardee,159390,210000,75.9,10/2008,ca
Pardee,166530,210000,79.3,11/2008,ca
Pardee,167220,210000,79.6,12/2008,ca
Pardee,175170,210000,83.4,01/2009,ca
Pardee,175640,210000,83.6,02/2009,ca
Pardee,178480,210000,85,03/2009,ca
Pardee,177820,210000,84.7,04/2009,ca
Pardee,198750,210000,94.6,05/2009,ca
Pardee,195360,210000,93,06/2009,ca
Pardee,188450,210000,89.7,07/2009,ca
Pardee,177752,210000,84.6,08/2009,ca
Pardee,167940,210000,80,09/2009,ca
Pardee,168320,210000,80.2,10/2009,ca
Pardee,170250,210000,81.1,11/2009,ca
Pardee,169490,210000,80.7,12/2009,ca
Pardee,173770,210000,82.7,01/2010,ca
Pardee,168842,210000,80.4,02/2010,ca
Pardee,167580,210000,79.8,03/2010,ca
Pardee,178590,210000,85,04/2010,ca
Pardee,193600,210000,92.2,05/2010,ca
Pardee,198680,210000,94.6,06/2010,ca
Pardee,192400,210000,91.6,07/2010,ca
Pardee,191500,210000,91.2,08/2010,ca
Pardee,186940,210000,89,09/2010,ca
Pardee,170230,210000,81.1,10/2010,ca
Pardee,165100,210000,78.6,11/2010,ca
Pardee,192990,210000,91.9,12/2010,ca
Pardee,194500,210000,92.6,01/2011,ca
Pardee,191680,210000,91.3,02/2011,ca
Pardee,199420,210000,95,03/2011,ca
Pardee,199400,210000,95,04/2011,ca
Pardee,198910,210000,94.7,05/2011,ca
Pardee,199710,210000,95.1,06/2011,ca
Pardee,193820,210000,92.3,07/2011,ca
