reservoir,storage,capacity,pct_capacity,date
"Elephant Butte",,,,"//# "
"Elephant Butte",,,,"//# The reservoir data contained in this file are best estimates generated by the Texas    "
"Elephant Butte",,,,"//# Water Development Board(TWDB) using data collected by various data providers as well   "
"Elephant Butte",,,,"//# as by TWDB. For a detailed explaination of the methodology used please visit:          "
"Elephant Butte",,,,"//#                                                                                        "
"Elephant Butte",,,,"//#     http://waterdatafortexas.org/reservoirs/methodology                                "
"Elephant Butte",,,,"//#                                                                                        "
"Elephant Butte",,,,"//# TWDB makes no warranties(including no warranties as to merchantability or fitness)     "
"Elephant Butte",,,,"//# either expressed or implied with respect to the data or its fitness for any specific   "
"Elephant Butte",,,,"//# application.                                                                           "
"Elephant Butte",,,,"//# "
"Elephant Butte",,,,"//# "
"Elephant Butte",,,,"//# Definitions:"
"Elephant Butte",,,,"//#     reservoir_storage = actual storage at measured lake elevation"
"Elephant Butte",,,,"//#     dead_pool_capacity = storage at dead pool elevation"
"Elephant Butte",,,," dead pool capacity//#     conservation_capacity = storage at conservation pool elevation "
"Elephant Butte",,,," dead pool capacity (note: conservation storage is capped at conservation capacity)//#     conservation_storage = reservoir storage "
"Elephant Butte",,,,"//#     percent_full = 100 * conservation storage/conservation capacity"
"Elephant Butte",,,,"//# "
"Elephant Butte",,,,"//#     for more detailed explanations see http://waterdatafortexas.org/reservoirs/glossary"
"Elephant Butte",,,,"//# "
"Elephant Butte",,,,"//# Estimated daily average data for Elephant Butte Lake"
"Elephant Butte",,,,"08/04T17:35:22.681423 UTC/#     generated: 2015"
"Elephant Butte",,,,"butte.csv//#     url: http://waterdatafortexas.org/reservoirs/individual/elephant"
"Elephant Butte",,,,"//# "
"Elephant Butte",,,,"//# Footnote:"
"Elephant Butte",,,,"//#     "
"Elephant Butte",,,,"//#         Elephant Butte Lake (located in New Mexico) is governed by the Rio Grande"
"Elephant Butte",,,,"//#         Compact. The Rio Grande Compact is an interstate compact signed in 1938"
"Elephant Butte",,,,"//#         between the states of Colorado"
"Elephant Butte",,,,"//#         and approved by the U.S. Congress"
"Elephant Butte",,,,"//#         the Rio Grande Basin. Water from the lake supplies irrigation water as"
"Elephant Butte",,,,"//#         well as about 50% of El Paso's supply when available."
"Elephant Butte",,,,"//#     "
"Elephant Butte",,,,"//# "
"Elephant Butte",,,,"//# Conservation pool elevation(s) used: 4407.0 feet above NGVD29"
"Elephant Butte",,,,"//# "
"Elephant Butte",,,,"//# Dead pool elevation(s) used: 4231.5 feet above NGVD29"
"Elephant Butte",,,,"//# "
"Elephant Butte",,,,"//# Units:"
"Elephant Butte",,,,"MM/DD/#     date: YYYY"
"Elephant Butte",,,,"//#     water_level: feet above NGVD29"
"Elephant Butte",,,,"//#     surface_area: acres"
"Elephant Butte",,,,"feet//#     storages: acre"
"Elephant Butte",,,,"//# "
"Elephant Butte",conservation_storage,conservation_capacity,percent_full,//date
"Elephant Butte",5067,1973358,0.3,03/21/1915
"Elephant Butte",5341,1973358,0.3,03/22/1915
"Elephant Butte",5724,1973358,0.3,03/23/1915
"Elephant Butte",6025,1973358,0.3,03/24/1915
"Elephant Butte",6444,1973358,0.3,03/25/1915
"Elephant Butte",6662,1973358,0.3,03/26/1915
"Elephant Butte",6773,1973358,0.3,03/27/1915
"Elephant Butte",6773,1973358,0.3,03/28/1915
"Elephant Butte",6885,1973358,0.3,03/29/1915
"Elephant Butte",7347,1973358,0.4,03/30/1915
"Elephant Butte",7953,1973358,0.4,03/31/1915
"Elephant Butte",8857,1973358,0.4,04/01/1915
"Elephant Butte",9826,1973358,0.5,04/02/1915
"Elephant Butte",10858,1973358,0.6,04/03/1915
"Elephant Butte",11477,1973358,0.6,04/04/1915
"Elephant Butte",11955,1973358,0.6,04/05/1915
"Elephant Butte",12444,1973358,0.6,04/06/1915
"Elephant Butte",12946,1973358,0.7,04/07/1915
"Elephant Butte",13984,1973358,0.7,04/08/1915
"Elephant Butte",16202,1973358,0.8,04/09/1915
"Elephant Butte",18194,1973358,0.9,04/10/1915
"Elephant Butte",20698,1973358,1.0,04/11/1915
"Elephant Butte",23925,1973358,1.2,04/12/1915
"Elephant Butte",24583,1973358,1.2,04/13/1915
"Elephant Butte",26585,1973358,1.3,04/14/1915
"Elephant Butte",28169,1973358,1.4,04/15/1915
"Elephant Butte",30472,1973358,1.5,04/16/1915
"Elephant Butte",33300,1973358,1.7,04/17/1915
"Elephant Butte",37424,1973358,1.9,04/18/1915
"Elephant Butte",43803,1973358,2.2,04/19/1915
"Elephant Butte",51408,1973358,2.6,04/20/1915
"Elephant Butte",60148,1973358,3.0,04/21/1915
"Elephant Butte",67252,1973358,3.4,04/22/1915
"Elephant Butte",72874,1973358,3.7,04/23/1915
"Elephant Butte",79257,1973358,4.0,04/24/1915
"Elephant Butte",84618,1973358,4.3,04/25/1915
"Elephant Butte",89732,1973358,4.5,04/26/1915
"Elephant Butte",94057,1973358,4.8,04/27/1915
"Elephant Butte",97508,1973358,4.9,04/28/1915
"Elephant Butte",101037,1973358,5.1,04/29/1915
"Elephant Butte",103088,1973358,5.2,04/30/1915
"Elephant Butte",106737,1973358,5.4,05/01/1915
"Elephant Butte",113719,1973358,5.8,05/02/1915
"Elephant Butte",120399,1973358,6.1,05/03/1915
"Elephant Butte",127887,1973358,6.5,05/04/1915
"Elephant Butte",134404,1973358,6.8,05/05/1915
"Elephant Butte",139854,1973358,7.1,05/06/1915
"Elephant Butte",144787,1973358,7.3,05/07/1915
"Elephant Butte",148542,1973358,7.5,05/08/1915
"Elephant Butte",151072,1973358,7.7,05/09/1915
"Elephant Butte",152344,1973358,7.7,05/10/1915
"Elephant Butte",155549,1973358,7.9,05/11/1915
"Elephant Butte",157488,1973358,8.0,05/12/1915
"Elephant Butte",158786,1973358,8.0,05/13/1915
"Elephant Butte",160091,1973358,8.1,05/14/1915
"Elephant Butte",162057,1973358,8.2,05/15/1915
"Elephant Butte",166024,1973358,8.4,05/16/1915
"Elephant Butte",172064,1973358,8.7,05/17/1915
"Elephant Butte",178900,1973358,9.1,05/18/1915
"Elephant Butte",186570,1973358,9.5,05/19/1915
"Elephant Butte",195875,1973358,9.9,05/20/1915
"Elephant Butte",204031,1973358,10.3,05/21/1915
"Elephant Butte",212452,1973358,10.8,05/22/1915
"Elephant Butte",219538,1973358,11.1,05/23/1915
"Elephant Butte",224360,1973358,11.4,05/24/1915
"Elephant Butte",227619,1973358,11.5,05/25/1915
"Elephant Butte",227619,1973358,11.5,05/26/1915
"Elephant Butte",229261,1973358,11.6,05/27/1915
"Elephant Butte",230912,1973358,11.7,05/28/1915
"Elephant Butte",232572,1973358,11.8,05/29/1915
"Elephant Butte",233406,1973358,11.8,05/30/1915
"Elephant Butte",235079,1973358,11.9,05/31/1915
"Elephant Butte",236760,1973358,12.0,06/01/1915
"Elephant Butte",238451,1973358,12.1,06/02/1915
"Elephant Butte",245300,1973358,12.4,06/03/1915
"Elephant Butte",247905,1973358,12.6,06/04/1915
"Elephant Butte",250529,1973358,12.7,06/05/1915
"Elephant Butte",254946,1973358,12.9,06/06/1915
"Elephant Butte",257623,1973358,13.1,06/07/1915
"Elephant Butte",261222,1973358,13.2,06/08/1915
"Elephant Butte",263035,1973358,13.3,06/09/1915
"Elephant Butte",263945,1973358,13.4,06/10/1915
"Elephant Butte",264857,1973358,13.4,06/11/1915
"Elephant Butte",266687,1973358,13.5,06/12/1915
"Elephant Butte",266687,1973358,13.5,06/13/1915
"Elephant Butte",267606,1973358,13.6,06/14/1915
"Elephant Butte",267606,1973358,13.6,06/15/1915
"Elephant Butte",268526,1973358,13.6,06/16/1915
"Elephant Butte",269449,1973358,13.7,06/17/1915
"Elephant Butte",269449,1973358,13.7,06/18/1915
"Elephant Butte",270374,1973358,13.7,06/19/1915
"Elephant Butte",267606,1973358,13.6,06/20/1915
"Elephant Butte",265771,1973358,13.5,06/21/1915
"Elephant Butte",266687,1973358,13.5,06/22/1915
"Elephant Butte",269449,1973358,13.7,06/23/1915
"Elephant Butte",271301,1973358,13.7,06/24/1915
"Elephant Butte",273161,1973358,13.8,06/25/1915
"Elephant Butte",275962,1973358,14.0,06/26/1915
"Elephant Butte",275962,1973358,14.0,06/27/1915
"Elephant Butte",275027,1973358,13.9,06/28/1915
"Elephant Butte",274093,1973358,13.9,06/29/1915
"Elephant Butte",273161,1973358,13.8,06/30/1915
"Elephant Butte",271301,1973358,13.7,07/01/1915
"Elephant Butte",270374,1973358,13.7,07/02/1915
"Elephant Butte",270374,1973358,13.7,07/03/1915
"Elephant Butte",270374,1973358,13.7,07/04/1915
"Elephant Butte",269449,1973358,13.7,07/05/1915
"Elephant Butte",267606,1973358,13.6,07/06/1915
"Elephant Butte",265771,1973358,13.5,07/07/1915
"Elephant Butte",263945,1973358,13.4,07/08/1915
"Elephant Butte",262128,1973358,13.3,07/09/1915
"Elephant Butte",260319,1973358,13.2,07/10/1915
"Elephant Butte",257623,1973358,13.1,07/11/1915
"Elephant Butte",255836,1973358,13.0,07/12/1915
"Elephant Butte",253173,1973358,12.8,07/13/1915
