reservoir,storage,capacity,pct_capacity,date
"Hords Creek",,,,"//# "
"Hords Creek",,,,"//# The reservoir data contained in this file are best estimates generated by the Texas    "
"Hords Creek",,,,"//# Water Development Board(TWDB) using data collected by various data providers as well   "
"Hords Creek",,,,"//# as by TWDB. For a detailed explaination of the methodology used please visit:          "
"Hords Creek",,,,"//#                                                                                        "
"Hords Creek",,,,"//#     http://waterdatafortexas.org/reservoirs/methodology                                "
"Hords Creek",,,,"//#                                                                                        "
"Hords Creek",,,,"//# TWDB makes no warranties(including no warranties as to merchantability or fitness)     "
"Hords Creek",,,,"//# either expressed or implied with respect to the data or its fitness for any specific   "
"Hords Creek",,,,"//# application.                                                                           "
"Hords Creek",,,,"//# "
"Hords Creek",,,,"//# "
"Hords Creek",,,,"//# Definitions:"
"Hords Creek",,,,"//#     reservoir_storage = actual storage at measured lake elevation"
"Hords Creek",,,,"//#     dead_pool_capacity = storage at dead pool elevation"
"Hords Creek",,,," dead pool capacity//#     conservation_capacity = storage at conservation pool elevation "
"Hords Creek",,,," dead pool capacity (note: conservation storage is capped at conservation capacity)//#     conservation_storage = reservoir storage "
"Hords Creek",,,,"//#     percent_full = 100 * conservation storage/conservation capacity"
"Hords Creek",,,,"//# "
"Hords Creek",,,,"//#     for more detailed explanations see http://waterdatafortexas.org/reservoirs/glossary"
"Hords Creek",,,,"//# "
"Hords Creek",,,,"//# Estimated daily average data for Hords Creek Lake"
"Hords Creek",,,,"08/04T17:36:33.713208 UTC/#     generated: 2015"
"Hords Creek",,,,"creek.csv//#     url: http://waterdatafortexas.org/reservoirs/individual/hords"
"Hords Creek",,,,"//# "
"Hords Creek",,,,"Area/Capacity rating curve(s) used:/# Elevation"
"Hords Creek",,,,"creek/rating/curve/TWDB/1974/#     http://waterdatafortexas.org/reservoirs/individual/hords"
"Hords Creek",,,,"//# "
"Hords Creek",,,,"//# Conservation pool elevation(s) used: 1900.0 feet above NGVD29"
"Hords Creek",,,,"//# "
"Hords Creek",,,,"//# Dead pool elevation(s) used: 1856.0 feet above NGVD29"
"Hords Creek",,,,"//# "
"Hords Creek",,,,"//# Units:"
"Hords Creek",,,,"MM/DD/#     date: YYYY"
"Hords Creek",,,,"//#     water_level: feet above NGVD29"
