reservoir,storage,capacity,pct_capacity,date
Jacksonville,,,,"//# "
Jacksonville,,,,"//# The reservoir data contained in this file are best estimates generated by the Texas    "
Jacksonville,,,,"//# Water Development Board(TWDB) using data collected by various data providers as well   "
Jacksonville,,,,"//# as by TWDB. For a detailed explaination of the methodology used please visit:          "
Jacksonville,,,,"//#                                                                                        "
Jacksonville,,,,"//#     http://waterdatafortexas.org/reservoirs/methodology                                "
Jacksonville,,,,"//#                                                                                        "
Jacksonville,,,,"//# TWDB makes no warranties(including no warranties as to merchantability or fitness)     "
Jacksonville,,,,"//# either expressed or implied with respect to the data or its fitness for any specific   "
Jacksonville,,,,"//# application.                                                                           "
Jacksonville,,,,"//# "
Jacksonville,,,,"//# "
Jacksonville,,,,"//# Definitions:"
Jacksonville,,,,"//#     reservoir_storage = actual storage at measured lake elevation"
Jacksonville,,,,"//#     dead_pool_capacity = storage at dead pool elevation"
Jacksonville,,,," dead pool capacity//#     conservation_capacity = storage at conservation pool elevation "
Jacksonville,,,," dead pool capacity (note: conservation storage is capped at conservation capacity)//#     conservation_storage = reservoir storage "
Jacksonville,,,,"//#     percent_full = 100 * conservation storage/conservation capacity"
Jacksonville,,,,"//# "
Jacksonville,,,,"//#     for more detailed explanations see http://waterdatafortexas.org/reservoirs/glossary"
Jacksonville,,,,"//# "
Jacksonville,,,,"//# Estimated daily average data for Lake Jacksonville"
Jacksonville,,,,"08/04T17:37:11.383301 UTC/#     generated: 2015"
Jacksonville,,,,"//#     url: http://waterdatafortexas.org/reservoirs/individual/jacksonville.csv"
Jacksonville,,,,"//# "
Jacksonville,,,,"Area/Capacity rating curve(s) used:/# Elevation"
Jacksonville,,,,"curve/USGS/1957/01/#     http://waterdatafortexas.org/reservoirs/individual/jacksonville/rating"
Jacksonville,,,,"curve/TWDB/2006/05/#     http://waterdatafortexas.org/reservoirs/individual/jacksonville/rating"
Jacksonville,,,,"//# "
Jacksonville,,,,"//# Conservation pool elevation(s) used: 422.0 feet above NGVD29"
Jacksonville,,,,"//# "
Jacksonville,,,,"//# Dead pool elevation(s) used: 372.0 feet above NGVD29"
Jacksonville,,,,"//# "
Jacksonville,,,,"//# Units:"
Jacksonville,,,,"MM/DD/#     date: YYYY"
Jacksonville,,,,"//#     water_level: feet above NGVD29"
Jacksonville,,,,"//#     surface_area: acres"
Jacksonville,,,,"feet//#     storages: acre"
Jacksonville,,,,"//# "
Jacksonville,conservation_storage,conservation_capacity,percent_full,//date
Jacksonville,30474,30600,99.6,05/14/1999
Jacksonville,30460,30600,99.5,05/15/1999
Jacksonville,30446,30600,99.5,05/16/1999
Jacksonville,30460,30600,99.5,05/17/1999
Jacksonville,30600,30600,100.0,05/18/1999
Jacksonville,30586,30600,100.0,05/19/1999
Jacksonville,30530,30600,99.8,05/20/1999
Jacksonville,30488,30600,99.6,05/21/1999
Jacksonville,30474,30600,99.6,05/22/1999
Jacksonville,30432,30600,99.5,05/23/1999
Jacksonville,30418,30600,99.4,05/24/1999
Jacksonville,30404,30600,99.4,05/25/1999
Jacksonville,30404,30600,99.4,05/26/1999
Jacksonville,30446,30600,99.5,05/27/1999
Jacksonville,30586,30600,100.0,05/28/1999
Jacksonville,30558,30600,99.9,05/29/1999
Jacksonville,30516,30600,99.7,05/30/1999
Jacksonville,30516,30600,99.7,05/31/1999
Jacksonville,30488,30600,99.6,06/01/1999
Jacksonville,30460,30600,99.5,06/02/1999
Jacksonville,30446,30600,99.5,06/03/1999
Jacksonville,30432,30600,99.5,06/04/1999
Jacksonville,30418,30600,99.4,06/05/1999
Jacksonville,30390,30600,99.3,06/06/1999
Jacksonville,30376,30600,99.3,06/07/1999
Jacksonville,30376,30600,99.3,06/08/1999
Jacksonville,30404,30600,99.4,06/09/1999
Jacksonville,30432,30600,99.5,06/10/1999
Jacksonville,30418,30600,99.4,06/11/1999
Jacksonville,30404,30600,99.4,06/12/1999
Jacksonville,30418,30600,99.4,06/13/1999
Jacksonville,30418,30600,99.4,06/14/1999
Jacksonville,30404,30600,99.4,06/15/1999
Jacksonville,30390,30600,99.3,06/16/1999
Jacksonville,30474,30600,99.6,06/17/1999
Jacksonville,30446,30600,99.5,06/18/1999
Jacksonville,30404,30600,99.4,06/19/1999
Jacksonville,30404,30600,99.4,06/20/1999
Jacksonville,30376,30600,99.3,06/21/1999
Jacksonville,30362,30600,99.2,06/22/1999
Jacksonville,30390,30600,99.3,06/23/1999
Jacksonville,30376,30600,99.3,06/24/1999
Jacksonville,30418,30600,99.4,06/25/1999
Jacksonville,30586,30600,100.0,06/26/1999
Jacksonville,30530,30600,99.8,06/27/1999
Jacksonville,30502,30600,99.7,06/28/1999
Jacksonville,30446,30600,99.5,06/29/1999
Jacksonville,30418,30600,99.4,06/30/1999
Jacksonville,30432,30600,99.5,07/01/1999
Jacksonville,30404,30600,99.4,07/02/1999
Jacksonville,30376,30600,99.3,07/03/1999
Jacksonville,30362,30600,99.2,07/04/1999
Jacksonville,30334,30600,99.1,07/05/1999
Jacksonville,30320,30600,99.1,07/06/1999
Jacksonville,30306,30600,99.0,07/07/1999
Jacksonville,30278,30600,98.9,07/08/1999
Jacksonville,30250,30600,98.9,07/09/1999
Jacksonville,30334,30600,99.1,07/10/1999
Jacksonville,30516,30600,99.7,07/11/1999
Jacksonville,30488,30600,99.6,07/12/1999
Jacksonville,30460,30600,99.5,07/13/1999
Jacksonville,30446,30600,99.5,07/14/1999
Jacksonville,30418,30600,99.4,07/15/1999
Jacksonville,30390,30600,99.3,07/16/1999
Jacksonville,30348,30600,99.2,07/17/1999
Jacksonville,30362,30600,99.2,07/18/1999
Jacksonville,30334,30600,99.1,07/19/1999
Jacksonville,30348,30600,99.2,07/20/1999
Jacksonville,30362,30600,99.2,07/21/1999
Jacksonville,30334,30600,99.1,07/22/1999
Jacksonville,30306,30600,99.0,07/23/1999
Jacksonville,30292,30600,99.0,07/24/1999
Jacksonville,30278,30600,98.9,07/25/1999
Jacksonville,30278,30600,98.9,07/26/1999
Jacksonville,30236,30600,98.8,07/27/1999
Jacksonville,30222,30600,98.8,07/28/1999
Jacksonville,30194,30600,98.7,07/29/1999
Jacksonville,30166,30600,98.6,07/30/1999
Jacksonville,30124,30600,98.4,07/31/1999
Jacksonville,30082,30600,98.3,08/01/1999
Jacksonville,30040,30600,98.2,08/02/1999
Jacksonville,30012,30600,98.1,08/03/1999
Jacksonville,29970,30600,97.9,08/04/1999
Jacksonville,29942,30600,97.8,08/05/1999
Jacksonville,29900,30600,97.7,08/06/1999
Jacksonville,29858,30600,97.6,08/07/1999
Jacksonville,29844,30600,97.5,08/08/1999
Jacksonville,29816,30600,97.4,08/09/1999
Jacksonville,29774,30600,97.3,08/10/1999
Jacksonville,29732,30600,97.2,08/11/1999
Jacksonville,29690,30600,97.0,08/12/1999
Jacksonville,29634,30600,96.8,08/13/1999
Jacksonville,29592,30600,96.7,08/14/1999
Jacksonville,29550,30600,96.6,08/15/1999
Jacksonville,29494,30600,96.4,08/16/1999
Jacksonville,29452,30600,96.2,08/17/1999
Jacksonville,29410,30600,96.1,08/18/1999
Jacksonville,29396,30600,96.1,08/19/1999
Jacksonville,29354,30600,95.9,08/20/1999
Jacksonville,29284,30600,95.7,08/21/1999
Jacksonville,29242,30600,95.6,08/22/1999
Jacksonville,29214,30600,95.5,08/23/1999
Jacksonville,29186,30600,95.4,08/24/1999
Jacksonville,29158,30600,95.3,08/25/1999
Jacksonville,29116,30600,95.2,08/26/1999
Jacksonville,29074,30600,95.0,08/27/1999
Jacksonville,29032,30600,94.9,08/28/1999
Jacksonville,29004,30600,94.8,08/29/1999
Jacksonville,28962,30600,94.6,08/30/1999
Jacksonville,28906,30600,94.5,08/31/1999
Jacksonville,28864,30600,94.3,09/01/1999
Jacksonville,28822,30600,94.2,09/02/1999
Jacksonville,28892,30600,94.4,09/03/1999
Jacksonville,28920,30600,94.5,09/04/1999
Jacksonville,28906,30600,94.5,09/05/1999
Jacksonville,28892,30600,94.4,09/06/1999
Jacksonville,28878,30600,94.4,09/07/1999
Jacksonville,28850,30600,94.3,09/08/1999
Jacksonville,28850,30600,94.3,09/09/1999
Jacksonville,28808,30600,94.1,09/10/1999
Jacksonville,28766,30600,94.0,09/11/1999
Jacksonville,28724,30600,93.9,09/12/1999
Jacksonville,28710,30600,93.8,09/13/1999
Jacksonville,28682,30600,93.7,09/14/1999
Jacksonville,28654,30600,93.6,09/15/1999
Jacksonville,28598,30600,93.5,09/16/1999
Jacksonville,28570,30600,93.4,09/17/1999
Jacksonville,28528,30600,93.2,09/18/1999
Jacksonville,28486,30600,93.1,09/19/1999
Jacksonville,28472,30600,93.0,09/20/1999
Jacksonville,28444,30600,93.0,09/21/1999
Jacksonville,28374,30600,92.7,09/22/1999
Jacksonville,28346,30600,92.6,09/23/1999
Jacksonville,28318,30600,92.5,09/24/1999
Jacksonville,28290,30600,92.5,09/25/1999
Jacksonville,28290,30600,92.5,09/26/1999
Jacksonville,28262,30600,92.4,09/27/1999
Jacksonville,28248,30600,92.3,09/28/1999
Jacksonville,28332,30600,92.6,09/29/1999
Jacksonville,28304,30600,92.5,09/30/1999
Jacksonville,28276,30600,92.4,10/01/1999
Jacksonville,28248,30600,92.3,10/02/1999
Jacksonville,28234,30600,92.3,10/03/1999
Jacksonville,28234,30600,92.3,10/04/1999
Jacksonville,28206,30600,92.2,10/05/1999
Jacksonville,28178,30600,92.1,10/06/1999
Jacksonville,28150,30600,92.0,10/07/1999
Jacksonville,28122,30600,91.9,10/08/1999
Jacksonville,28122,30600,91.9,10/09/1999
Jacksonville,28108,30600,91.9,10/10/1999
Jacksonville,28108,30600,91.9,10/11/1999
Jacksonville,28080,30600,91.8,10/12/1999
Jacksonville,28080,30600,91.8,10/13/1999
Jacksonville,28066,30600,91.7,10/14/1999
Jacksonville,28038,30600,91.6,10/15/1999
Jacksonville,28024,30600,91.6,10/16/1999
Jacksonville,27996,30600,91.5,10/17/1999
Jacksonville,27968,30600,91.4,10/18/1999
Jacksonville,27954,30600,91.4,10/19/1999
Jacksonville,27926,30600,91.3,10/20/1999
Jacksonville,27912,30600,91.2,10/21/1999
Jacksonville,27898,30600,91.2,10/22/1999
Jacksonville,27856,30600,91.0,10/23/1999
Jacksonville,27842,30600,91.0,10/24/1999
Jacksonville,27800,30600,90.8,10/25/1999
Jacksonville,27788,30600,90.8,10/26/1999
Jacksonville,27764,30600,90.7,10/27/1999
Jacksonville,27764,30600,90.7,10/28/1999
Jacksonville,27740,30600,90.7,10/29/1999
Jacksonville,27740,30600,90.7,10/30/1999
Jacksonville,27716,30600,90.6,10/31/1999
Jacksonville,27752,30600,90.7,11/01/1999
Jacksonville,27870,30600,91.1,11/02/1999
Jacksonville,27842,30600,91.0,11/03/1999
Jacksonville,27926,30600,91.3,11/04/1999
Jacksonville,28444,30600,93.0,11/05/1999
Jacksonville,28234,30600,92.3,11/06/1999
Jacksonville,27996,30600,91.5,11/07/1999
Jacksonville,27940,30600,91.3,11/08/1999
Jacksonville,27912,30600,91.2,11/09/1999
Jacksonville,27898,30600,91.2,11/10/1999
Jacksonville,27884,30600,91.1,11/11/1999
Jacksonville,27884,30600,91.1,11/12/1999
Jacksonville,27870,30600,91.1,11/13/1999
