reservoir,storage,capacity,pct_capacity,date
"Choke Canyon",301390,662820,45.5,01/2000
"Choke Canyon",296252,662820,44.7,02/2000
"Choke Canyon",289859,662820,43.7,03/2000
"Choke Canyon",286322,662820,43.2,04/2000
"Choke Canyon",281707,662820,42.5,05/2000
"Choke Canyon",280445,662820,42.3,06/2000
"Choke Canyon",270005,662820,40.7,07/2000
"Choke Canyon",256293,662820,38.7,08/2000
"Choke Canyon",244587,662820,36.9,09/2000
"Choke Canyon",234084,662820,35.3,10/2000
"Choke Canyon",256281,662820,38.7,11/2000
"Choke Canyon",267302,662820,40.3,12/2000
"Choke Canyon",265724,662820,40.1,01/2001
"Choke Canyon",265284,662820,40,02/2001
"Choke Canyon",262533,662820,39.6,03/2001
"Choke Canyon",260183,662820,39.3,04/2001
"Choke Canyon",257081,662820,38.8,05/2001
"Choke Canyon",247419,662820,37.3,06/2001
"Choke Canyon",236576,662820,35.7,07/2001
"Choke Canyon",224838,662820,33.9,08/2001
"Choke Canyon",229550,662820,34.6,09/2001
"Choke Canyon",221808,662820,33.5,10/2001
"Choke Canyon",246324,662820,37.2,11/2001
"Choke Canyon",284158,662820,42.9,12/2001
"Choke Canyon",279153,662820,42.1,01/2002
"Choke Canyon",274733,662820,41.4,02/2002
"Choke Canyon",269150,662820,40.6,03/2002
"Choke Canyon",264964,662820,40,04/2002
"Choke Canyon",256995,662820,38.8,05/2002
"Choke Canyon",246875,662820,37.2,06/2002
"Choke Canyon",610196,662820,92.1,07/2002
"Choke Canyon",690534,662820,104.2,08/2002
"Choke Canyon",691316,662820,104.3,09/2002
"Choke Canyon",694844,662820,104.8,10/2002
"Choke Canyon",695253,662820,104.9,11/2002
"Choke Canyon",695262,662820,104.9,12/2002
"Choke Canyon",695011,662820,104.9,01/2003
"Choke Canyon",694956,662820,104.8,02/2003
"Choke Canyon",694818,662820,104.8,03/2003
"Choke Canyon",695167,662820,104.9,04/2003
"Choke Canyon",691085,662820,104.3,05/2003
"Choke Canyon",686169,662820,103.5,06/2003
"Choke Canyon",691071,662820,104.3,07/2003
"Choke Canyon",688514,662820,103.9,08/2003
"Choke Canyon",691924,662820,104.4,09/2003
"Choke Canyon",693848,662820,104.7,10/2003
"Choke Canyon",692919,662820,104.5,11/2003
"Choke Canyon",686446,662820,103.6,12/2003
"Choke Canyon",685064,662820,103.4,01/2004
"Choke Canyon",686088,662820,103.5,02/2004
"Choke Canyon",692936,662820,104.5,03/2004
"Choke Canyon",695262,662820,104.9,04/2004
"Choke Canyon",694885,662820,104.8,05/2004
"Choke Canyon",695029,662820,104.9,06/2004
"Choke Canyon",694644,662820,104.8,07/2004
"Choke Canyon",693404,662820,104.6,08/2004
"Choke Canyon",694925,662820,104.8,09/2004
"Choke Canyon",694149,662820,104.7,10/2004
"Choke Canyon",692885,662820,104.5,11/2004
"Choke Canyon",694994,662820,104.9,12/2004
"Choke Canyon",695229,662820,104.9,01/2005
"Choke Canyon",695262,662820,104.9,02/2005
"Choke Canyon",695262,662820,104.9,03/2005
"Choke Canyon",695245,662820,104.9,04/2005
"Choke Canyon",692969,662820,104.5,05/2005
"Choke Canyon",690358,662820,104.2,06/2005
"Choke Canyon",679461,662820,102.5,07/2005
"Choke Canyon",668433,662820,100.8,08/2005
"Choke Canyon",654821,662820,98.8,09/2005
"Choke Canyon",642850,662820,97,10/2005
"Choke Canyon",631580,662820,95.3,11/2005
"Choke Canyon",621843,662820,93.8,12/2005
"Choke Canyon",617148,662820,93.1,01/2006
"Choke Canyon",611345,662820,92.2,02/2006
"Choke Canyon",606203,662820,91.5,03/2006
"Choke Canyon",598534,662820,90.3,04/2006
"Choke Canyon",586977,662820,88.6,05/2006
"Choke Canyon",574038,662820,86.6,06/2006
"Choke Canyon",561222,662820,84.7,07/2006
"Choke Canyon",545192,662820,82.3,08/2006
"Choke Canyon",535865,662820,80.8,09/2006
"Choke Canyon",535686,662820,80.8,10/2006
"Choke Canyon",523459,662820,79,11/2006
"Choke Canyon",513559,662820,77.5,12/2006
"Choke Canyon",515708,662820,77.8,01/2007
"Choke Canyon",516320,662820,77.9,02/2007
"Choke Canyon",522626,662820,78.8,03/2007
"Choke Canyon",539826,662820,81.4,04/2007
"Choke Canyon",544507,662820,82.2,05/2007
"Choke Canyon",606473,662820,91.5,06/2007
"Choke Canyon",687565,662820,103.7,07/2007
"Choke Canyon",694325,662820,104.8,08/2007
"Choke Canyon",693792,662820,104.7,09/2007
"Choke Canyon",691163,662820,104.3,10/2007
"Choke Canyon",684039,662820,103.2,11/2007
"Choke Canyon",681061,662820,102.8,12/2007
"Choke Canyon",676539,662820,102.1,01/2008
"Choke Canyon",670259,662820,101.1,02/2008
"Choke Canyon",663548,662820,100.1,03/2008
"Choke Canyon",658731,662820,99.4,04/2008
"Choke Canyon",652885,662820,98.5,05/2008
"Choke Canyon",638093,662820,96.3,06/2008
"Choke Canyon",625002,662820,94.3,07/2008
"Choke Canyon",616300,662820,93,08/2008
"Choke Canyon",607232,662820,91.6,09/2008
"Choke Canyon",592745,662820,89.4,10/2008
"Choke Canyon",580190,662820,87.5,11/2008
"Choke Canyon",569208,662820,85.9,12/2008
"Choke Canyon",562396,662820,84.8,01/2009
"Choke Canyon",554712,662820,83.7,02/2009
"Choke Canyon",547410,662820,82.6,03/2009
"Choke Canyon",537721,662820,81.1,04/2009
"Choke Canyon",529293,662820,79.9,05/2009
"Choke Canyon",519330,662820,78.4,06/2009
"Choke Canyon",502851,662820,75.9,07/2009
"Choke Canyon",484513,662820,73.1,08/2009
"Choke Canyon",482760,662820,72.8,09/2009
"Choke Canyon",481990,662820,72.7,10/2009
"Choke Canyon",476468,662820,71.9,11/2009
