reservoir,storage,capacity,pct_capacity,date
"Lost Creek",10366,11950,86.7,01/2000
"Lost Creek",10273,11950,86,02/2000
"Lost Creek",10211,11950,85.4,03/2000
"Lost Creek",10152,11950,85,04/2000
"Lost Creek",10112,11950,84.6,05/2000
"Lost Creek",10000,11950,83.7,06/2000
"Lost Creek",9817,11950,82.2,07/2000
"Lost Creek",9421,11950,78.8,08/2000
"Lost Creek",9014,11950,75.4,09/2000
"Lost Creek",8714,11950,72.9,10/2000
"Lost Creek",8785,11950,73.5,11/2000
"Lost Creek",8856,11950,74.1,12/2000
"Lost Creek",9524,11950,79.7,01/2001
"Lost Creek",11343,11950,94.9,02/2001
"Lost Creek",11950,11950,100,03/2001
"Lost Creek",11950,11950,100,04/2001
"Lost Creek",11881,11950,99.4,05/2001
"Lost Creek",11650,11950,97.5,06/2001
"Lost Creek",11301,11950,94.6,07/2001
"Lost Creek",10987,11950,91.9,08/2001
"Lost Creek",10791,11950,90.3,09/2001
"Lost Creek",10661,11950,89.2,10/2001
"Lost Creek",10535,11950,88.2,11/2001
"Lost Creek",10466,11950,87.6,12/2001
"Lost Creek",10387,11950,86.9,01/2002
"Lost Creek",10332,11950,86.5,02/2002
"Lost Creek",10263,11950,85.9,03/2002
"Lost Creek",10557,11950,88.3,04/2002
"Lost Creek",10826,11950,90.6,05/2002
"Lost Creek",10903,11950,91.2,06/2002
"Lost Creek",10836,11950,90.7,07/2002
"Lost Creek",10616,11950,88.8,08/2002
"Lost Creek",10406,11950,87.1,09/2002
"Lost Creek",10293,11950,86.1,10/2002
"Lost Creek",10266,11950,85.9,11/2002
"Lost Creek",10231,11950,85.6,12/2002
"Lost Creek",10260,11950,85.9,01/2003
"Lost Creek",10228,11950,85.6,02/2003
"Lost Creek",10398,11950,87,03/2003
"Lost Creek",10341,11950,86.5,04/2003
"Lost Creek",10212,11950,85.5,05/2003
"Lost Creek",10697,11950,89.5,06/2003
"Lost Creek",10924,11950,91.4,07/2003
"Lost Creek",10624,11950,88.9,08/2003
"Lost Creek",10772,11950,90.1,09/2003
"Lost Creek",10847,11950,90.8,10/2003
"Lost Creek",10759,11950,90,11/2003
"Lost Creek",10639,11950,89,12/2003
"Lost Creek",10557,11950,88.3,01/2004
"Lost Creek",10569,11950,88.4,02/2004
"Lost Creek",11263,11950,94.3,03/2004
"Lost Creek",11372,11950,95.2,04/2004
"Lost Creek",11343,11950,94.9,05/2004
"Lost Creek",11832,11950,99,06/2004
"Lost Creek",11912,11950,99.7,07/2004
"Lost Creek",11862,11950,99.3,08/2004
"Lost Creek",11637,11950,97.4,09/2004
"Lost Creek",11534,11950,96.5,10/2004
"Lost Creek",11748,11950,98.3,11/2004
"Lost Creek",11950,11950,100,12/2004
"Lost Creek",11948,11950,100,01/2005
"Lost Creek",11950,11950,100,02/2005
"Lost Creek",11935,11950,99.9,03/2005
"Lost Creek",11862,11950,99.3,04/2005
"Lost Creek",11685,11950,97.8,05/2005
"Lost Creek",11521,11950,96.4,06/2005
"Lost Creek",11229,11950,94,07/2005
"Lost Creek",11063,11950,92.6,08/2005
"Lost Creek",10858,11950,90.9,09/2005
"Lost Creek",10704,11950,89.6,10/2005
"Lost Creek",10534,11950,88.2,11/2005
"Lost Creek",10356,11950,86.7,12/2005
"Lost Creek",10224,11950,85.6,01/2006
"Lost Creek",10125,11950,84.7,02/2006
"Lost Creek",10127,11950,84.7,03/2006
"Lost Creek",10116,11950,84.7,04/2006
"Lost Creek",11709,11950,98,05/2006
"Lost Creek",11681,11950,97.7,06/2006
"Lost Creek",11389,11950,95.3,07/2006
"Lost Creek",11088,11950,92.8,08/2006
"Lost Creek",10932,11950,91.5,09/2006
"Lost Creek",10767,11950,90.1,10/2006
"Lost Creek",10640,11950,89,11/2006
"Lost Creek",10568,11950,88.4,12/2006
"Lost Creek",10625,11950,88.9,01/2007
"Lost Creek",10736,11950,89.8,02/2007
"Lost Creek",10829,11950,90.6,03/2007
"Lost Creek",11950,11950,100,04/2007
"Lost Creek",11950,11950,100,05/2007
"Lost Creek",11950,11950,100,06/2007
"Lost Creek",11940,11950,99.9,07/2007
"Lost Creek",11809,11950,98.8,08/2007
"Lost Creek",11765,11950,98.5,09/2007
"Lost Creek",11697,11950,97.9,10/2007
"Lost Creek",11497,11950,96.2,11/2007
"Lost Creek",11399,11950,95.4,12/2007
"Lost Creek",11277,11950,94.4,01/2008
"Lost Creek",11178,11950,93.5,02/2008
"Lost Creek",11722,11950,98.1,03/2008
"Lost Creek",11950,11950,100,04/2008
"Lost Creek",11908,11950,99.6,05/2008
"Lost Creek",11690,11950,97.8,06/2008
"Lost Creek",11389,11950,95.3,07/2008
"Lost Creek",11123,11950,93.1,08/2008
"Lost Creek",10986,11950,91.9,09/2008
"Lost Creek",10827,11950,90.6,10/2008
"Lost Creek",10663,11950,89.2,11/2008
"Lost Creek",10504,11950,87.9,12/2008
"Lost Creek",10390,11950,86.9,01/2009
"Lost Creek",10299,11950,86.2,02/2009
"Lost Creek",10225,11950,85.6,03/2009
"Lost Creek",10123,11950,84.7,04/2009
"Lost Creek",10107,11950,84.6,05/2009
"Lost Creek",9959,11950,83.3,06/2009
"Lost Creek",9688,11950,81.1,07/2009
"Lost Creek",9510,11950,79.6,08/2009
"Lost Creek",9460,11950,79.2,09/2009
"Lost Creek",10505,11950,87.9,10/2009
"Lost Creek",11938,11950,99.9,11/2009
"Lost Creek",11930,11950,99.8,12/2009
"Lost Creek",11948,11950,100,01/2010
"Lost Creek",11950,11950,100,02/2010
"Lost Creek",11950,11950,100,03/2010
"Lost Creek",11947,11950,100,04/2010
"Lost Creek",11947,11950,100,05/2010
"Lost Creek",11821,11950,98.9,06/2010
"Lost Creek",11934,11950,99.9,07/2010
"Lost Creek",11718,11950,98.1,08/2010
"Lost Creek",11557,11950,96.7,09/2010
"Lost Creek",11421,11950,95.6,10/2010
"Lost Creek",11227,11950,93.9,11/2010
"Lost Creek",11091,11950,92.8,12/2010
"Lost Creek",11017,11950,92.2,01/2011
"Lost Creek",10995,11950,92,02/2011
"Lost Creek",10921,11950,91.4,03/2011
"Lost Creek",10759,11950,90,04/2011
"Lost Creek",10626,11950,88.9,05/2011
"Lost Creek",10418,11950,87.2,06/2011
"Lost Creek",10097,11950,84.5,07/2011
"Lost Creek",9708,11950,81.2,08/2011
"Lost Creek",9336,11950,78.1,09/2011
"Lost Creek",9274,11950,77.6,10/2011
"Lost Creek",9261,11950,77.5,11/2011
"Lost Creek",9608,11950,80.4,12/2011
"Lost Creek",10461,11950,87.5,01/2012
"Lost Creek",11950,11950,100,02/2012
"Lost Creek",11950,11950,100,03/2012
"Lost Creek",11908,11950,99.6,04/2012
"Lost Creek",11691,11950,97.8,05/2012
"Lost Creek",11501,11950,96.2,06/2012
"Lost Creek",11219,11950,93.9,07/2012
"Lost Creek",10960,11950,91.7,08/2012
"Lost Creek",10785,11950,90.3,09/2012
"Lost Creek",10646,11950,89.1,10/2012
"Lost Creek",10479,11950,87.7,11/2012
"Lost Creek",10329,11950,86.4,12/2012
"Lost Creek",10254,11950,85.8,01/2013
"Lost Creek",10195,11950,85.3,02/2013
"Lost Creek",10093,11950,84.5,03/2013
"Lost Creek",10020,11950,83.8,04/2013
"Lost Creek",9856,11950,82.5,05/2013
"Lost Creek",9736,11950,81.5,06/2013
"Lost Creek",9507,11950,79.6,07/2013
"Lost Creek",9271,11950,77.6,08/2013
"Lost Creek",9030,11950,75.6,09/2013
"Lost Creek",8854,11950,74.1,10/2013
"Lost Creek",8765,11950,73.3,11/2013
"Lost Creek",8708,11950,72.9,12/2013
"Lost Creek",8591,11950,71.9,01/2014
"Lost Creek",8498,11950,71.1,02/2014
"Lost Creek",8411,11950,70.4,03/2014
"Lost Creek",8306,11950,69.5,04/2014
"Lost Creek",8141,11950,68.1,05/2014
"Lost Creek",7996,11950,66.9,06/2014
"Lost Creek",7919,11950,66.3,07/2014
"Lost Creek",7748,11950,64.8,08/2014
"Lost Creek",7583,11950,63.5,09/2014
"Lost Creek",7431,11950,62.2,10/2014
"Lost Creek",7336,11950,61.4,11/2014
"Lost Creek",7274,11950,60.9,12/2014
"Lost Creek",7212,11950,60.4,01/2015
"Lost Creek",7164,11950,59.9,02/2015
"Lost Creek",7244,11950,60.6,03/2015
"Lost Creek",7473,11950,62.5,04/2015
"Lost Creek",9936,11950,83.1,05/2015
"Lost Creek",11950,11950,100,06/2015
"Lost Creek",11901,11950,99.6,07/2015
"Lost Creek",11830,11950,99,08/2015
"Lost Creek",11581,11950,96.9,09/2015
"Lost Creek",11392,11950,95.3,10/2015
"Lost Creek",11950,11950,100,11/2015
"Lost Creek",11950,11950,100,12/2015
"Lost Creek",11950,11950,100,01/2016
"Lost Creek",11946,11950,100,02/2016
"Lost Creek",11950,11950,100,03/2016
"Lost Creek",11947,11950,100,04/2016
"Lost Creek",11950,11950,100,05/2016
"Lost Creek",11950,11950,100,06/2016
"Lost Creek",11862,11950,99.3,07/2016
"Lost Creek",11713,11950,98,08/2016
"Lost Creek",11884,11950,99.4,09/2016
"Lost Creek",11904,11950,99.6,10/2016
"Lost Creek",11937,11950,99.9,11/2016
"Lost Creek",11908,11950,99.6,12/2016
"Lost Creek",11913,11950,99.7,01/2017
"Lost Creek",11946,11950,100,02/2017
"Lost Creek",11931,11950,99.8,03/2017
"Lost Creek",11927,11950,99.8,04/2017
"Lost Creek",11757,11950,98.4,05/2017
"Lost Creek",11698,11950,97.9,06/2017
"Lost Creek",11573,11950,96.8,07/2017
"Lost Creek",11334,11950,94.8,08/2017
"Lost Creek",11256,11950,94.2,09/2017
"Lost Creek",11874,11950,99.4,10/2017
"Lost Creek",11744,11950,98.3,11/2017
"Lost Creek",11645,11950,97.4,12/2017
"Lost Creek",11560,11950,96.7,01/2018
"Lost Creek",11604,11950,97.1,02/2018
"Lost Creek",11930,11950,99.8,03/2018
"Lost Creek",11788,11950,98.6,04/2018
"Lost Creek",11820,11950,98.9,05/2018
"Lost Creek",11676,11950,97.7,06/2018
"Lost Creek",11305,11950,94.6,07/2018
"Lost Creek",11028,11950,92.3,08/2018
"Lost Creek",10997,11950,92,09/2018
"Lost Creek",11703,11950,97.9,10/2018
"Lost Creek",11948,11950,100,11/2018
"Lost Creek",11948,11950,100,12/2018
"Lost Creek",11950,11950,100,01/2019
"Lost Creek",11937,11950,99.9,02/2019
"Lost Creek",11933,11950,99.9,03/2019
"Lost Creek",11932,11950,99.8,04/2019
