reservoir,storage,capacity,pct_capacity,date
"Navarro Mills",34468,49827,69.2,01/2000
"Navarro Mills",34365,49827,69,02/2000
"Navarro Mills",34109,49827,68.5,03/2000
"Navarro Mills",40519,49827,81.3,04/2000
"Navarro Mills",47100,49827,94.5,05/2000
"Navarro Mills",49614,49827,99.6,06/2000
"Navarro Mills",49216,49827,98.8,07/2000
"Navarro Mills",45517,49827,91.4,08/2000
"Navarro Mills",41463,49827,83.2,09/2000
"Navarro Mills",39426,49827,79.1,10/2000
"Navarro Mills",46197,49827,92.7,11/2000
"Navarro Mills",49827,49827,100,12/2000
"Navarro Mills",49827,49827,100,01/2001
"Navarro Mills",49827,49827,100,02/2001
"Navarro Mills",49827,49827,100,03/2001
"Navarro Mills",49827,49827,100,04/2001
"Navarro Mills",49827,49827,100,05/2001
"Navarro Mills",49444,49827,99.2,06/2001
"Navarro Mills",47187,49827,94.7,07/2001
"Navarro Mills",42866,49827,86,08/2001
"Navarro Mills",41193,49827,82.7,09/2001
"Navarro Mills",45410,49827,91.1,10/2001
"Navarro Mills",49564,49827,99.5,11/2001
"Navarro Mills",49827,49827,100,12/2001
"Navarro Mills",49827,49827,100,01/2002
"Navarro Mills",49827,49827,100,02/2002
"Navarro Mills",49827,49827,100,03/2002
"Navarro Mills",49827,49827,100,04/2002
"Navarro Mills",49763,49827,99.9,05/2002
"Navarro Mills",49827,49827,100,06/2002
"Navarro Mills",49825,49827,100,07/2002
"Navarro Mills",47789,49827,95.9,08/2002
"Navarro Mills",44736,49827,89.8,09/2002
"Navarro Mills",44179,49827,88.7,10/2002
"Navarro Mills",45913,49827,92.1,11/2002
"Navarro Mills",48793,49827,97.9,12/2002
"Navarro Mills",49827,49827,100,01/2003
"Navarro Mills",49827,49827,100,02/2003
"Navarro Mills",49827,49827,100,03/2003
"Navarro Mills",49792,49827,99.9,04/2003
"Navarro Mills",48898,49827,98.1,05/2003
"Navarro Mills",48824,49827,98,06/2003
"Navarro Mills",47762,49827,95.9,07/2003
"Navarro Mills",43346,49827,87,08/2003
"Navarro Mills",43119,49827,86.5,09/2003
"Navarro Mills",43768,49827,87.8,10/2003
"Navarro Mills",43374,49827,87,11/2003
"Navarro Mills",42681,49827,85.7,12/2003
"Navarro Mills",44602,49827,89.5,01/2004
"Navarro Mills",49664,49827,99.7,02/2004
"Navarro Mills",49763,49827,99.9,03/2004
"Navarro Mills",48623,49827,97.6,04/2004
"Navarro Mills",49827,49827,100,05/2004
"Navarro Mills",49827,49827,100,06/2004
"Navarro Mills",49768,49827,99.9,07/2004
"Navarro Mills",49056,49827,98.5,08/2004
"Navarro Mills",47717,49827,95.8,09/2004
"Navarro Mills",49263,49827,98.9,10/2004
"Navarro Mills",49827,49827,100,11/2004
"Navarro Mills",49827,49827,100,12/2004
"Navarro Mills",49827,49827,100,01/2005
"Navarro Mills",49827,49827,100,02/2005
"Navarro Mills",49827,49827,100,03/2005
"Navarro Mills",49766,49827,99.9,04/2005
"Navarro Mills",49206,49827,98.8,05/2005
"Navarro Mills",47943,49827,96.2,06/2005
"Navarro Mills",44743,49827,89.8,07/2005
"Navarro Mills",42496,49827,85.3,08/2005
"Navarro Mills",40097,49827,80.5,09/2005
"Navarro Mills",37459,49827,75.2,10/2005
"Navarro Mills",35580,49827,71.4,11/2005
"Navarro Mills",33982,49827,68.2,12/2005
"Navarro Mills",32714,49827,65.7,01/2006
"Navarro Mills",32202,49827,64.6,02/2006
"Navarro Mills",31936,49827,64.1,03/2006
"Navarro Mills",31502,49827,63.2,04/2006
"Navarro Mills",30471,49827,61.2,05/2006
"Navarro Mills",28198,49827,56.6,06/2006
"Navarro Mills",25922,49827,52,07/2006
"Navarro Mills",22720,49827,45.6,08/2006
"Navarro Mills",20341,49827,40.8,09/2006
"Navarro Mills",18944,49827,38,10/2006
"Navarro Mills",18159,49827,36.4,11/2006
"Navarro Mills",17446,49827,35,12/2006
"Navarro Mills",18713,49827,37.6,01/2007
"Navarro Mills",20191,49827,40.5,02/2007
"Navarro Mills",23261,49827,46.7,03/2007
"Navarro Mills",49827,49827,100,04/2007
"Navarro Mills",49827,49827,100,05/2007
"Navarro Mills",49827,49827,100,06/2007
"Navarro Mills",49827,49827,100,07/2007
"Navarro Mills",49733,49827,99.8,08/2007
"Navarro Mills",49424,49827,99.2,09/2007
"Navarro Mills",47971,49827,96.3,10/2007
"Navarro Mills",46339,49827,93,11/2007
"Navarro Mills",46181,49827,92.7,12/2007
"Navarro Mills",45754,49827,91.8,01/2008
"Navarro Mills",45812,49827,91.9,02/2008
"Navarro Mills",48877,49827,98.1,03/2008
"Navarro Mills",49827,49827,100,04/2008
"Navarro Mills",49827,49827,100,05/2008
"Navarro Mills",49519,49827,99.4,06/2008
"Navarro Mills",46800,49827,93.9,07/2008
"Navarro Mills",44077,49827,88.5,08/2008
"Navarro Mills",42292,49827,84.9,09/2008
"Navarro Mills",40675,49827,81.6,10/2008
"Navarro Mills",38910,49827,78.1,11/2008
"Navarro Mills",37442,49827,75.1,12/2008
"Navarro Mills",36536,49827,73.3,01/2009
"Navarro Mills",35556,49827,71.4,02/2009
"Navarro Mills",43021,49827,86.3,03/2009
"Navarro Mills",49272,49827,98.9,04/2009
"Navarro Mills",49827,49827,100,05/2009
"Navarro Mills",48547,49827,97.4,06/2009
"Navarro Mills",45071,49827,90.5,07/2009
"Navarro Mills",42284,49827,84.9,08/2009
"Navarro Mills",45577,49827,91.5,09/2009
"Navarro Mills",49824,49827,100,10/2009
"Navarro Mills",49827,49827,100,11/2009
"Navarro Mills",49824,49827,100,12/2009
"Navarro Mills",49783,49827,99.9,01/2010
"Navarro Mills",49827,49827,100,02/2010
"Navarro Mills",49827,49827,100,03/2010
"Navarro Mills",49827,49827,100,04/2010
"Navarro Mills",49813,49827,100,05/2010
"Navarro Mills",49608,49827,99.6,06/2010
"Navarro Mills",49468,49827,99.3,07/2010
"Navarro Mills",46710,49827,93.7,08/2010
"Navarro Mills",48424,49827,97.2,09/2010
"Navarro Mills",48051,49827,96.4,10/2010
"Navarro Mills",47187,49827,94.7,11/2010
"Navarro Mills",45980,49827,92.3,12/2010
"Navarro Mills",48209,49827,96.8,01/2011
"Navarro Mills",49827,49827,100,02/2011
"Navarro Mills",49827,49827,100,03/2011
"Navarro Mills",49270,49827,98.9,04/2011
"Navarro Mills",48024,49827,96.4,05/2011
"Navarro Mills",45607,49827,91.5,06/2011
"Navarro Mills",42986,49827,86.3,07/2011
"Navarro Mills",38541,49827,77.3,08/2011
"Navarro Mills",34558,49827,69.4,09/2011
"Navarro Mills",32238,49827,64.7,10/2011
"Navarro Mills",31076,49827,62.4,11/2011
"Navarro Mills",33236,49827,66.7,12/2011
"Navarro Mills",38503,49827,77.3,01/2012
"Navarro Mills",49827,49827,100,02/2012
"Navarro Mills",49827,49827,100,03/2012
"Navarro Mills",49816,49827,100,04/2012
"Navarro Mills",49760,49827,99.9,05/2012
"Navarro Mills",49827,49827,100,06/2012
"Navarro Mills",48615,49827,97.6,07/2012
"Navarro Mills",44986,49827,90.3,08/2012
"Navarro Mills",42020,49827,84.3,09/2012
"Navarro Mills",41064,49827,82.4,10/2012
"Navarro Mills",39118,49827,78.5,11/2012
"Navarro Mills",37617,49827,75.5,12/2012
"Navarro Mills",45151,49827,90.6,01/2013
"Navarro Mills",48472,49827,97.3,02/2013
"Navarro Mills",47828,49827,96,03/2013
"Navarro Mills",47161,49827,94.6,04/2013
"Navarro Mills",46168,49827,92.7,05/2013
"Navarro Mills",45261,49827,90.8,06/2013
"Navarro Mills",41935,49827,84.2,07/2013
"Navarro Mills",38829,49827,77.9,08/2013
"Navarro Mills",36114,49827,72.5,09/2013
"Navarro Mills",38739,49827,77.7,10/2013
"Navarro Mills",49575,49827,99.5,11/2013
"Navarro Mills",49827,49827,100,12/2013
"Navarro Mills",49827,49827,100,01/2014
"Navarro Mills",49827,49827,100,02/2014
"Navarro Mills",49819,49827,100,03/2014
"Navarro Mills",49396,49827,99.1,04/2014
"Navarro Mills",49357,49827,99.1,05/2014
"Navarro Mills",49827,49827,100,06/2014
"Navarro Mills",49405,49827,99.2,07/2014
"Navarro Mills",46576,49827,93.5,08/2014
"Navarro Mills",43842,49827,88,09/2014
"Navarro Mills",42495,49827,85.3,10/2014
"Navarro Mills",41473,49827,83.2,11/2014
"Navarro Mills",40684,49827,81.7,12/2014
"Navarro Mills",41180,49827,82.6,01/2015
"Navarro Mills",42984,49827,86.3,02/2015
"Navarro Mills",48234,49827,96.8,03/2015
"Navarro Mills",49827,49827,100,04/2015
"Navarro Mills",49827,49827,100,05/2015
"Navarro Mills",49827,49827,100,06/2015
"Navarro Mills",49827,49827,100,07/2015
"Navarro Mills",49396,49827,99.1,08/2015
"Navarro Mills",46689,49827,93.7,09/2015
"Navarro Mills",45633,49827,91.6,10/2015
"Navarro Mills",49827,49827,100,11/2015
"Navarro Mills",49827,49827,100,12/2015
