reservoir,storage,capacity,pct_full,date,state
"Moon Lake",6003,49500,,06/30/2021,UT
"Moon Lake",6417,49500,,06/29/2021,UT
"Moon Lake",6866,49500,,06/28/2021,UT
"Moon Lake",7289,49500,,06/27/2021,UT
"Moon Lake",7692,49500,,06/26/2021,UT
"Moon Lake",8040,49500,,06/25/2021,UT
"Moon Lake",8360,49500,,06/24/2021,UT
"Moon Lake",8756,49500,,06/23/2021,UT
"Moon Lake",9256,49500,,06/22/2021,UT
"Moon Lake",9858,49500,,06/21/2021,UT
"Moon Lake",10410,49500,,06/20/2021,UT
"Moon Lake",10949,49500,,06/19/2021,UT
"Moon Lake",11456,49500,,06/18/2021,UT
"Moon Lake",11936,49500,,06/17/2021,UT
"Moon Lake",12421,49500,,06/16/2021,UT
"Moon Lake",12883,49500,,06/15/2021,UT
"Moon Lake",13430,49500,,06/14/2021,UT
"Moon Lake",13954,49500,,06/13/2021,UT
"Moon Lake",14447,49500,,06/12/2021,UT
"Moon Lake",14897,49500,,06/11/2021,UT
"Moon Lake",15292,49500,,06/10/2021,UT
"Moon Lake",15599,49500,,06/09/2021,UT
"Moon Lake",15774,49500,,06/08/2021,UT
"Moon Lake",15828,49500,,06/07/2021,UT
"Moon Lake",15732,49500,,06/06/2021,UT
"Moon Lake",15502,49500,,06/05/2021,UT
"Moon Lake",15178,49500,,06/04/2021,UT
"Moon Lake",14589,49500,,06/03/2021,UT
"Moon Lake",14124,49500,,06/02/2021,UT
"Moon Lake",13837,49500,,06/01/2021,UT
