reservoir,storage,capacity,date,state
"Flaming Gorge",3266815,3788700,01/2000,UT
"Flaming Gorge",3264910,3788700,01/2000,UT
"Flaming Gorge",3262656,3788700,01/2000,UT
"Flaming Gorge",3260384,3788700,01/2000,UT
"Flaming Gorge",3258113,3788700,01/2000,UT
"Flaming Gorge",3256212,3788700,01/2000,UT
"Flaming Gorge",3254700,3788700,01/2000,UT
"Flaming Gorge",3252819,3788700,01/2000,UT
"Flaming Gorge",3250552,3788700,01/2000,UT
"Flaming Gorge",3249042,3788700,01/2000,UT
"Flaming Gorge",3247918,3788700,01/2000,UT
"Flaming Gorge",3246409,3788700,01/2000,UT
"Flaming Gorge",3244900,3788700,01/2000,UT
"Flaming Gorge",3243777,3788700,01/2000,UT
"Flaming Gorge",3242269,3788700,01/2000,UT
"Flaming Gorge",3241129,3788700,01/2000,UT
"Flaming Gorge",3240008,3788700,01/2000,UT
"Flaming Gorge",3238115,3788700,01/2000,UT
"Flaming Gorge",3237362,3788700,01/2000,UT
"Flaming Gorge",3236995,3788700,01/2000,UT
"Flaming Gorge",3236242,3788700,01/2000,UT
"Flaming Gorge",3235856,3788700,01/2000,UT
"Flaming Gorge",3234736,3788700,01/2000,UT
"Flaming Gorge",3233231,3788700,01/2000,UT
"Flaming Gorge",3231726,3788700,01/2000,UT
"Flaming Gorge",3230608,3788700,01/2000,UT
"Flaming Gorge",3229471,3788700,01/2000,UT
"Flaming Gorge",3228352,3788700,01/2000,UT
"Flaming Gorge",3226465,3788700,01/2000,UT
"Flaming Gorge",3226098,3788700,01/2000,UT
"Flaming Gorge",3224230,3788700,01/2000,UT
"Flaming Gorge",3222344,3788700,02/2000,UT
"Flaming Gorge",3220844,3788700,02/2000,UT
"Flaming Gorge",3220093,3788700,02/2000,UT
"Flaming Gorge",3220478,3788700,02/2000,UT
"Flaming Gorge",3218978,3788700,02/2000,UT
"Flaming Gorge",3219343,3788700,02/2000,UT
"Flaming Gorge",3217844,3788700,02/2000,UT
"Flaming Gorge",3216728,3788700,02/2000,UT
"Flaming Gorge",3215979,3788700,02/2000,UT
"Flaming Gorge",3215613,3788700,02/2000,UT
"Flaming Gorge",3216345,3788700,02/2000,UT
"Flaming Gorge",3214864,3788700,02/2000,UT
"Flaming Gorge",3214115,3788700,02/2000,UT
"Flaming Gorge",3212617,3788700,02/2000,UT
"Flaming Gorge",3214864,3788700,02/2000,UT
"Flaming Gorge",3213731,3788700,02/2000,UT
"Flaming Gorge",3214481,3788700,02/2000,UT
"Flaming Gorge",3213731,3788700,02/2000,UT
"Flaming Gorge",3213366,3788700,02/2000,UT
"Flaming Gorge",3212983,3788700,02/2000,UT
"Flaming Gorge",3212617,3788700,02/2000,UT
"Flaming Gorge",3211485,3788700,02/2000,UT
"Flaming Gorge",3210372,3788700,02/2000,UT
"Flaming Gorge",3209623,3788700,02/2000,UT
"Flaming Gorge",3209623,3788700,02/2000,UT
"Flaming Gorge",3208875,3788700,02/2000,UT
"Flaming Gorge",3207744,3788700,02/2000,UT
"Flaming Gorge",3207744,3788700,02/2000,UT
"Flaming Gorge",3208492,3788700,02/2000,UT
"Flaming Gorge",3207379,3788700,03/2000,UT
"Flaming Gorge",3208492,3788700,03/2000,UT
"Flaming Gorge",3208127,3788700,03/2000,UT
"Flaming Gorge",3207744,3788700,03/2000,UT
"Flaming Gorge",3206996,3788700,03/2000,UT
"Flaming Gorge",3205884,3788700,03/2000,UT
"Flaming Gorge",3206631,3788700,03/2000,UT
"Flaming Gorge",3205519,3788700,03/2000,UT
"Flaming Gorge",3206631,3788700,03/2000,UT
"Flaming Gorge",3205884,3788700,03/2000,UT
"Flaming Gorge",3206267,3788700,03/2000,UT
"Flaming Gorge",3204389,3788700,03/2000,UT
"Flaming Gorge",3204389,3788700,03/2000,UT
"Flaming Gorge",3203277,3788700,03/2000,UT
"Flaming Gorge",3203641,3788700,03/2000,UT
"Flaming Gorge",3203277,3788700,03/2000,UT
"Flaming Gorge",3202894,3788700,03/2000,UT
"Flaming Gorge",3201783,3788700,03/2000,UT
"Flaming Gorge",3201783,3788700,03/2000,UT
"Flaming Gorge",3202147,3788700,03/2000,UT
"Flaming Gorge",3201036,3788700,03/2000,UT
"Flaming Gorge",3200654,3788700,03/2000,UT
"Flaming Gorge",3201783,3788700,03/2000,UT
"Flaming Gorge",3200289,3788700,03/2000,UT
"Flaming Gorge",3199543,3788700,03/2000,UT
"Flaming Gorge",3199161,3788700,03/2000,UT
"Flaming Gorge",3198796,3788700,03/2000,UT
"Flaming Gorge",3198796,3788700,03/2000,UT
"Flaming Gorge",3199543,3788700,03/2000,UT
"Flaming Gorge",3199161,3788700,03/2000,UT
"Flaming Gorge",3198796,3788700,03/2000,UT
"Flaming Gorge",3198414,3788700,04/2000,UT
"Flaming Gorge",3197304,3788700,04/2000,UT
"Flaming Gorge",3196558,3788700,04/2000,UT
"Flaming Gorge",3196194,3788700,04/2000,UT
"Flaming Gorge",3195066,3788700,04/2000,UT
"Flaming Gorge",3195066,3788700,04/2000,UT
"Flaming Gorge",3193575,3788700,04/2000,UT
"Flaming Gorge",3192466,3788700,04/2000,UT
"Flaming Gorge",3192085,3788700,04/2000,UT
"Flaming Gorge",3192085,3788700,04/2000,UT
"Flaming Gorge",3191721,3788700,04/2000,UT
"Flaming Gorge",3190976,3788700,04/2000,UT
"Flaming Gorge",3190231,3788700,04/2000,UT
"Flaming Gorge",3190595,3788700,04/2000,UT
"Flaming Gorge",3191340,3788700,04/2000,UT
"Flaming Gorge",3191721,3788700,04/2000,UT
"Flaming Gorge",3191340,3788700,04/2000,UT
"Flaming Gorge",3192830,3788700,04/2000,UT
"Flaming Gorge",3193575,3788700,04/2000,UT
"Flaming Gorge",3193957,3788700,04/2000,UT
"Flaming Gorge",3193957,3788700,04/2000,UT
"Flaming Gorge",3194703,3788700,04/2000,UT
"Flaming Gorge",3195448,3788700,04/2000,UT
"Flaming Gorge",3195812,3788700,04/2000,UT
"Flaming Gorge",3195812,3788700,04/2000,UT
"Flaming Gorge",3195448,3788700,04/2000,UT
"Flaming Gorge",3195448,3788700,04/2000,UT
"Flaming Gorge",3196194,3788700,04/2000,UT
"Flaming Gorge",3197304,3788700,04/2000,UT
"Flaming Gorge",3196940,3788700,04/2000,UT
"Flaming Gorge",3196940,3788700,05/2000,UT
"Flaming Gorge",3196940,3788700,05/2000,UT
"Flaming Gorge",3196558,3788700,05/2000,UT
"Flaming Gorge",3197304,3788700,05/2000,UT
"Flaming Gorge",3198050,3788700,05/2000,UT
"Flaming Gorge",3196194,3788700,05/2000,UT
"Flaming Gorge",3197304,3788700,05/2000,UT
"Flaming Gorge",3197304,3788700,05/2000,UT
"Flaming Gorge",3196940,3788700,05/2000,UT
"Flaming Gorge",3198050,3788700,05/2000,UT
"Flaming Gorge",3197304,3788700,05/2000,UT
"Flaming Gorge",3197304,3788700,05/2000,UT
"Flaming Gorge",3196940,3788700,05/2000,UT
"Flaming Gorge",3196940,3788700,05/2000,UT
"Flaming Gorge",3196194,3788700,05/2000,UT
"Flaming Gorge",3195066,3788700,05/2000,UT
"Flaming Gorge",3193212,3788700,05/2000,UT
"Flaming Gorge",3189850,3788700,05/2000,UT
"Flaming Gorge",3187253,3788700,05/2000,UT
"Flaming Gorge",3184277,3788700,05/2000,UT
"Flaming Gorge",3181303,3788700,05/2000,UT
"Flaming Gorge",3177968,3788700,05/2000,UT
"Flaming Gorge",3172773,3788700,05/2000,UT
"Flaming Gorge",3166482,3788700,05/2000,UT
"Flaming Gorge",3162040,3788700,05/2000,UT
"Flaming Gorge",3157243,3788700,05/2000,UT
"Flaming Gorge",3151335,3788700,05/2000,UT
"Flaming Gorge",3145454,3788700,05/2000,UT
"Flaming Gorge",3141771,3788700,05/2000,UT
"Flaming Gorge",3135885,3788700,05/2000,UT
"Flaming Gorge",3129650,3788700,05/2000,UT
"Flaming Gorge",3124157,3788700,06/2000,UT
"Flaming Gorge",3118297,3788700,06/2000,UT
"Flaming Gorge",3113550,3788700,06/2000,UT
"Flaming Gorge",3107349,3788700,06/2000,UT
"Flaming Gorge",3101157,3788700,06/2000,UT
"Flaming Gorge",3096057,3788700,06/2000,UT
"Flaming Gorge",3091337,3788700,06/2000,UT
"Flaming Gorge",3088784,3788700,06/2000,UT
"Flaming Gorge",3086250,3788700,06/2000,UT
"Flaming Gorge",3084443,3788700,06/2000,UT
"Flaming Gorge",3082266,3788700,06/2000,UT
"Flaming Gorge",3081894,3788700,06/2000,UT
"Flaming Gorge",3080815,3788700,06/2000,UT
"Flaming Gorge",3080444,3788700,06/2000,UT
"Flaming Gorge",3080444,3788700,06/2000,UT
"Flaming Gorge",3079365,3788700,06/2000,UT
"Flaming Gorge",3078994,3788700,06/2000,UT
"Flaming Gorge",3078640,3788700,06/2000,UT
"Flaming Gorge",3079365,3788700,06/2000,UT
"Flaming Gorge",3081169,3788700,06/2000,UT
"Flaming Gorge",3081169,3788700,06/2000,UT
"Flaming Gorge",3081894,3788700,06/2000,UT
"Flaming Gorge",3083346,3788700,06/2000,UT
"Flaming Gorge",3082620,3788700,06/2000,UT
"Flaming Gorge",3082992,3788700,06/2000,UT
"Flaming Gorge",3084071,3788700,06/2000,UT
"Flaming Gorge",3083346,3788700,06/2000,UT
"Flaming Gorge",3084797,3788700,06/2000,UT
"Flaming Gorge",3084443,3788700,06/2000,UT
"Flaming Gorge",3084071,3788700,06/2000,UT
"Flaming Gorge",3084797,3788700,07/2000,UT
"Flaming Gorge",3084071,3788700,07/2000,UT
"Flaming Gorge",3083346,3788700,07/2000,UT
"Flaming Gorge",3082992,3788700,07/2000,UT
"Flaming Gorge",3082266,3788700,07/2000,UT
"Flaming Gorge",3082266,3788700,07/2000,UT
"Flaming Gorge",3081894,3788700,07/2000,UT
"Flaming Gorge",3081169,3788700,07/2000,UT
"Flaming Gorge",3080815,3788700,07/2000,UT
"Flaming Gorge",3081541,3788700,07/2000,UT
"Flaming Gorge",3082992,3788700,07/2000,UT
"Flaming Gorge",3082620,3788700,07/2000,UT
"Flaming Gorge",3081541,3788700,07/2000,UT
"Flaming Gorge",3080090,3788700,07/2000,UT
"Flaming Gorge",3078994,3788700,07/2000,UT
"Flaming Gorge",3077562,3788700,07/2000,UT
"Flaming Gorge",3075388,3788700,07/2000,UT
"Flaming Gorge",3073940,3788700,07/2000,UT
"Flaming Gorge",3073216,3788700,07/2000,UT
"Flaming Gorge",3072492,3788700,07/2000,UT
"Flaming Gorge",3071045,3788700,07/2000,UT
"Flaming Gorge",3069598,3788700,07/2000,UT
"Flaming Gorge",3067799,3788700,07/2000,UT
"Flaming Gorge",3066354,3788700,07/2000,UT
"Flaming Gorge",3064909,3788700,07/2000,UT
"Flaming Gorge",3063464,3788700,07/2000,UT
"Flaming Gorge",3061651,3788700,07/2000,UT
"Flaming Gorge",3060577,3788700,07/2000,UT
"Flaming Gorge",3059503,3788700,07/2000,UT
"Flaming Gorge",3058061,3788700,07/2000,UT
"Flaming Gorge",3056619,3788700,07/2000,UT
"Flaming Gorge",3055177,3788700,08/2000,UT
"Flaming Gorge",3053367,3788700,08/2000,UT
"Flaming Gorge",3053016,3788700,08/2000,UT
"Flaming Gorge",3052647,3788700,08/2000,UT
"Flaming Gorge",3051927,3788700,08/2000,UT
"Flaming Gorge",3050505,3788700,08/2000,UT
"Flaming Gorge",3048697,3788700,08/2000,UT
"Flaming Gorge",3046539,3788700,08/2000,UT
"Flaming Gorge",3046539,3788700,08/2000,UT
"Flaming Gorge",3045470,3788700,08/2000,UT
"Flaming Gorge",3044383,3788700,08/2000,UT
"Flaming Gorge",3042946,3788700,08/2000,UT
"Flaming Gorge",3042946,3788700,08/2000,UT
"Flaming Gorge",3042595,3788700,08/2000,UT
"Flaming Gorge",3041877,3788700,08/2000,UT
"Flaming Gorge",3040441,3788700,08/2000,UT
"Flaming Gorge",3039723,3788700,08/2000,UT
"Flaming Gorge",3039006,3788700,08/2000,UT
"Flaming Gorge",3037571,3788700,08/2000,UT
"Flaming Gorge",3036503,3788700,08/2000,UT
"Flaming Gorge",3035069,3788700,08/2000,UT
