reservoir,storage,capacity,date,state
"Huntington North",2511,5420,01/2000,UT
"Huntington North",2551,5420,01/2000,UT
"Huntington North",2574,5420,01/2000,UT
"Huntington North",2590,5420,01/2000,UT
"Huntington North",2623,5420,01/2000,UT
"Huntington North",2650,5420,01/2000,UT
"Huntington North",2658,5420,01/2000,UT
"Huntington North",2670,5420,01/2000,UT
"Huntington North",2689,5420,01/2000,UT
"Huntington North",2710,5420,01/2000,UT
"Huntington North",2737,5420,01/2000,UT
"Huntington North",2781,5420,01/2000,UT
"Huntington North",2818,5420,01/2000,UT
"Huntington North",2862,5420,01/2000,UT
"Huntington North",2903,5420,01/2000,UT
"Huntington North",2949,5420,01/2000,UT
"Huntington North",2994,5420,01/2000,UT
"Huntington North",3046,5420,01/2000,UT
"Huntington North",3093,5420,01/2000,UT
"Huntington North",3141,5420,01/2000,UT
"Huntington North",3187,5420,01/2000,UT
"Huntington North",3215,5420,01/2000,UT
"Huntington North",3240,5420,01/2000,UT
"Huntington North",3264,5420,01/2000,UT
"Huntington North",3297,5420,01/2000,UT
"Huntington North",3339,5420,01/2000,UT
"Huntington North",3373,5420,01/2000,UT
"Huntington North",3417,5420,01/2000,UT
"Huntington North",3446,5420,01/2000,UT
"Huntington North",3467,5420,01/2000,UT
"Huntington North",3505,5420,01/2000,UT
"Huntington North",3537,5420,02/2000,UT
"Huntington North",3580,5420,02/2000,UT
"Huntington North",3614,5420,02/2000,UT
"Huntington North",3651,5420,02/2000,UT
"Huntington North",3693,5420,02/2000,UT
"Huntington North",3725,5420,02/2000,UT
"Huntington North",3757,5420,02/2000,UT
"Huntington North",3781,5420,02/2000,UT
"Huntington North",3811,5420,02/2000,UT
"Huntington North",3846,5420,02/2000,UT
"Huntington North",3874,5420,02/2000,UT
"Huntington North",3898,5420,02/2000,UT
"Huntington North",3872,5420,02/2000,UT
"Huntington North",3844,5420,02/2000,UT
"Huntington North",3874,5420,02/2000,UT
"Huntington North",3917,5420,02/2000,UT
"Huntington North",3954,5420,02/2000,UT
"Huntington North",3992,5420,02/2000,UT
"Huntington North",4011,5420,02/2000,UT
"Huntington North",4037,5420,02/2000,UT
"Huntington North",4085,5420,02/2000,UT
"Huntington North",4121,5420,02/2000,UT
"Huntington North",4143,5420,02/2000,UT
"Huntington North",4164,5420,02/2000,UT
"Huntington North",4174,5420,02/2000,UT
"Huntington North",4174,5420,02/2000,UT
"Huntington North",4181,5420,02/2000,UT
"Huntington North",4191,5420,02/2000,UT
"Huntington North",4174,5420,02/2000,UT
"Huntington North",4169,5420,03/2000,UT
"Huntington North",4148,5420,03/2000,UT
"Huntington North",4136,5420,03/2000,UT
"Huntington North",4121,5420,03/2000,UT
"Huntington North",4126,5420,03/2000,UT
"Huntington North",4126,5420,03/2000,UT
"Huntington North",4114,5420,03/2000,UT
"Huntington North",4104,5420,03/2000,UT
"Huntington North",4095,5420,03/2000,UT
"Huntington North",4085,5420,03/2000,UT
"Huntington North",4069,5420,03/2000,UT
"Huntington North",4059,5420,03/2000,UT
"Huntington North",4042,5420,03/2000,UT
"Huntington North",4037,5420,03/2000,UT
"Huntington North",4049,5420,03/2000,UT
"Huntington North",4042,5420,03/2000,UT
"Huntington North",4052,5420,03/2000,UT
"Huntington North",4054,5420,03/2000,UT
"Huntington North",4064,5420,03/2000,UT
"Huntington North",4083,5420,03/2000,UT
"Huntington North",4069,5420,03/2000,UT
"Huntington North",4057,5420,03/2000,UT
"Huntington North",4059,5420,03/2000,UT
"Huntington North",4061,5420,03/2000,UT
"Huntington North",4061,5420,03/2000,UT
"Huntington North",4061,5420,03/2000,UT
"Huntington North",4064,5420,03/2000,UT
"Huntington North",4073,5420,03/2000,UT
"Huntington North",4078,5420,03/2000,UT
"Huntington North",4085,5420,03/2000,UT
"Huntington North",4078,5420,03/2000,UT
"Huntington North",4076,5420,04/2000,UT
"Huntington North",4076,5420,04/2000,UT
"Huntington North",4078,5420,04/2000,UT
"Huntington North",4080,5420,04/2000,UT
"Huntington North",4092,5420,04/2000,UT
"Huntington North",4095,5420,04/2000,UT
"Huntington North",4104,5420,04/2000,UT
"Huntington North",4107,5420,04/2000,UT
"Huntington North",4119,5420,04/2000,UT
"Huntington North",4121,5420,04/2000,UT
"Huntington North",4097,5420,04/2000,UT
"Huntington North",4191,5420,04/2000,UT
"Huntington North",4071,5420,04/2000,UT
"Huntington North",4172,5420,04/2000,UT
"Huntington North",4160,5420,04/2000,UT
"Huntington North",4138,5420,04/2000,UT
"Huntington North",4121,5420,04/2000,UT
"Huntington North",4126,5420,04/2000,UT
"Huntington North",4100,5420,04/2000,UT
"Huntington North",4073,5420,04/2000,UT
"Huntington North",4057,5420,04/2000,UT
"Huntington North",4049,5420,04/2000,UT
"Huntington North",4028,5420,04/2000,UT
"Huntington North",4011,5420,04/2000,UT
"Huntington North",3976,5420,04/2000,UT
"Huntington North",4157,5420,04/2000,UT
"Huntington North",4148,5420,04/2000,UT
"Huntington North",4184,5420,04/2000,UT
"Huntington North",3995,5420,04/2000,UT
"Huntington North",3971,5420,04/2000,UT
"Huntington North",3964,5420,05/2000,UT
"Huntington North",3985,5420,05/2000,UT
"Huntington North",4006,5420,05/2000,UT
"Huntington North",4040,5420,05/2000,UT
"Huntington North",4090,5420,05/2000,UT
"Huntington North",4095,5420,05/2000,UT
"Huntington North",4114,5420,05/2000,UT
"Huntington North",4145,5420,05/2000,UT
"Huntington North",4152,5420,05/2000,UT
"Huntington North",4121,5420,05/2000,UT
"Huntington North",4090,5420,05/2000,UT
"Huntington North",4021,5420,05/2000,UT
"Huntington North",3952,5420,05/2000,UT
"Huntington North",3881,5420,05/2000,UT
"Huntington North",3813,5420,05/2000,UT
"Huntington North",3762,5420,05/2000,UT
"Huntington North",3718,5420,05/2000,UT
"Huntington North",3676,5420,05/2000,UT
"Huntington North",3637,5420,05/2000,UT
"Huntington North",3603,5420,05/2000,UT
"Huntington North",3582,5420,05/2000,UT
"Huntington North",3573,5420,05/2000,UT
"Huntington North",3458,5420,05/2000,UT
"Huntington North",3474,5420,05/2000,UT
"Huntington North",3519,5420,05/2000,UT
"Huntington North",3557,5420,05/2000,UT
"Huntington North",3564,5420,05/2000,UT
"Huntington North",3564,5420,05/2000,UT
"Huntington North",3566,5420,05/2000,UT
"Huntington North",3665,5420,05/2000,UT
"Huntington North",3660,5420,05/2000,UT
"Huntington North",3683,5420,06/2000,UT
"Huntington North",3723,5420,06/2000,UT
"Huntington North",3746,5420,06/2000,UT
"Huntington North",3755,5420,06/2000,UT
"Huntington North",3764,5420,06/2000,UT
"Huntington North",3781,5420,06/2000,UT
"Huntington North",3804,5420,06/2000,UT
"Huntington North",3651,5420,06/2000,UT
"Huntington North",3769,5420,06/2000,UT
"Huntington North",3762,5420,06/2000,UT
"Huntington North",3755,5420,06/2000,UT
"Huntington North",3750,5420,06/2000,UT
"Huntington North",3753,5420,06/2000,UT
"Huntington North",3741,5420,06/2000,UT
"Huntington North",3737,5420,06/2000,UT
"Huntington North",3739,5420,06/2000,UT
"Huntington North",3727,5420,06/2000,UT
"Huntington North",3737,5420,06/2000,UT
"Huntington North",3637,5420,06/2000,UT
"Huntington North",3732,5420,06/2000,UT
"Huntington North",3730,5420,06/2000,UT
"Huntington North",3725,5420,06/2000,UT
"Huntington North",3732,5420,06/2000,UT
"Huntington North",3737,5420,06/2000,UT
"Huntington North",3734,5420,06/2000,UT
"Huntington North",3739,5420,06/2000,UT
"Huntington North",3734,5420,06/2000,UT
"Huntington North",3617,5420,06/2000,UT
"Huntington North",3582,5420,06/2000,UT
"Huntington North",3544,5420,06/2000,UT
"Huntington North",3516,5420,07/2000,UT
"Huntington North",3471,5420,07/2000,UT
"Huntington North",3437,5420,07/2000,UT
"Huntington North",3390,5420,07/2000,UT
"Huntington North",3339,5420,07/2000,UT
"Huntington North",3295,5420,07/2000,UT
"Huntington North",3242,5420,07/2000,UT
"Huntington North",3209,5420,07/2000,UT
"Huntington North",3165,5420,07/2000,UT
"Huntington North",3122,5420,07/2000,UT
"Huntington North",3070,5420,07/2000,UT
"Huntington North",3029,5420,07/2000,UT
"Huntington North",2981,5420,07/2000,UT
"Huntington North",2939,5420,07/2000,UT
"Huntington North",2901,5420,07/2000,UT
"Huntington North",2856,5420,07/2000,UT
"Huntington North",2808,5420,07/2000,UT
"Huntington North",2762,5420,07/2000,UT
"Huntington North",2714,5420,07/2000,UT
"Huntington North",2664,5420,07/2000,UT
"Huntington North",2619,5420,07/2000,UT
"Huntington North",2568,5420,07/2000,UT
"Huntington North",2525,5420,07/2000,UT
"Huntington North",2478,5420,07/2000,UT
"Huntington North",2432,5420,07/2000,UT
"Huntington North",2376,5420,07/2000,UT
"Huntington North",2327,5420,07/2000,UT
"Huntington North",2275,5420,07/2000,UT
"Huntington North",2225,5420,07/2000,UT
"Huntington North",2176,5420,07/2000,UT
"Huntington North",2121,5420,07/2000,UT
"Huntington North",2075,5420,08/2000,UT
"Huntington North",2030,5420,08/2000,UT
"Huntington North",1983,5420,08/2000,UT
"Huntington North",1940,5420,08/2000,UT
"Huntington North",1889,5420,08/2000,UT
"Huntington North",1838,5420,08/2000,UT
"Huntington North",1789,5420,08/2000,UT
"Huntington North",1748,5420,08/2000,UT
"Huntington North",1705,5420,08/2000,UT
"Huntington North",1652,5420,08/2000,UT
"Huntington North",1597,5420,08/2000,UT
"Huntington North",1543,5420,08/2000,UT
"Huntington North",1494,5420,08/2000,UT
"Huntington North",1440,5420,08/2000,UT
"Huntington North",1387,5420,08/2000,UT
"Huntington North",1336,5420,08/2000,UT
"Huntington North",1291,5420,08/2000,UT
"Huntington North",1241,5420,08/2000,UT
"Huntington North",1193,5420,08/2000,UT
"Huntington North",1146,5420,08/2000,UT
"Huntington North",1099,5420,08/2000,UT
"Huntington North",1056,5420,08/2000,UT
"Huntington North",1010,5420,08/2000,UT
"Huntington North",976,5420,08/2000,UT
"Huntington North",936,5420,08/2000,UT
"Huntington North",899,5420,08/2000,UT
"Huntington North",859,5420,08/2000,UT
"Huntington North",817,5420,08/2000,UT
"Huntington North",787,5420,08/2000,UT
"Huntington North",776,5420,08/2000,UT
"Huntington North",774,5420,08/2000,UT
"Huntington North",776,5420,09/2000,UT
"Huntington North",774,5420,09/2000,UT
"Huntington North",774,5420,09/2000,UT
"Huntington North",774,5420,09/2000,UT
"Huntington North",771,5420,09/2000,UT
"Huntington North",774,5420,09/2000,UT
"Huntington North",773,5420,09/2000,UT
"Huntington North",776,5420,09/2000,UT
"Huntington North",774,5420,09/2000,UT
"Huntington North",773,5420,09/2000,UT
"Huntington North",774,5420,09/2000,UT
"Huntington North",771,5420,09/2000,UT
"Huntington North",771,5420,09/2000,UT
"Huntington North",771,5420,09/2000,UT
"Huntington North",771,5420,09/2000,UT
"Huntington North",771,5420,09/2000,UT
"Huntington North",774,5420,09/2000,UT
"Huntington North",773,5420,09/2000,UT
"Huntington North",774,5420,09/2000,UT
"Huntington North",774,5420,09/2000,UT
"Huntington North",778,5420,09/2000,UT
