reservoir,storage,capacity,date,state
"Red Fleet",20374,26000,01/2000,UT
"Red Fleet",20369,26000,01/2000,UT
"Red Fleet",20365,26000,01/2000,UT
"Red Fleet",20360,26000,01/2000,UT
"Red Fleet",20356,26000,01/2000,UT
"Red Fleet",20351,26000,01/2000,UT
"Red Fleet",20351,26000,01/2000,UT
"Red Fleet",20347,26000,01/2000,UT
"Red Fleet",20342,26000,01/2000,UT
"Red Fleet",20342,26000,01/2000,UT
"Red Fleet",20338,26000,01/2000,UT
"Red Fleet",20338,26000,01/2000,UT
"Red Fleet",20333,26000,01/2000,UT
"Red Fleet",20333,26000,01/2000,UT
"Red Fleet",20333,26000,01/2000,UT
"Red Fleet",20338,26000,01/2000,UT
"Red Fleet",20338,26000,01/2000,UT
"Red Fleet",20342,26000,01/2000,UT
"Red Fleet",20342,26000,01/2000,UT
"Red Fleet",20342,26000,01/2000,UT
"Red Fleet",20338,26000,01/2000,UT
"Red Fleet",20338,26000,01/2000,UT
"Red Fleet",20338,26000,01/2000,UT
"Red Fleet",20333,26000,01/2000,UT
"Red Fleet",20333,26000,01/2000,UT
"Red Fleet",20333,26000,01/2000,UT
"Red Fleet",20333,26000,01/2000,UT
"Red Fleet",20338,26000,01/2000,UT
"Red Fleet",20338,26000,01/2000,UT
"Red Fleet",20338,26000,01/2000,UT
"Red Fleet",20338,26000,01/2000,UT
"Red Fleet",20338,26000,02/2000,UT
"Red Fleet",20333,26000,02/2000,UT
"Red Fleet",20333,26000,02/2000,UT
"Red Fleet",20329,26000,02/2000,UT
"Red Fleet",20329,26000,02/2000,UT
"Red Fleet",20324,26000,02/2000,UT
"Red Fleet",20324,26000,02/2000,UT
"Red Fleet",20320,26000,02/2000,UT
"Red Fleet",20315,26000,02/2000,UT
"Red Fleet",20311,26000,02/2000,UT
"Red Fleet",20306,26000,02/2000,UT
"Red Fleet",20306,26000,02/2000,UT
"Red Fleet",20302,26000,02/2000,UT
"Red Fleet",20298,26000,02/2000,UT
"Red Fleet",20293,26000,02/2000,UT
"Red Fleet",20289,26000,02/2000,UT
"Red Fleet",20293,26000,02/2000,UT
"Red Fleet",20293,26000,02/2000,UT
"Red Fleet",20293,26000,02/2000,UT
"Red Fleet",20298,26000,02/2000,UT
"Red Fleet",20298,26000,02/2000,UT
"Red Fleet",20298,26000,02/2000,UT
"Red Fleet",20302,26000,02/2000,UT
"Red Fleet",20302,26000,02/2000,UT
"Red Fleet",20302,26000,02/2000,UT
"Red Fleet",20306,26000,02/2000,UT
"Red Fleet",20306,26000,02/2000,UT
"Red Fleet",20311,26000,02/2000,UT
"Red Fleet",20315,26000,02/2000,UT
"Red Fleet",20315,26000,03/2000,UT
"Red Fleet",20311,26000,03/2000,UT
"Red Fleet",20311,26000,03/2000,UT
"Red Fleet",20306,26000,03/2000,UT
"Red Fleet",20302,26000,03/2000,UT
"Red Fleet",20302,26000,03/2000,UT
"Red Fleet",20298,26000,03/2000,UT
"Red Fleet",20293,26000,03/2000,UT
"Red Fleet",20289,26000,03/2000,UT
"Red Fleet",20289,26000,03/2000,UT
"Red Fleet",20284,26000,03/2000,UT
"Red Fleet",20280,26000,03/2000,UT
"Red Fleet",20275,26000,03/2000,UT
"Red Fleet",20271,26000,03/2000,UT
"Red Fleet",20266,26000,03/2000,UT
"Red Fleet",20266,26000,03/2000,UT
"Red Fleet",20262,26000,03/2000,UT
"Red Fleet",20257,26000,03/2000,UT
"Red Fleet",20253,26000,03/2000,UT
"Red Fleet",20248,26000,03/2000,UT
"Red Fleet",20244,26000,03/2000,UT
"Red Fleet",20244,26000,03/2000,UT
"Red Fleet",20239,26000,03/2000,UT
"Red Fleet",20235,26000,03/2000,UT
"Red Fleet",20230,26000,03/2000,UT
"Red Fleet",20230,26000,03/2000,UT
"Red Fleet",20226,26000,03/2000,UT
"Red Fleet",20213,26000,03/2000,UT
"Red Fleet",20199,26000,03/2000,UT
"Red Fleet",20186,26000,03/2000,UT
"Red Fleet",20177,26000,03/2000,UT
"Red Fleet",20177,26000,04/2000,UT
"Red Fleet",20177,26000,04/2000,UT
"Red Fleet",20168,26000,04/2000,UT
"Red Fleet",20164,26000,04/2000,UT
"Red Fleet",20173,26000,04/2000,UT
"Red Fleet",20181,26000,04/2000,UT
"Red Fleet",20186,26000,04/2000,UT
"Red Fleet",20164,26000,04/2000,UT
"Red Fleet",20141,26000,04/2000,UT
"Red Fleet",20124,26000,04/2000,UT
"Red Fleet",20119,26000,04/2000,UT
"Red Fleet",20124,26000,04/2000,UT
"Red Fleet",20124,26000,04/2000,UT
"Red Fleet",20124,26000,04/2000,UT
"Red Fleet",20119,26000,04/2000,UT
"Red Fleet",20110,26000,04/2000,UT
"Red Fleet",20101,26000,04/2000,UT
"Red Fleet",20092,26000,04/2000,UT
"Red Fleet",20083,26000,04/2000,UT
"Red Fleet",20075,26000,04/2000,UT
"Red Fleet",20079,26000,04/2000,UT
"Red Fleet",20097,26000,04/2000,UT
"Red Fleet",20115,26000,04/2000,UT
"Red Fleet",20159,26000,04/2000,UT
"Red Fleet",20173,26000,04/2000,UT
"Red Fleet",20226,26000,04/2000,UT
"Red Fleet",20289,26000,04/2000,UT
"Red Fleet",20517,26000,04/2000,UT
"Red Fleet",20712,26000,04/2000,UT
"Red Fleet",21003,26000,04/2000,UT
"Red Fleet",21264,26000,05/2000,UT
"Red Fleet",21541,26000,05/2000,UT
"Red Fleet",21854,26000,05/2000,UT
"Red Fleet",22168,26000,05/2000,UT
"Red Fleet",22491,26000,05/2000,UT
"Red Fleet",22811,26000,05/2000,UT
"Red Fleet",23072,26000,05/2000,UT
"Red Fleet",23334,26000,05/2000,UT
"Red Fleet",23602,26000,05/2000,UT
"Red Fleet",23878,26000,05/2000,UT
"Red Fleet",24111,26000,05/2000,UT
"Red Fleet",24350,26000,05/2000,UT
"Red Fleet",24600,26000,05/2000,UT
"Red Fleet",24888,26000,05/2000,UT
"Red Fleet",25133,26000,05/2000,UT
"Red Fleet",25271,26000,05/2000,UT
"Red Fleet",25399,26000,05/2000,UT
"Red Fleet",25507,26000,05/2000,UT
"Red Fleet",25610,26000,05/2000,UT
"Red Fleet",25678,26000,05/2000,UT
"Red Fleet",25750,26000,05/2000,UT
"Red Fleet",25823,26000,05/2000,UT
"Red Fleet",25896,26000,05/2000,UT
"Red Fleet",25969,26000,05/2000,UT
"Red Fleet",25989,26000,05/2000,UT
"Red Fleet",25995,26000,05/2000,UT
"Red Fleet",26021,26000,05/2000,UT
"Red Fleet",26031,26000,05/2000,UT
"Red Fleet",25995,26000,05/2000,UT
"Red Fleet",26005,26000,05/2000,UT
"Red Fleet",25979,26000,05/2000,UT
"Red Fleet",25906,26000,06/2000,UT
"Red Fleet",25927,26000,06/2000,UT
"Red Fleet",25948,26000,06/2000,UT
"Red Fleet",25969,26000,06/2000,UT
"Red Fleet",25995,26000,06/2000,UT
"Red Fleet",25984,26000,06/2000,UT
"Red Fleet",25953,26000,06/2000,UT
"Red Fleet",25917,26000,06/2000,UT
"Red Fleet",25870,26000,06/2000,UT
"Red Fleet",25781,26000,06/2000,UT
"Red Fleet",25729,26000,06/2000,UT
"Red Fleet",25672,26000,06/2000,UT
"Red Fleet",25600,26000,06/2000,UT
"Red Fleet",25512,26000,06/2000,UT
"Red Fleet",25445,26000,06/2000,UT
"Red Fleet",25327,26000,06/2000,UT
"Red Fleet",25199,26000,06/2000,UT
"Red Fleet",25117,26000,06/2000,UT
"Red Fleet",25020,26000,06/2000,UT
"Red Fleet",24929,26000,06/2000,UT
"Red Fleet",24848,26000,06/2000,UT
"Red Fleet",24762,26000,06/2000,UT
"Red Fleet",24681,26000,06/2000,UT
"Red Fleet",24600,26000,06/2000,UT
"Red Fleet",24505,26000,06/2000,UT
"Red Fleet",24395,26000,06/2000,UT
"Red Fleet",24325,26000,06/2000,UT
"Red Fleet",24295,26000,06/2000,UT
"Red Fleet",24265,26000,06/2000,UT
"Red Fleet",24225,26000,06/2000,UT
"Red Fleet",24180,26000,07/2000,UT
"Red Fleet",24126,26000,07/2000,UT
"Red Fleet",24076,26000,07/2000,UT
"Red Fleet",24026,26000,07/2000,UT
"Red Fleet",23972,26000,07/2000,UT
"Red Fleet",23918,26000,07/2000,UT
"Red Fleet",23868,26000,07/2000,UT
"Red Fleet",23819,26000,07/2000,UT
"Red Fleet",23769,26000,07/2000,UT
"Red Fleet",23715,26000,07/2000,UT
"Red Fleet",23681,26000,07/2000,UT
"Red Fleet",23656,26000,07/2000,UT
"Red Fleet",23632,26000,07/2000,UT
"Red Fleet",23602,26000,07/2000,UT
"Red Fleet",23578,26000,07/2000,UT
"Red Fleet",23534,26000,07/2000,UT
"Red Fleet",23475,26000,07/2000,UT
"Red Fleet",23412,26000,07/2000,UT
"Red Fleet",23372,26000,07/2000,UT
"Red Fleet",23329,26000,07/2000,UT
"Red Fleet",23285,26000,07/2000,UT
"Red Fleet",23222,26000,07/2000,UT
"Red Fleet",23168,26000,07/2000,UT
"Red Fleet",23110,26000,07/2000,UT
"Red Fleet",23038,26000,07/2000,UT
"Red Fleet",22980,26000,07/2000,UT
"Red Fleet",22888,26000,07/2000,UT
"Red Fleet",22806,26000,07/2000,UT
"Red Fleet",22720,26000,07/2000,UT
"Red Fleet",22629,26000,07/2000,UT
"Red Fleet",22538,26000,07/2000,UT
"Red Fleet",22448,26000,08/2000,UT
"Red Fleet",22339,26000,08/2000,UT
"Red Fleet",22258,26000,08/2000,UT
"Red Fleet",22159,26000,08/2000,UT
"Red Fleet",22055,26000,08/2000,UT
"Red Fleet",21947,26000,08/2000,UT
"Red Fleet",21858,26000,08/2000,UT
"Red Fleet",21751,26000,08/2000,UT
"Red Fleet",21644,26000,08/2000,UT
"Red Fleet",21537,26000,08/2000,UT
"Red Fleet",21393,26000,08/2000,UT
"Red Fleet",21259,26000,08/2000,UT
"Red Fleet",21117,26000,08/2000,UT
"Red Fleet",20980,26000,08/2000,UT
"Red Fleet",20857,26000,08/2000,UT
"Red Fleet",20739,26000,08/2000,UT
"Red Fleet",20603,26000,08/2000,UT
"Red Fleet",20463,26000,08/2000,UT
"Red Fleet",20324,26000,08/2000,UT
"Red Fleet",20204,26000,08/2000,UT
"Red Fleet",20079,26000,08/2000,UT
"Red Fleet",19942,26000,08/2000,UT
"Red Fleet",19796,26000,08/2000,UT
"Red Fleet",19668,26000,08/2000,UT
"Red Fleet",19555,26000,08/2000,UT
"Red Fleet",19441,26000,08/2000,UT
"Red Fleet",19324,26000,08/2000,UT
"Red Fleet",19202,26000,08/2000,UT
"Red Fleet",19086,26000,08/2000,UT
"Red Fleet",18974,26000,08/2000,UT
"Red Fleet",18863,26000,08/2000,UT
"Red Fleet",18752,26000,09/2000,UT
"Red Fleet",18641,26000,09/2000,UT
"Red Fleet",18544,26000,09/2000,UT
"Red Fleet",18438,26000,09/2000,UT
"Red Fleet",18341,26000,09/2000,UT
"Red Fleet",18245,26000,09/2000,UT
"Red Fleet",18140,26000,09/2000,UT
"Red Fleet",18061,26000,09/2000,UT
"Red Fleet",17970,26000,09/2000,UT
"Red Fleet",17883,26000,09/2000,UT
"Red Fleet",17796,26000,09/2000,UT
"Red Fleet",17709,26000,09/2000,UT
"Red Fleet",17635,26000,09/2000,UT
"Red Fleet",17558,26000,09/2000,UT
"Red Fleet",17480,26000,09/2000,UT
"Red Fleet",17411,26000,09/2000,UT
"Red Fleet",17337,26000,09/2000,UT
"Red Fleet",17260,26000,09/2000,UT
"Red Fleet",17184,26000,09/2000,UT
"Red Fleet",17091,26000,09/2000,UT
"Red Fleet",17015,26000,09/2000,UT
"Red Fleet",16963,26000,09/2000,UT
"Red Fleet",16931,26000,09/2000,UT
"Red Fleet",16906,26000,09/2000,UT
"Red Fleet",16898,26000,09/2000,UT
"Red Fleet",16890,26000,09/2000,UT
"Red Fleet",16882,26000,09/2000,UT
"Red Fleet",16918,26000,09/2000,UT
"Red Fleet",16914,26000,09/2000,UT
"Red Fleet",16874,26000,09/2000,UT
"Red Fleet",16851.06,26000,10/2000,UT
"Red Fleet",16846.96,26000,10/2000,UT
"Red Fleet",16838.95,26000,10/2000,UT
"Red Fleet",16830.95,26000,10/2000,UT
"Red Fleet",16819.03,26000,10/2000,UT
"Red Fleet",16814.93,26000,10/2000,UT
"Red Fleet",16811.02,26000,10/2000,UT
"Red Fleet",16806.92,26000,10/2000,UT
"Red Fleet",16806.92,26000,10/2000,UT
"Red Fleet",16803.02,26000,10/2000,UT
"Red Fleet",16827.04,26000,10/2000,UT
"Red Fleet",16875.09,26000,10/2000,UT
"Red Fleet",16883.09,26000,10/2000,UT
"Red Fleet",16890.91,26000,10/2000,UT
"Red Fleet",16898.91,26000,10/2000,UT
"Red Fleet",16898.91,26000,10/2000,UT
"Red Fleet",16903.02,26000,10/2000,UT
"Red Fleet",16914.93,26000,10/2000,UT
"Red Fleet",16935.05,26000,10/2000,UT
"Red Fleet",16967.08,26000,10/2000,UT
"Red Fleet",16987,26000,10/2000,UT
"Red Fleet",17035.05,26000,10/2000,UT
"Red Fleet",17038.95,26000,10/2000,UT
"Red Fleet",17067.08,26000,10/2000,UT
"Red Fleet",17078.99,26000,10/2000,UT
"Red Fleet",17127.54,26000,10/2000,UT
"Red Fleet",17159.97,26000,10/2000,UT
"Red Fleet",17192.21,26000,10/2000,UT
"Red Fleet",17224.64,26000,10/2000,UT
"Red Fleet",17257.07,26000,10/2000,UT
"Red Fleet",17285.54,26000,10/2000,UT
"Red Fleet",17330.04,26000,11/2000,UT
"Red Fleet",17358.32,26000,11/2000,UT
"Red Fleet",17382.64,26000,11/2000,UT
"Red Fleet",17374.54,26000,11/2000,UT
"Red Fleet",17402.81,26000,11/2000,UT
"Red Fleet",17419.03,26000,11/2000,UT
"Red Fleet",17439.4,26000,11/2000,UT
"Red Fleet",17463.72,26000,11/2000,UT
"Red Fleet",17492,26000,11/2000,UT
"Red Fleet",17524.91,26000,11/2000,UT
"Red Fleet",17549.6,26000,11/2000,UT
"Red Fleet",17570.07,26000,11/2000,UT
"Red Fleet",17594.75,26000,11/2000,UT
"Red Fleet",17615.22,26000,11/2000,UT
"Red Fleet",17635.89,26000,11/2000,UT
"Red Fleet",17656.36,26000,11/2000,UT
"Red Fleet",17677.03,26000,11/2000,UT
"Red Fleet",17693.49,26000,11/2000,UT
"Red Fleet",17717.97,26000,11/2000,UT
"Red Fleet",17738.64,26000,11/2000,UT
"Red Fleet",17759.11,26000,11/2000,UT
"Red Fleet",17779.78,26000,11/2000,UT
"Red Fleet",17800.25,26000,11/2000,UT
"Red Fleet",17820.72,26000,11/2000,UT
"Red Fleet",17841.39,26000,11/2000,UT
"Red Fleet",17853.63,26000,11/2000,UT
"Red Fleet",17874.3,26000,11/2000,UT
"Red Fleet",17894.77,26000,11/2000,UT
"Red Fleet",17911.35,26000,11/2000,UT
"Red Fleet",17928.04,26000,11/2000,UT
"Red Fleet",17948.81,26000,12/2000,UT
"Red Fleet",17965.51,26000,12/2000,UT
"Red Fleet",17982.21,26000,12/2000,UT
"Red Fleet",17998.9,26000,12/2000,UT
"Red Fleet",18011.32,26000,12/2000,UT
"Red Fleet",18028.02,26000,12/2000,UT
"Red Fleet",18053.06,26000,12/2000,UT
"Red Fleet",18074.04,26000,12/2000,UT
