reservoir,storage,capacity,pct_capacity,date,state
Narraguinnep,17105,19000,90,01/2000,CO
Narraguinnep,17398,19000,91.6,02/2000,CO
Narraguinnep,17673,19000,93,03/2000,CO
Narraguinnep,17966,19000,94.6,04/2000,CO
Narraguinnep,17685,19000,93.1,05/2000,CO
Narraguinnep,18700,19000,98.4,06/2000,CO
Narraguinnep,18543,19000,97.6,07/2000,CO
Narraguinnep,16584,19000,87.3,08/2000,CO
Narraguinnep,14886,19000,78.3,09/2000,CO
Narraguinnep,13155,19000,69.2,10/2000,CO
Narraguinnep,17254,19000,90.8,11/2000,CO
Narraguinnep,16976,19000,89.3,12/2000,CO
Narraguinnep,16976,19000,89.3,01/2001,CO
Narraguinnep,16976,19000,89.3,02/2001,CO
Narraguinnep,16976,19000,89.3,03/2001,CO
Narraguinnep,16976,19000,89.3,04/2001,CO
Narraguinnep,16546,19000,87.1,05/2001,CO
Narraguinnep,18241,19000,96,06/2001,CO
Narraguinnep,18529,19000,97.5,07/2001,CO
Narraguinnep,18057,19000,95,08/2001,CO
Narraguinnep,16780,19000,88.3,09/2001,CO
Narraguinnep,12829,19000,67.5,10/2001,CO
Narraguinnep,18156,19000,95.6,11/2001,CO
Narraguinnep,18004,19000,94.8,12/2001,CO
Narraguinnep,17842,19000,93.9,01/2002,CO
Narraguinnep,17731,19000,93.3,02/2002,CO
Narraguinnep,17680,19000,93.1,03/2002,CO
Narraguinnep,17561,19000,92.4,04/2002,CO
Narraguinnep,16946,19000,89.2,05/2002,CO
Narraguinnep,12205,19000,64.2,06/2002,CO
Narraguinnep,10854,19000,57.1,07/2002,CO
Narraguinnep,5366,19000,28.2,08/2002,CO
Narraguinnep,2705,19000,14.2,09/2002,CO
Narraguinnep,3599,19000,18.9,10/2002,CO
Narraguinnep,5190,19000,27.3,11/2002,CO
Narraguinnep,6581,19000,34.6,12/2002,CO
Narraguinnep,7835,19000,41.2,01/2003,CO
Narraguinnep,7849,19000,41.3,02/2003,CO
Narraguinnep,7862,19000,41.4,03/2003,CO
Narraguinnep,9749,19000,51.3,04/2003,CO
Narraguinnep,17254,19000,90.8,05/2003,CO
Narraguinnep,18729,19000,98.6,06/2003,CO
Narraguinnep,16155,19000,85,07/2003,CO
Narraguinnep,7972,19000,42,08/2003,CO
Narraguinnep,3045,19000,16,09/2003,CO
Narraguinnep,2569,19000,13.5,10/2003,CO
Narraguinnep,2588,19000,13.6,11/2003,CO
Narraguinnep,5452,19000,28.7,12/2003,CO
Narraguinnep,8195,19000,43.1,01/2004,CO
Narraguinnep,11777,19000,62,02/2004,CO
Narraguinnep,14993,19000,78.9,03/2004,CO
Narraguinnep,18042,19000,95,04/2004,CO
Narraguinnep,18556,19000,97.7,05/2004,CO
Narraguinnep,13048,19000,68.7,06/2004,CO
Narraguinnep,10954,19000,57.7,07/2004,CO
Narraguinnep,7580,19000,39.9,08/2004,CO
Narraguinnep,4261,19000,22.4,09/2004,CO
Narraguinnep,4287,19000,22.6,10/2004,CO
Narraguinnep,3779,19000,19.9,11/2004,CO
Narraguinnep,9743,19000,51.3,12/2004,CO
Narraguinnep,13810,19000,72.7,01/2005,CO
Narraguinnep,18415,19000,96.9,02/2005,CO
Narraguinnep,18603,19000,97.9,03/2005,CO
Narraguinnep,18960,19000,99.8,04/2005,CO
Narraguinnep,18707,19000,98.5,05/2005,CO
Narraguinnep,17898,19000,94.2,06/2005,CO
Narraguinnep,18902,19000,99.5,07/2005,CO
Narraguinnep,13488,19000,71,08/2005,CO
Narraguinnep,7209,19000,37.9,09/2005,CO
Narraguinnep,4884,19000,25.7,10/2005,CO
Narraguinnep,3850,19000,20.3,11/2005,CO
Narraguinnep,7190,19000,37.8,12/2005,CO
Narraguinnep,10800,19000,56.8,01/2006,CO
Narraguinnep,12300,19000,64.7,02/2006,CO
Narraguinnep,14067,19000,74,03/2006,CO
Narraguinnep,14600,19000,76.8,04/2006,CO
Narraguinnep,17478,19000,92,05/2006,CO
Narraguinnep,18672,19000,98.3,06/2006,CO
Narraguinnep,18326,19000,96.5,07/2006,CO
Narraguinnep,10868,19000,57.2,08/2006,CO
Narraguinnep,7730,19000,40.7,09/2006,CO
Narraguinnep,6100,19000,32.1,10/2006,CO
Narraguinnep,6149,19000,32.4,11/2006,CO
Narraguinnep,17534,19000,92.3,12/2006,CO
Narraguinnep,17800,19000,93.7,01/2007,CO
Narraguinnep,19000,19000,100,02/2007,CO
Narraguinnep,19000,19000,100,03/2007,CO
Narraguinnep,18700,19000,98.4,04/2007,CO
Narraguinnep,17647,19000,92.9,05/2007,CO
Narraguinnep,18700,19000,98.4,06/2007,CO
Narraguinnep,19000,19000,100,07/2007,CO
Narraguinnep,13321,19000,70.1,08/2007,CO
Narraguinnep,9000,19000,47.4,09/2007,CO
Narraguinnep,5300,19000,27.9,10/2007,CO
Narraguinnep,6301,19000,33.2,11/2007,CO
Narraguinnep,9075,19000,47.8,12/2007,CO
Narraguinnep,12400,19000,65.3,01/2008,CO
Narraguinnep,15100,19000,79.5,02/2008,CO
Narraguinnep,17800,19000,93.7,03/2008,CO
Narraguinnep,17900,19000,94.2,04/2008,CO
Narraguinnep,18672,19000,98.3,05/2008,CO
Narraguinnep,17800,19000,93.7,06/2008,CO
Narraguinnep,18845,19000,99.2,07/2008,CO
Narraguinnep,15900,19000,83.7,08/2008,CO
Narraguinnep,9700,19000,51.1,09/2008,CO
Narraguinnep,4542,19000,23.9,10/2008,CO
Narraguinnep,3611,19000,19,11/2008,CO
Narraguinnep,6300,19000,33.2,12/2008,CO
Narraguinnep,10353,19000,54.5,01/2009,CO
Narraguinnep,13600,19000,71.6,02/2009,CO
Narraguinnep,16590,19000,87.3,03/2009,CO
Narraguinnep,18700,19000,98.4,04/2009,CO
Narraguinnep,17800,19000,93.7,05/2009,CO
Narraguinnep,16100,19000,84.7,06/2009,CO
Narraguinnep,18729,19000,98.6,07/2009,CO
Narraguinnep,15516,19000,81.7,08/2009,CO
Narraguinnep,9500,19000,50,09/2009,CO
Narraguinnep,4312,19000,22.7,10/2009,CO
Narraguinnep,3900,19000,20.5,11/2009,CO
Narraguinnep,7126,19000,37.5,12/2009,CO
Narraguinnep,10700,19000,56.3,01/2010,CO
Narraguinnep,10700,19000,56.3,02/2010,CO
Narraguinnep,13300,19000,70,03/2010,CO
Narraguinnep,17800,19000,93.7,04/2010,CO
Narraguinnep,18800,19000,98.9,05/2010,CO
Narraguinnep,17400,19000,91.6,06/2010,CO
Narraguinnep,17200,19000,90.5,07/2010,CO
Narraguinnep,13918,19000,73.3,08/2010,CO
Narraguinnep,10825,19000,57,09/2010,CO
Narraguinnep,7028,19000,37,10/2010,CO
Narraguinnep,7054,19000,37.1,11/2010,CO
Narraguinnep,9502,19000,50,12/2010,CO
Narraguinnep,13000,19000,68.4,01/2011,CO
Narraguinnep,16976,19000,89.3,02/2011,CO
Narraguinnep,17600,19000,92.6,03/2011,CO
Narraguinnep,18902,19000,99.5,04/2011,CO
Narraguinnep,18200,19000,95.8,05/2011,CO
Narraguinnep,18400,19000,96.8,06/2011,CO
Narraguinnep,18385,19000,96.8,07/2011,CO
Narraguinnep,16300,19000,85.8,08/2011,CO
Narraguinnep,8476,19000,44.6,09/2011,CO
Narraguinnep,4262,19000,22.4,10/2011,CO
Narraguinnep,6803,19000,35.8,11/2011,CO
Narraguinnep,10100,19000,53.2,12/2011,CO
Narraguinnep,12883,19000,67.8,01/2012,CO
Narraguinnep,14800,19000,77.9,02/2012,CO
Narraguinnep,16427,19000,86.5,03/2012,CO
Narraguinnep,19000,19000,100,04/2012,CO
Narraguinnep,17278,19000,90.9,05/2012,CO
Narraguinnep,13569,19000,71.4,06/2012,CO
Narraguinnep,9620,19000,50.6,07/2012,CO
Narraguinnep,5299,19000,27.9,08/2012,CO
Narraguinnep,1264,19000,6.7,09/2012,CO
Narraguinnep,1139,19000,6,10/2012,CO
Narraguinnep,1304,19000,6.9,11/2012,CO
Narraguinnep,2300,19000,12.1,12/2012,CO
Narraguinnep,3200,19000,16.8,01/2013,CO
Narraguinnep,5716,19000,30.1,02/2013,CO
Narraguinnep,7854,19000,41.3,03/2013,CO
Narraguinnep,9900,19000,52.1,04/2013,CO
Narraguinnep,18960,19000,99.8,05/2013,CO
Narraguinnep,9300,19000,48.9,06/2013,CO
Narraguinnep,7100,19000,37.4,07/2013,CO
Narraguinnep,2986,19000,15.7,08/2013,CO
Narraguinnep,1300,19000,6.8,09/2013,CO
Narraguinnep,2000,19000,10.5,10/2013,CO
Narraguinnep,13718,19000,72.2,11/2013,CO
Narraguinnep,13629,19000,71.7,12/2013,CO
Narraguinnep,13600,19000,71.6,01/2014,CO
Narraguinnep,13371,19000,70.4,02/2014,CO
Narraguinnep,13600,19000,71.6,03/2014,CO
Narraguinnep,13224,19000,69.6,04/2014,CO
