reservoir,storage,capacity,pct_capacity,date,state
"Lake Coeur d'Alene",112300,238500,47.1,01/2000,ID
"Lake Coeur d'Alene",66100,238500,27.7,02/2000,ID
"Lake Coeur d'Alene",126200,238500,52.9,03/2000,ID
"Lake Coeur d'Alene",172600,238500,72.4,04/2000,ID
"Lake Coeur d'Alene",335500,238500,140.7,05/2000,ID
"Lake Coeur d'Alene",215400,238500,90.3,06/2000,ID
"Lake Coeur d'Alene",233200,238500,97.8,07/2000,ID
"Lake Coeur d'Alene",235100,238500,98.6,08/2000,ID
"Lake Coeur d'Alene",234700,238500,98.4,09/2000,ID
"Lake Coeur d'Alene",196800,238500,82.5,10/2000,ID
"Lake Coeur d'Alene",127800,238500,53.6,11/2000,ID
"Lake Coeur d'Alene",70200,238500,29.4,12/2000,ID
"Lake Coeur d'Alene",28200,238500,11.8,01/2001,ID
"Lake Coeur d'Alene",28400,238500,11.9,02/2001,ID
"Lake Coeur d'Alene",26500,238500,11.1,03/2001,ID
"Lake Coeur d'Alene",119400,238500,50.1,04/2001,ID
"Lake Coeur d'Alene",210700,238500,88.3,05/2001,ID
"Lake Coeur d'Alene",229500,238500,96.2,06/2001,ID
"Lake Coeur d'Alene",235100,238500,98.6,07/2001,ID
"Lake Coeur d'Alene",236100,238500,99,08/2001,ID
"Lake Coeur d'Alene",233700,238500,98,09/2001,ID
"Lake Coeur d'Alene",194200,238500,81.4,10/2001,ID
"Lake Coeur d'Alene",146700,238500,61.5,11/2001,ID
"Lake Coeur d'Alene",141000,238500,59.1,12/2001,ID
"Lake Coeur d'Alene",64800,238500,27.2,01/2002,ID
"Lake Coeur d'Alene",115600,238500,48.5,02/2002,ID
"Lake Coeur d'Alene",134700,238500,56.5,03/2002,ID
"Lake Coeur d'Alene",143700,238500,60.3,04/2002,ID
"Lake Coeur d'Alene",275900,238500,115.7,05/2002,ID
"Lake Coeur d'Alene",440600,238500,184.7,06/2002,ID
"Lake Coeur d'Alene",226600,238500,95,07/2002,ID
