reservoir,storage,capacity,pct_capacity,date,state
Oakley,34700,75600,45.9,01/2000,ID
Oakley,36900,75600,48.8,02/2000,ID
Oakley,39700,75600,52.5,03/2000,ID
Oakley,42500,75600,56.2,04/2000,ID
Oakley,44800,75600,59.3,05/2000,ID
Oakley,40400,75600,53.4,06/2000,ID
Oakley,29400,75600,38.9,07/2000,ID
Oakley,23900,75600,31.6,08/2000,ID
Oakley,19400,75600,25.7,09/2000,ID
Oakley,17500,75600,23.1,10/2000,ID
Oakley,17900,75600,23.7,11/2000,ID
Oakley,19600,75600,25.9,12/2000,ID
Oakley,21500,75600,28.4,01/2001,ID
Oakley,23500,75600,31.1,02/2001,ID
Oakley,25500,75600,33.7,03/2001,ID
Oakley,28500,75600,37.7,04/2001,ID
Oakley,30800,75600,40.7,05/2001,ID
Oakley,26400,75600,34.9,06/2001,ID
Oakley,18500,75600,24.5,07/2001,ID
Oakley,13900,75600,18.4,08/2001,ID
Oakley,8100,75600,10.7,09/2001,ID
Oakley,5100,75600,6.7,10/2001,ID
Oakley,5700,75600,7.5,11/2001,ID
Oakley,7600,75600,10.1,12/2001,ID
Oakley,9700,75600,12.8,01/2002,ID
Oakley,11900,75600,15.7,02/2002,ID
Oakley,14100,75600,18.7,03/2002,ID
Oakley,17200,75600,22.8,04/2002,ID
Oakley,23400,75600,31,05/2002,ID
Oakley,26100,75600,34.5,06/2002,ID
Oakley,20500,75600,27.1,07/2002,ID
Oakley,13300,75600,17.6,08/2002,ID
Oakley,8100,75600,10.7,09/2002,ID
Oakley,6000,75600,7.9,10/2002,ID
Oakley,7000,75600,9.3,11/2002,ID
Oakley,9000,75600,11.9,12/2002,ID
Oakley,11000,75600,14.6,01/2003,ID
Oakley,13200,75600,17.5,02/2003,ID
Oakley,15000,75600,19.8,03/2003,ID
Oakley,17100,75600,22.6,04/2003,ID
Oakley,19000,75600,25.1,05/2003,ID
Oakley,17800,75600,23.5,06/2003,ID
Oakley,10300,75600,13.6,07/2003,ID
Oakley,6100,75600,8.1,08/2003,ID
Oakley,3300,75600,4.4,09/2003,ID
Oakley,1900,75600,2.5,10/2003,ID
Oakley,3000,75600,4,11/2003,ID
Oakley,4700,75600,6.2,12/2003,ID
Oakley,6600,75600,8.7,01/2004,ID
Oakley,8500,75600,11.2,02/2004,ID
Oakley,10600,75600,14,03/2004,ID
Oakley,15000,75600,19.8,04/2004,ID
Oakley,19900,75600,26.3,05/2004,ID
Oakley,20700,75600,27.4,06/2004,ID
Oakley,15400,75600,20.4,07/2004,ID
Oakley,10500,75600,13.9,08/2004,ID
Oakley,7200,75600,9.5,09/2004,ID
Oakley,4500,75600,6,10/2004,ID
Oakley,5500,75600,7.3,11/2004,ID
Oakley,7400,75600,9.8,12/2004,ID
Oakley,9900,75600,13.1,01/2005,ID
Oakley,12000,75600,15.9,02/2005,ID
Oakley,14500,75600,19.2,03/2005,ID
Oakley,18400,75600,24.3,04/2005,ID
Oakley,23800,75600,31.5,05/2005,ID
Oakley,41700,75600,55.2,06/2005,ID
Oakley,43200,75600,57.1,07/2005,ID
Oakley,34000,75600,45,08/2005,ID
Oakley,27000,75600,35.7,09/2005,ID
Oakley,21900,75600,29,10/2005,ID
Oakley,21500,75600,28.4,11/2005,ID
Oakley,23300,75600,30.8,12/2005,ID
Oakley,27100,75600,35.8,01/2006,ID
Oakley,30500,75600,40.3,02/2006,ID
Oakley,34200,75600,45.2,03/2006,ID
Oakley,40800,75600,54,04/2006,ID
Oakley,54500,75600,72.1,05/2006,ID
Oakley,63800,75600,84.4,06/2006,ID
Oakley,56300,75600,74.5,07/2006,ID
Oakley,46900,75600,62,08/2006,ID
Oakley,38100,75600,50.4,09/2006,ID
Oakley,33700,75600,44.6,10/2006,ID
Oakley,34600,75600,45.8,11/2006,ID
Oakley,36500,75600,48.3,12/2006,ID
Oakley,38500,75600,50.9,01/2007,ID
Oakley,39900,75600,52.8,02/2007,ID
Oakley,43100,75600,57,03/2007,ID
Oakley,47800,75600,63.2,04/2007,ID
Oakley,51600,75600,68.3,05/2007,ID
Oakley,45400,75600,60.1,06/2007,ID
Oakley,35400,75600,46.8,07/2007,ID
Oakley,28600,75600,37.8,08/2007,ID
Oakley,21200,75600,28,09/2007,ID
Oakley,18800,75600,24.9,10/2007,ID
Oakley,19800,75600,26.2,11/2007,ID
Oakley,21500,75600,28.4,12/2007,ID
Oakley,23000,75600,30.4,01/2008,ID
Oakley,24600,75600,32.5,02/2008,ID
Oakley,26700,75600,35.3,03/2008,ID
Oakley,30300,75600,40.1,04/2008,ID
Oakley,32200,75600,42.6,05/2008,ID
Oakley,33900,75600,44.8,06/2008,ID
Oakley,29800,75600,39.4,07/2008,ID
Oakley,21300,75600,28.2,08/2008,ID
Oakley,15500,75600,20.5,09/2008,ID
Oakley,11800,75600,15.6,10/2008,ID
