reservoir,storage,capacity,pct_capacity,date,state
"Rye Patch",115700,194300,59.5,01/2000,NV
"Rye Patch",126200,194300,65,02/2000,NV
"Rye Patch",140900,194300,72.5,03/2000,NV
"Rye Patch",157200,194300,80.9,04/2000,NV
"Rye Patch",137600,194300,70.8,05/2000,NV
"Rye Patch",128200,194300,66,06/2000,NV
"Rye Patch",113900,194300,58.6,07/2000,NV
"Rye Patch",94300,194300,48.5,08/2000,NV
"Rye Patch",72200,194300,37.2,09/2000,NV
"Rye Patch",61600,194300,31.7,10/2000,NV
"Rye Patch",53200,194300,27.4,11/2000,NV
"Rye Patch",54700,194300,28.2,12/2000,NV
"Rye Patch",57700,194300,29.7,01/2001,NV
"Rye Patch",61600,194300,31.7,02/2001,NV
"Rye Patch",65700,194300,33.8,03/2001,NV
"Rye Patch",70900,194300,36.5,04/2001,NV
"Rye Patch",63200,194300,32.5,05/2001,NV
"Rye Patch",47100,194300,24.2,06/2001,NV
"Rye Patch",34000,194300,17.5,07/2001,NV
"Rye Patch",24400,194300,12.6,08/2001,NV
"Rye Patch",14700,194300,7.6,09/2001,NV
"Rye Patch",13100,194300,6.7,10/2001,NV
"Rye Patch",13100,194300,6.7,11/2001,NV
"Rye Patch",13700,194300,7.1,12/2001,NV
"Rye Patch",14400,194300,7.4,01/2002,NV
"Rye Patch",17000,194300,8.7,02/2002,NV
"Rye Patch",19900,194300,10.2,03/2002,NV
"Rye Patch",27900,194300,14.4,04/2002,NV
"Rye Patch",26500,194300,13.6,05/2002,NV
"Rye Patch",21700,194300,11.2,06/2002,NV
"Rye Patch",26100,194300,13.4,07/2002,NV
"Rye Patch",19700,194300,10.1,08/2002,NV
"Rye Patch",11400,194300,5.9,09/2002,NV
"Rye Patch",10000,194300,5.1,10/2002,NV
"Rye Patch",10300,194300,5.3,11/2002,NV
"Rye Patch",11600,194300,6,12/2002,NV
"Rye Patch",12400,194300,6.4,01/2003,NV
"Rye Patch",14900,194300,7.7,02/2003,NV
"Rye Patch",19200,194300,9.9,03/2003,NV
"Rye Patch",25100,194300,12.9,04/2003,NV
"Rye Patch",28200,194300,14.5,05/2003,NV
"Rye Patch",19900,194300,10.2,06/2003,NV
"Rye Patch",16100,194300,8.3,07/2003,NV
"Rye Patch",15000,194300,7.7,08/2003,NV
"Rye Patch",10600,194300,5.5,09/2003,NV
"Rye Patch",10400,194300,5.4,10/2003,NV
"Rye Patch",10400,194300,5.4,11/2003,NV
"Rye Patch",10800,194300,5.6,12/2003,NV
"Rye Patch",12500,194300,6.4,01/2004,NV
"Rye Patch",14400,194300,7.4,02/2004,NV
"Rye Patch",16400,194300,8.4,03/2004,NV
"Rye Patch",27900,194300,14.4,04/2004,NV
"Rye Patch",31300,194300,16.1,05/2004,NV
"Rye Patch",24400,194300,12.6,06/2004,NV
"Rye Patch",18200,194300,9.4,07/2004,NV
"Rye Patch",15600,194300,8,08/2004,NV
"Rye Patch",11000,194300,5.7,09/2004,NV
"Rye Patch",8300,194300,4.3,10/2004,NV
"Rye Patch",10000,194300,5.1,11/2004,NV
"Rye Patch",12600,194300,6.5,12/2004,NV
"Rye Patch",15800,194300,8.1,01/2005,NV
"Rye Patch",20200,194300,10.4,02/2005,NV
"Rye Patch",30100,194300,15.5,03/2005,NV
"Rye Patch",51300,194300,26.4,04/2005,NV
"Rye Patch",65500,194300,33.7,05/2005,NV
"Rye Patch",119400,194300,61.5,06/2005,NV
"Rye Patch",181200,194300,93.3,07/2005,NV
"Rye Patch",185900,194300,95.7,08/2005,NV
"Rye Patch",170700,194300,87.9,09/2005,NV
"Rye Patch",148100,194300,76.2,10/2005,NV
"Rye Patch",136500,194300,70.3,11/2005,NV
"Rye Patch",139800,194300,72,12/2005,NV
"Rye Patch",152000,194300,78.2,01/2006,NV
"Rye Patch",170500,194300,87.8,02/2006,NV
"Rye Patch",196300,194300,101,03/2006,NV
"Rye Patch",166600,194300,85.7,04/2006,NV
"Rye Patch",204000,194300,105,05/2006,NV
"Rye Patch",180000,194300,92.6,06/2006,NV
