reservoir,storage,capacity,pct_capacity,date,state
Millsite,10900,16700,65.3,01/2000,UT
Millsite,10300,16700,61.7,02/2000,UT
Millsite,9800,16700,58.7,03/2000,UT
Millsite,9900,16700,59.3,04/2000,UT
Millsite,11500,16700,68.9,05/2000,UT
Millsite,16700,16700,100,06/2000,UT
Millsite,10100,16700,60.5,01/2001,UT
Millsite,9800,16700,58.7,02/2001,UT
Millsite,9200,16700,55.1,03/2001,UT
Millsite,11100,16700,66.5,04/2001,UT
Millsite,13200,16700,79,05/2001,UT
Millsite,16700,16700,100,06/2001,UT
Millsite,10200,16700,61.1,01/2002,UT
Millsite,10100,16700,60.5,02/2002,UT
Millsite,8700,16700,52.1,03/2002,UT
Millsite,8400,16700,50.3,04/2002,UT
Millsite,9200,16700,55.1,05/2002,UT
Millsite,13800,16700,82.6,06/2002,UT
Millsite,14400,16700,86.2,07/2002,UT
Millsite,12000,16700,71.9,08/2002,UT
Millsite,10000,16700,59.9,09/2002,UT
Millsite,9300,16700,55.7,10/2002,UT
Millsite,9000,16700,53.9,11/2002,UT
Millsite,8500,16700,50.9,12/2002,UT
Millsite,8500,16700,50.9,01/2003,UT
Millsite,8700,16700,52.1,02/2003,UT
Millsite,8700,16700,52.1,03/2003,UT
Millsite,8700,16700,52.1,04/2003,UT
Millsite,8600,16700,51.5,05/2003,UT
Millsite,16400,16700,98.2,06/2003,UT
Millsite,16700,16700,100,07/2003,UT
Millsite,12900,16700,77.2,08/2003,UT
Millsite,10500,16700,62.9,09/2003,UT
Millsite,8000,16700,47.9,10/2003,UT
Millsite,7700,16700,46.1,11/2003,UT
Millsite,7300,16700,43.7,12/2003,UT
Millsite,6900,16700,41.3,01/2004,UT
Millsite,6200,16700,37.1,02/2004,UT
Millsite,6100,16700,36.5,03/2004,UT
Millsite,6100,16700,36.5,04/2004,UT
Millsite,8000,16700,47.9,05/2004,UT
Millsite,16200,16700,97,06/2004,UT
Millsite,15900,16700,95.2,07/2004,UT
Millsite,15200,16700,91,08/2004,UT
Millsite,12400,16700,74.3,09/2004,UT
Millsite,9400,16700,56.3,10/2004,UT
Millsite,8600,16700,51.5,11/2004,UT
Millsite,8900,16700,53.3,12/2004,UT
Millsite,8500,16700,50.9,01/2005,UT
Millsite,4500,16700,26.9,02/2005,UT
Millsite,4900,16700,29.3,03/2005,UT
Millsite,5400,16700,32.3,04/2005,UT
Millsite,1500,16700,9,05/2005,UT
Millsite,16700,16700,100,06/2005,UT
Millsite,16300,16700,97.6,07/2005,UT
Millsite,14900,16700,89.2,08/2005,UT
Millsite,14400,16700,86.2,09/2005,UT
Millsite,10200,16700,61.1,10/2005,UT
Millsite,9100,16700,54.5,11/2005,UT
Millsite,9200,16700,55.1,12/2005,UT
Millsite,9200,16700,55.1,01/2006,UT
Millsite,9200,16700,55.1,02/2006,UT
Millsite,8800,16700,52.7,03/2006,UT
Millsite,9200,16700,55.1,04/2006,UT
Millsite,8800,16700,52.7,05/2006,UT
Millsite,15700,16700,94,06/2006,UT
Millsite,15600,16700,93.4,07/2006,UT
Millsite,13800,16700,82.6,08/2006,UT
Millsite,13800,16700,82.6,09/2006,UT
Millsite,14100,16700,84.4,10/2006,UT
Millsite,13000,16700,77.8,11/2006,UT
Millsite,13200,16700,79,12/2006,UT
Millsite,13000,16700,77.8,01/2007,UT
Millsite,13100,16700,78.4,02/2007,UT
Millsite,13200,16700,79,03/2007,UT
Millsite,13500,16700,80.8,04/2007,UT
Millsite,13800,16700,82.6,05/2007,UT
Millsite,13800,16700,82.6,06/2007,UT
Millsite,14000,16700,83.8,07/2007,UT
Millsite,14200,16700,85,08/2007,UT
Millsite,10000,16700,59.9,09/2007,UT
Millsite,8100,16700,48.5,10/2007,UT
Millsite,8500,16700,50.9,11/2007,UT
Millsite,8300,16700,49.7,12/2007,UT
Millsite,8100,16700,48.5,01/2008,UT
Millsite,7300,16700,43.7,02/2008,UT
Millsite,6900,16700,41.3,03/2008,UT
Millsite,6400,16700,38.3,04/2008,UT
Millsite,7100,16700,42.5,05/2008,UT
Millsite,11500,16700,68.9,06/2008,UT
Millsite,16100,16700,96.4,07/2008,UT
Millsite,14900,16700,89.2,08/2008,UT
Millsite,11800,16700,70.7,09/2008,UT
Millsite,9000,16700,53.9,10/2008,UT
Millsite,8600,16700,51.5,11/2008,UT
Millsite,8300,16700,49.7,12/2008,UT
Millsite,8600,16700,51.5,01/2009,UT
Millsite,8300,16700,49.7,02/2009,UT
Millsite,8100,16700,48.5,03/2009,UT
Millsite,7700,16700,46.1,04/2009,UT
Millsite,7500,16700,44.9,05/2009,UT
Millsite,16400,16700,98.2,06/2009,UT
Millsite,16100,16700,96.4,07/2009,UT
Millsite,14100,16700,84.4,08/2009,UT
Millsite,10800,16700,64.7,09/2009,UT
Millsite,8600,16700,51.5,10/2009,UT
Millsite,8600,16700,51.5,11/2009,UT
Millsite,8300,16700,49.7,12/2009,UT
Millsite,8200,16700,49.1,01/2010,UT
Millsite,8100,16700,48.5,02/2010,UT
Millsite,7800,16700,46.7,03/2010,UT
Millsite,7800,16700,46.7,04/2010,UT
Millsite,8500,16700,50.9,05/2010,UT
Millsite,8300,16700,49.7,06/2010,UT
Millsite,16200,16700,97,07/2010,UT
Millsite,14800,16700,88.6,08/2010,UT
Millsite,12400,16700,74.3,09/2010,UT
Millsite,9600,16700,57.5,10/2010,UT
Millsite,9700,16700,58.1,11/2010,UT
Millsite,9700,16700,58.1,12/2010,UT
Millsite,9900,16700,59.3,01/2011,UT
Millsite,9800,16700,58.7,02/2011,UT
Millsite,9500,16700,56.9,03/2011,UT
Millsite,10200,16700,61.1,04/2011,UT
Millsite,11300,16700,67.7,05/2011,UT
Millsite,13900,16700,83.2,06/2011,UT
Millsite,16400,16700,98.2,07/2011,UT
Millsite,16100,16700,96.4,08/2011,UT
Millsite,15100,16700,90.4,09/2011,UT
Millsite,12800,16700,76.6,10/2011,UT
Millsite,11800,16700,70.7,11/2011,UT
Millsite,12100,16700,72.5,12/2011,UT
Millsite,12200,16700,73.1,01/2012,UT
Millsite,12200,16700,73.1,02/2012,UT
Millsite,12000,16700,71.9,03/2012,UT
Millsite,12300,16700,73.7,04/2012,UT
Millsite,12700,16700,76,05/2012,UT
Millsite,15400,16700,92.2,06/2012,UT
Millsite,12900,16700,77.2,07/2012,UT
Millsite,12400,16700,74.3,08/2012,UT
Millsite,9100,16700,54.5,09/2012,UT
Millsite,7000,16700,41.9,10/2012,UT
Millsite,8300,16700,49.7,11/2012,UT
Millsite,8500,16700,50.9,12/2012,UT
Millsite,8190,16700,49,01/2013,UT
Millsite,7000,16700,41.9,02/2013,UT
Millsite,5000,16700,29.9,03/2013,UT
Millsite,4000,16700,24,04/2013,UT
Millsite,4200,16700,25.1,05/2013,UT
Millsite,5000,16700,29.9,06/2013,UT
Millsite,14158,16700,84.8,07/2013,UT
Millsite,11976,16700,71.7,08/2013,UT
Millsite,10967,16700,65.7,09/2013,UT
Millsite,11559,16700,69.2,10/2013,UT
Millsite,11368,16700,68.1,11/2013,UT
Millsite,11919,16700,71.4,12/2013,UT
Millsite,11715,16700,70.1,01/2014,UT
Millsite,11276,16700,67.5,02/2014,UT
Millsite,11334,16700,67.9,03/2014,UT
Millsite,11496,16700,68.8,04/2014,UT
Millsite,11625,16700,69.6,05/2014,UT
Millsite,16572,16700,99.2,06/2014,UT
Millsite,15790,16700,94.6,07/2014,UT
Millsite,14319,16700,85.7,08/2014,UT
