reservoir,storage,capacity,pct_capacity,date,state
"Viva Naughton",36949,42400,87.1,01/2000,WY
"Viva Naughton",35681,42400,84.2,02/2000,WY
"Viva Naughton",34494,42400,81.4,03/2000,WY
"Viva Naughton",33346,42400,78.6,04/2000,WY
"Viva Naughton",38051,42400,89.7,05/2000,WY
"Viva Naughton",45246,42400,106.7,06/2000,WY
"Viva Naughton",43501,42400,102.6,07/2000,WY
"Viva Naughton",39232,42400,92.5,08/2000,WY
"Viva Naughton",36140,42400,85.2,09/2000,WY
"Viva Naughton",34136,42400,80.5,10/2000,WY
"Viva Naughton",33534,42400,79.1,11/2000,WY
"Viva Naughton",32796,42400,77.3,12/2000,WY
"Viva Naughton",32186,42400,75.9,01/2001,WY
"Viva Naughton",31528,42400,74.4,02/2001,WY
"Viva Naughton",31171,42400,73.5,03/2001,WY
"Viva Naughton",32369,42400,76.3,04/2001,WY
"Viva Naughton",38051,42400,89.7,05/2001,WY
"Viva Naughton",42912,42400,101.2,06/2001,WY
"Viva Naughton",40060,42400,94.5,07/2001,WY
"Viva Naughton",37700,42400,88.9,08/2001,WY
"Viva Naughton",35020,42400,82.6,09/2001,WY
"Viva Naughton",32393,42400,76.4,10/2001,WY
"Viva Naughton",30779,42400,72.6,11/2001,WY
"Viva Naughton",29818,42400,70.3,12/2001,WY
"Viva Naughton",28988,42400,68.4,01/2002,WY
"Viva Naughton",28219,42400,66.6,02/2002,WY
"Viva Naughton",27488,42400,64.8,03/2002,WY
"Viva Naughton",26820,42400,63.3,04/2002,WY
"Viva Naughton",32613,42400,76.9,05/2002,WY
"Viva Naughton",37700,42400,88.9,06/2002,WY
"Viva Naughton",38078,42400,89.8,07/2002,WY
"Viva Naughton",36746,42400,86.7,08/2002,WY
"Viva Naughton",32650,42400,77,09/2002,WY
"Viva Naughton",30142,42400,71.1,10/2002,WY
"Viva Naughton",28479,42400,67.2,11/2002,WY
"Viva Naughton",27179,42400,64.1,12/2002,WY
"Viva Naughton",25864,42400,61,01/2003,WY
"Viva Naughton",24542,42400,57.9,02/2003,WY
"Viva Naughton",23679,42400,55.8,03/2003,WY
"Viva Naughton",23559,42400,55.6,04/2003,WY
"Viva Naughton",31409,42400,74.1,05/2003,WY
"Viva Naughton",37942,42400,89.5,06/2003,WY
"Viva Naughton",38614,42400,91.1,07/2003,WY
"Viva Naughton",36572,42400,86.3,08/2003,WY
"Viva Naughton",34034,42400,80.3,09/2003,WY
"Viva Naughton",32247,42400,76.1,10/2003,WY
"Viva Naughton",31112,42400,73.4,11/2003,WY
"Viva Naughton",30529,42400,72,12/2003,WY
