swe,temp_avg,year,month,day,state,elevation,station_id,avg,avg_anomaly,median,median_anomaly,found
0.2,21,2000,01,03,AZ,6,877,2.7,-2.5,2.1,-1.9,1
1.0,31,2000,01,04,AZ,6,877,2.8,-1.8,2.3,-1.3,1
1.1,34,2000,01,05,AZ,6,877,3.0,-1.9,2.4,-1.3,1
1.1,26,2000,01,06,AZ,6,877,3.1,-2.0,2.6,-1.5,1
1.1,28,2000,01,07,AZ,6,877,3.2,-2.1,2.7,-1.6,1
1.0,31,2000,01,08,AZ,6,877,3.3,-2.3,2.7,-1.7,1
1.1,33,2000,01,09,AZ,6,877,3.4,-2.3,2.8,-1.7,1
1.1,36,2000,01,10,AZ,6,877,3.5,-2.4,2.8,-1.7,1
1.2,38,2000,01,11,AZ,6,877,3.6,-2.4,2.8,-1.6,1
1.2,38,2000,01,12,AZ,6,877,3.6,-2.4,2.8,-1.6,1
1.2,43,2000,01,13,AZ,6,877,3.7,-2.5,2.9,-1.7,1
1.2,42,2000,01,14,AZ,6,877,3.8,-2.6,3.0,-1.8,1
1.2,47,2000,01,15,AZ,6,877,3.9,-2.7,3.0,-1.8,1
1.2,48,2000,01,16,AZ,6,877,4.0,-2.8,3.1,-1.9,1
1.3,49,2000,01,17,AZ,6,877,4.1,-2.8,3.3,-2.0,1
1.2,50,2000,01,18,AZ,6,877,4.2,-3.0,3.4,-2.2,1
0.7,49,2000,01,19,AZ,6,877,4.3,-3.6,3.5,-2.8,1
0.7,46,2000,01,20,AZ,6,877,4.4,-3.7,3.6,-2.9,1
0.7,40,2000,01,21,AZ,6,877,4.4,-3.7,3.7,-3.0,1
0.6,39,2000,01,22,AZ,6,877,4.5,-3.9,3.8,-3.2,1
0.5,41,2000,01,23,AZ,6,877,4.5,-4.0,3.9,-3.4,1
0.5,45,2000,01,24,AZ,6,877,4.5,-4.0,3.9,-3.4,1
0.5,45,2000,01,25,AZ,6,877,4.6,-4.1,3.9,-3.4,1
0.5,36,2000,01,26,AZ,6,877,4.6,-4.1,4.0,-3.5,1
0.4,33,2000,01,27,AZ,6,877,4.6,-4.2,4.0,-3.6,1
0.3,32,2000,01,28,AZ,6,877,4.6,-4.3,4.0,-3.7,1
0.4,42,2000,02,19,AZ,6,877,5.5,-5.1,5.6,-5.2,1
0.4,45,2000,02,20,AZ,6,877,5.4,-5.0,5.4,-5.0,1
0.4,39,2000,02,21,AZ,6,877,5.4,-5.0,5.3,-4.9,1
0.5,31,2000,02,22,AZ,6,877,5.3,-4.8,5.1,-4.6,1
0.3,35,2000,02,23,AZ,6,877,5.3,-5.0,5.1,-4.8,1
0.5,30,2000,02,24,AZ,6,877,5.2,-4.7,5.0,-4.5,1
0.4,27,2000,02,25,AZ,6,877,5.2,-4.8,5.0,-4.6,1
0.3,35,2000,02,26,AZ,6,877,5.1,-4.8,5.1,-4.8,1
0.4,43,2000,02,27,AZ,6,877,5.1,-4.7,5.1,-4.7,1
0.5,35,2000,02,28,AZ,6,877,5.0,-4.5,5.1,-4.6,1
0.3,37,2000,02,29,AZ,6,877,5.0,-4.7,5.1,-4.8,1
0.4,34,2000,03,01,AZ,6,877,4.9,-4.5,5.1,-4.7,1
0.3,37,2000,03,02,AZ,6,877,4.9,-4.6,5.1,-4.8,1
0.4,44,2000,03,03,AZ,6,877,4.8,-4.4,4.9,-4.5,1
0.5,44,2000,03,04,AZ,6,877,4.7,-4.2,4.8,-4.3,1
0.7,29,2000,03,05,AZ,6,877,4.7,-4.0,4.6,-3.9,1
2.4,28,2000,03,06,AZ,6,877,4.6,-2.2,4.5,-2.1,1
4.4,26,2000,03,07,AZ,6,877,4.5,-0.1,4.3,0.1,1
4.6,33,2000,03,08,AZ,6,877,4.4,0.2,4.1,0.5,1
4.5,35,2000,03,09,AZ,6,877,4.2,0.3,3.8,0.7,1
4.3,36,2000,03,10,AZ,6,877,4.1,0.2,3.6,0.7,1
4.0,40,2000,03,11,AZ,6,877,3.9,0.1,3.2,0.8,1
3.7,44,2000,03,12,AZ,6,877,3.7,0.0,2.9,0.8,1
3.3,44,2000,03,13,AZ,6,877,3.5,-0.2,2.5,0.8,1
2.8,45,2000,03,14,AZ,6,877,3.2,-0.4,2.2,0.6,1
2.3,45,2000,03,15,AZ,6,877,3.1,-0.8,1.8,0.5,1
1.8,43,2000,03,16,AZ,6,877,2.9,-1.1,1.5,0.3,1
1.2,43,2000,03,17,AZ,6,877,2.7,-1.5,1.2,0.0,1
0.5,43,2000,03,18,AZ,6,877,2.6,-2.1,1.0,-0.5,1
0.5,44,2000,03,19,AZ,6,877,2.5,-2.0,0.8,-0.3,1
0.5,33,2000,03,20,AZ,6,877,2.4,-1.9,0.6,-0.1,1
0.4,26,2000,03,21,AZ,6,877,2.3,-1.9,0.4,0.0,1
0.3,32,2000,03,22,AZ,6,877,2.1,-1.8,0.3,0.0,1
0.2,38,2000,03,23,AZ,6,877,2.0,-1.8,0.1,0.1,1
0.7,31,2001,01,09,AZ,6,877,3.4,-2.7,2.8,-2.1,1
2.1,33,2001,01,10,AZ,6,877,3.5,-1.4,2.8,-0.7,1
2.1,34,2001,01,11,AZ,6,877,3.6,-1.5,2.8,-0.7,1
2.2,28,2001,01,12,AZ,6,877,3.6,-1.4,2.8,-0.6,1
2.9,24,2001,01,13,AZ,6,877,3.7,-0.8,2.9,0.0,1
2.9,27,2001,01,14,AZ,6,877,3.8,-0.9,3.0,-0.1,1
2.9,26,2001,01,15,AZ,6,877,3.9,-1.0,3.0,-0.1,1
3.0,22,2001,01,16,AZ,6,877,4.0,-1.0,3.1,-0.1,1
3.6,20,2001,01,17,AZ,6,877,4.1,-0.5,3.3,0.3,1
3.6,23,2001,01,18,AZ,6,877,4.2,-0.6,3.4,0.2,1
3.6,28,2001,01,19,AZ,6,877,4.3,-0.7,3.5,0.1,1
3.6,36,2001,01,20,AZ,6,877,4.4,-0.8,3.6,0.0,1
3.6,37,2001,01,21,AZ,6,877,4.4,-0.8,3.7,-0.1,1
3.7,35,2001,01,22,AZ,6,877,4.5,-0.8,3.8,-0.1,1
3.7,33,2001,01,23,AZ,6,877,4.5,-0.8,3.9,-0.2,1
3.7,36,2001,01,24,AZ,6,877,4.5,-0.8,3.9,-0.2,1
3.7,32,2001,01,25,AZ,6,877,4.6,-0.9,3.9,-0.2,1
3.7,33,2001,01,26,AZ,6,877,4.6,-0.9,4.0,-0.3,1
3.7,25,2001,01,27,AZ,6,877,4.6,-0.9,4.0,-0.3,1
