swe,temp_avg,year,month,day,state,elevation,station_id,avg,avg_anomaly,median,median_anomaly,found
3.9,29,2009,01,01,CO,10,1124,17.2,-13.3,21.0,-17.1,0
3.9,30,2009,01,02,CO,10,1124,19.5,-15.6,20.0,-16.1,0
3.8,21,2009,01,03,CO,10,1124,21.7,-17.9,21.0,-17.2,0
3.7,16,2009,01,04,CO,10,1124,23.4,-19.7,23.0,-19.3,0
3.7,14,2009,01,05,CO,10,1124,22.8,-19.1,24.0,-20.3,0
3.7,11,2009,01,06,CO,10,1124,22.1,-18.4,23.0,-19.3,0
3.7,25,2009,01,07,CO,10,1124,24.1,-20.4,25.0,-21.3,0
4.0,31,2009,01,08,CO,10,1124,24.8,-20.8,25.0,-21.0,0
4.0,20,2009,01,09,CO,10,1124,23.6,-19.6,25.0,-21.0,0
4.0,14,2009,01,10,CO,10,1124,19.1,-15.1,23.0,-19.0,0
4.1,18,2009,01,11,CO,10,1124,18.3,-14.2,18.0,-13.9,0
4.1,18,2009,01,12,CO,10,1124,18.1,-14.0,18.0,-13.9,0
4.1,21,2009,01,13,CO,10,1124,19.9,-15.8,22.0,-17.9,0
4.1,23,2009,01,14,CO,10,1124,21.0,-16.9,23.0,-18.9,0
4.2,25,2009,01,15,CO,10,1124,23.0,-18.8,25.0,-20.8,0
4.2,29,2009,01,16,CO,10,1124,24.3,-20.1,24.0,-19.8,0
4.2,29,2009,01,17,CO,10,1124,23.5,-19.3,25.0,-20.8,0
4.2,30,2009,01,18,CO,10,1124,24.9,-20.7,24.0,-19.8,0
4.2,33,2009,01,19,CO,10,1124,25.7,-21.5,25.0,-20.8,0
4.2,34,2009,01,20,CO,10,1124,23.9,-19.7,26.0,-21.8,0
4.2,34,2009,01,21,CO,10,1124,22.3,-18.1,22.0,-17.8,0
4.2,34,2009,01,22,CO,10,1124,20.9,-16.7,20.0,-15.8,0
4.3,30,2009,01,23,CO,10,1124,21.3,-17.0,20.0,-15.7,0
4.3,29,2009,01,24,CO,10,1124,20.3,-16.0,21.0,-16.7,0
4.3,25,2009,01,25,CO,10,1124,20.8,-16.5,24.0,-19.7,0
4.3,18,2009,01,26,CO,10,1124,20.5,-16.2,18.0,-13.7,0
4.3,7,2009,01,27,CO,10,1124,21.5,-17.2,23.0,-18.7,0
4.3,12,2009,01,28,CO,10,1124,22.4,-18.1,21.0,-16.7,0
4.3,11,2009,01,29,CO,10,1124,22.9,-18.6,26.0,-21.7,0
4.3,26,2009,01,30,CO,10,1124,24.3,-20.0,26.0,-21.7,0
4.3,26,2009,01,31,CO,10,1124,23.8,-19.5,23.0,-18.7,0
4.3,19,2009,02,01,CO,10,1124,21.1,-16.8,20.0,-15.7,0
4.3,22,2009,02,02,CO,10,1124,20.9,-16.6,25.0,-20.7,0
4.4,26,2009,02,03,CO,10,1124,21.2,-16.8,26.0,-21.6,0
4.4,31,2009,02,04,CO,10,1124,19.8,-15.4,19.0,-14.6,0
4.4,31,2009,02,05,CO,10,1124,20.2,-15.8,21.0,-16.6,0
4.5,29,2009,02,06,CO,10,1124,20.6,-16.1,20.0,-15.5,0
4.5,30,2009,02,07,CO,10,1124,22.5,-18.0,23.0,-18.5,0
4.5,25,2009,02,08,CO,10,1124,24.7,-20.2,25.0,-20.5,0
4.5,16,2009,02,09,CO,10,1124,23.5,-19.0,25.0,-20.5,0
4.5,15,2009,02,10,CO,10,1124,22.0,-17.5,23.0,-18.5,0
4.5,14,2009,02,11,CO,10,1124,20.4,-15.9,19.0,-14.5,0
4.5,19,2009,02,12,CO,10,1124,22.6,-18.1,23.0,-18.5,0
4.6,14,2009,02,13,CO,10,1124,25.0,-20.4,25.0,-20.4,0
4.6,12,2009,02,14,CO,10,1124,23.7,-19.1,27.0,-22.4,0
4.6,18,2009,02,15,CO,10,1124,23.6,-19.0,25.0,-20.4,0
4.7,27,2009,02,16,CO,10,1124,23.7,-19.0,24.0,-19.3,0
4.7,19,2009,02,17,CO,10,1124,22.5,-17.8,25.0,-20.3,0
4.7,14,2009,02,18,CO,10,1124,22.2,-17.5,21.0,-16.3,0
4.7,16,2009,02,19,CO,10,1124,22.5,-17.8,22.0,-17.3,0
4.7,24,2009,02,20,CO,10,1124,18.3,-13.6,21.0,-16.3,0
4.7,27,2009,02,21,CO,10,1124,20.2,-15.5,18.0,-13.3,0
4.8,32,2009,02,22,CO,10,1124,21.3,-16.5,22.0,-17.2,0
4.9,34,2009,02,23,CO,10,1124,19.3,-14.4,15.0,-10.1,0
4.9,32,2009,02,24,CO,10,1124,18.4,-13.5,19.0,-14.1,0
