swe,temp_avg,year,month,day,state,elevation,station_id,avg,avg_anomaly,median,median_anomaly,found
18.4,25,2000,01,01,MT,6,667,17.5,0.9,17.6,0.8,1
18.6,20,2000,01,02,MT,6,667,17.9,0.7,17.8,0.8,1
19.2,18,2000,01,03,MT,6,667,18.2,1.0,18.0,1.2,1
19.6,27,2000,01,04,MT,6,667,18.6,1.0,18.2,1.4,1
20.9,22,2000,01,05,MT,6,667,19.0,1.9,18.5,2.4,1
21.4,23,2000,01,06,MT,6,667,19.4,2.0,18.6,2.8,1
21.5,26,2000,01,07,MT,6,667,19.8,1.7,18.8,2.7,1
21.7,27,2000,01,08,MT,6,667,20.1,1.6,19.0,2.7,1
22.6,22,2000,01,09,MT,6,667,20.5,2.1,19.2,3.4,1
23.2,17,2000,01,10,MT,6,667,20.9,2.3,19.5,3.7,1
23.3,21,2000,01,11,MT,6,667,21.3,2.0,19.7,3.6,1
23.5,18,2000,01,12,MT,6,667,21.6,1.9,20.0,3.5,1
23.7,22,2000,01,13,MT,6,667,21.9,1.8,20.2,3.5,1
24.1,32,2000,01,14,MT,6,667,22.2,1.9,20.5,3.6,1
24.6,24,2000,01,15,MT,6,667,22.5,2.1,20.9,3.7,1
24.7,31,2000,01,16,MT,6,667,22.8,1.9,21.3,3.4,1
25.3,23,2000,01,17,MT,6,667,23.1,2.2,21.6,3.7,1
25.5,25,2000,01,18,MT,6,667,23.4,2.1,22.0,3.5,1
25.5,19,2000,01,19,MT,6,667,23.7,1.8,22.3,3.2,1
25.5,27,2000,01,20,MT,6,667,24.0,1.5,22.6,2.9,1
25.8,27,2000,01,21,MT,6,667,24.3,1.5,22.9,2.9,1
26.6,24,2000,01,22,MT,6,667,24.6,2.0,23.2,3.4,1
27.3,18,2000,01,23,MT,6,667,24.9,2.4,23.5,3.8,1
27.3,24,2000,01,24,MT,6,667,25.2,2.1,23.8,3.5,1
27.4,27,2000,01,25,MT,6,667,25.5,1.9,24.1,3.3,1
27.9,25,2000,01,26,MT,6,667,25.8,2.1,24.6,3.3,1
28.3,22,2000,01,27,MT,6,667,26.1,2.2,25.1,3.2,1
28.6,17,2000,01,28,MT,6,667,26.3,2.3,25.7,2.9,1
28.6,16,2000,01,29,MT,6,667,26.6,2.0,26.1,2.5,1
28.6,16,2000,01,30,MT,6,667,26.9,1.7,26.4,2.2,1
28.6,18,2000,01,31,MT,6,667,27.2,1.4,26.8,1.8,1
28.7,31,2000,02,01,MT,6,667,27.4,1.3,27.1,1.6,1
29.4,30,2000,02,02,MT,6,667,27.7,1.7,27.3,2.1,1
30.3,23,2000,02,03,MT,6,667,28.0,2.3,27.4,2.9,1
30.3,26,2000,02,04,MT,6,667,28.3,2.0,27.6,2.7,1
30.4,31,2000,02,05,MT,6,667,28.5,1.9,27.7,2.7,1
30.4,32,2000,02,06,MT,6,667,28.8,1.6,28.0,2.4,1
30.5,33,2000,02,07,MT,6,667,29.0,1.5,28.2,2.3,1
30.5,38,2000,02,08,MT,6,667,29.3,1.2,28.3,2.2,1
30.6,27,2000,02,09,MT,6,667,29.5,1.1,28.5,2.1,1
30.8,18,2000,02,10,MT,6,667,29.8,1.0,28.8,2.0,1
30.9,21,2000,02,11,MT,6,667,30.1,0.8,29.1,1.8,1
31.2,23,2000,02,12,MT,6,667,30.3,0.9,29.4,1.8,1
31.5,21,2000,02,13,MT,6,667,30.6,0.9,29.7,1.8,1
31.7,27,2000,02,14,MT,6,667,30.8,0.9,29.9,1.8,1
32.9,25,2000,02,15,MT,6,667,31.1,1.8,30.1,2.8,1
33.5,19,2000,02,16,MT,6,667,31.3,2.2,30.4,3.1,1
33.6,13,2000,02,17,MT,6,667,31.6,2.0,30.6,3.0,1
33.6,12,2000,02,18,MT,6,667,31.9,1.7,30.8,2.8,1
33.6,19,2000,02,19,MT,6,667,32.2,1.4,31.1,2.5,1
33.6,27,2000,02,20,MT,6,667,32.4,1.2,31.3,2.3,1
33.6,34,2000,02,21,MT,6,667,32.7,0.9,31.5,2.1,1
33.7,35,2000,02,22,MT,6,667,33.0,0.7,31.8,1.9,1
33.7,35,2000,02,23,MT,6,667,33.3,0.4,32.1,1.6,1
33.7,26,2000,02,24,MT,6,667,33.5,0.2,32.3,1.4,1
34.5,21,2000,02,25,MT,6,667,33.7,0.8,32.5,2.0,1
34.6,26,2000,02,26,MT,6,667,33.9,0.7,32.7,1.9,1
35.1,33,2000,02,27,MT,6,667,34.1,1.0,32.9,2.2,1
35.6,31,2000,02,28,MT,6,667,34.2,1.4,33.1,2.5,1
35.6,30,2000,02,29,MT,6,667,34.4,1.2,33.3,2.3,1
35.6,29,2000,03,01,MT,6,667,34.5,1.1,33.5,2.1,1
35.7,30,2000,03,02,MT,6,667,34.7,1.0,33.6,2.1,1
35.7,33,2000,03,03,MT,6,667,34.9,0.8,33.8,1.9,1
35.7,36,2000,03,04,MT,6,667,35.1,0.6,34.1,1.6,1
35.7,38,2000,03,05,MT,6,667,35.3,0.4,34.3,1.4,1
35.7,33,2000,03,06,MT,6,667,35.5,0.2,34.6,1.1,1
35.9,31,2000,03,07,MT,6,667,35.7,0.2,34.8,1.1,1
36.0,27,2000,03,08,MT,6,667,35.9,0.1,35.0,1.0,1
36.2,27,2000,03,09,MT,6,667,36.1,0.1,35.2,1.0,1
36.2,27,2000,03,10,MT,6,667,36.3,-0.1,35.4,0.8,1
36.3,27,2000,03,11,MT,6,667,36.5,-0.2,35.6,0.7,1
37.7,26,2000,03,12,MT,6,667,36.7,1.0,35.7,2.0,1
37.9,28,2000,03,13,MT,6,667,36.9,1.0,35.9,2.0,1
38.1,28,2000,03,14,MT,6,667,37.1,1.0,36.0,2.1,1
38.8,26,2000,03,15,MT,6,667,37.3,1.5,36.2,2.6,1
38.9,26,2000,03,16,MT,6,667,37.5,1.4,36.5,2.4,1
39.7,25,2000,03,17,MT,6,667,37.7,2.0,36.7,3.0,1
40.1,30,2000,03,18,MT,6,667,38.0,2.1,37.0,3.1,1
40.6,24,2000,03,19,MT,6,667,38.2,2.4,37.3,3.3,1
40.8,21,2000,03,20,MT,6,667,38.4,2.4,37.6,3.2,1
40.8,26,2000,03,21,MT,6,667,38.6,2.2,37.9,2.9,1
40.8,38,2000,03,22,MT,6,667,38.8,2.0,38.1,2.7,1
40.8,30,2000,03,23,MT,6,667,38.9,1.9,38.4,2.4,1
41.6,27,2000,03,24,MT,6,667,39.1,2.5,38.6,3.0,1
41.8,33,2000,03,25,MT,6,667,39.3,2.5,38.8,3.0,1
41.9,35,2000,03,26,MT,6,667,39.5,2.4,39.0,2.9,1
41.9,40,2000,03,27,MT,6,667,39.7,2.2,39.2,2.7,1
41.9,30,2000,03,28,MT,6,667,39.9,2.0,39.4,2.5,1
42.8,29,2000,03,29,MT,6,667,40.1,2.7,39.5,3.3,1
43.2,28,2000,03,30,MT,6,667,40.4,2.8,39.8,3.4,1
43.3,30,2000,03,31,MT,6,667,40.6,2.7,40.0,3.3,1
43.4,36,2000,04,01,MT,6,667,40.8,2.6,40.3,3.1,1
43.5,29,2000,04,02,MT,6,667,41.0,2.5,40.6,2.9,1
43.6,39,2000,04,03,MT,6,667,41.2,2.4,40.9,2.7,1
43.7,43,2000,04,04,MT,6,667,41.4,2.3,41.3,2.4,1
43.7,32,2000,04,05,MT,6,667,41.5,2.2,41.6,2.1,1
43.7,27,2000,04,06,MT,6,667,41.7,2.0,41.9,1.8,1
44.0,29,2000,04,07,MT,6,667,41.8,2.2,42.1,1.9,1
44.2,36,2000,04,08,MT,6,667,41.9,2.3,42.2,2.0,1
44.3,40,2000,04,09,MT,6,667,42.0,2.3,42.3,2.0,1
44.3,38,2000,04,10,MT,6,667,42.1,2.2,42.5,1.8,1
44.1,43,2000,04,11,MT,6,667,42.2,1.9,42.5,1.6,1
43.6,42,2000,04,12,MT,6,667,42.3,1.3,42.5,1.1,1
43.8,36,2000,04,13,MT,6,667,42.4,1.4,42.4,1.4,1
43.3,31,2000,04,14,MT,6,667,42.4,0.9,42.4,0.9,1
43.3,38,2000,04,15,MT,6,667,42.5,0.8,42.3,1.0,1
43.3,39,2000,04,16,MT,6,667,42.5,0.8,42.2,1.1,1
43.3,40,2000,04,17,MT,6,667,42.5,0.8,42.0,1.3,1
42.5,42,2000,04,18,MT,6,667,42.5,0.0,41.8,0.7,1
41.7,42,2000,04,19,MT,6,667,42.4,-0.7,41.5,0.2,1
41.0,40,2000,04,20,MT,6,667,42.3,-1.3,41.1,-0.1,1
40.9,43,2000,04,21,MT,6,667,42.2,-1.3,40.6,0.3,1
40.8,37,2000,04,22,MT,6,667,42.1,-1.3,40.0,0.8,1
40.8,34,2000,04,23,MT,6,667,41.9,-1.1,39.7,1.1,1
40.2,30,2000,04,24,MT,6,667,41.7,-1.5,39.4,0.8,1
39.4,32,2000,04,25,MT,6,667,41.6,-2.2,39.0,0.4,1
