swe,temp_avg,year,month,day,state,elevation,station_id,avg,avg_anomaly,median,median_anomaly,found
4.6,29,2010,01,01,NM,9,1138,22.3,-17.7,22.0,-17.4,0
4.6,29,2010,01,02,NM,9,1138,25.3,-20.7,26.0,-21.4,0
4.6,26,2010,01,03,NM,9,1138,28.3,-23.7,26.0,-21.4,0
4.6,29,2010,01,04,NM,9,1138,29.6,-25.0,31.0,-26.4,0
4.6,32,2010,01,05,NM,9,1138,30.1,-25.5,32.0,-27.4,0
4.6,33,2010,01,06,NM,9,1138,30.7,-26.1,30.0,-25.4,0
4.6,28,2010,01,07,NM,9,1138,29.8,-25.2,30.0,-25.4,0
4.6,28,2010,01,08,NM,9,1138,30.2,-25.6,30.0,-25.4,0
4.6,31,2010,01,09,NM,9,1138,31.2,-26.6,31.0,-26.4,0
4.6,34,2010,01,10,NM,9,1138,28.4,-23.8,32.0,-27.4,0
4.6,33,2010,01,11,NM,9,1138,26.9,-22.3,28.0,-23.4,0
4.6,35,2010,01,12,NM,9,1138,26.6,-22.0,29.0,-24.4,0
4.6,32,2010,01,13,NM,9,1138,27.8,-23.2,31.0,-26.4,0
4.6,27,2010,01,14,NM,9,1138,27.3,-22.7,28.0,-23.4,0
4.6,31,2010,01,15,NM,9,1138,28.8,-24.2,32.0,-27.4,0
4.6,34,2010,01,16,NM,9,1138,30.8,-26.2,31.0,-26.4,0
4.6,32,2010,01,17,NM,9,1138,31.6,-27.0,31.0,-26.4,0
4.6,28,2010,01,18,NM,9,1138,31.4,-26.8,31.0,-26.4,0
5.7,27,2010,01,19,NM,9,1138,31.7,-26.0,32.0,-26.3,0
7.0,23,2010,01,20,NM,9,1138,30.1,-23.1,31.0,-24.0,0
7.9,29,2010,01,21,NM,9,1138,29.9,-22.0,29.0,-21.1,0
10.1,24,2010,01,22,NM,9,1138,27.1,-17.0,24.0,-13.9,0
11.6,20,2010,01,23,NM,9,1138,28.6,-17.0,27.0,-15.4,0
12.0,18,2010,01,24,NM,9,1138,26.4,-14.4,25.0,-13.0,0
12.0,24,2010,01,25,NM,9,1138,28.8,-16.8,28.0,-16.0,0
12.0,28,2010,01,26,NM,9,1138,29.6,-17.6,28.0,-16.0,0
12.0,32,2010,01,27,NM,9,1138,31.3,-19.3,33.0,-21.0,0
12.1,28,2010,01,28,NM,9,1138,31.3,-19.2,30.0,-17.9,0
12.4,27,2010,01,29,NM,9,1138,31.0,-18.6,33.0,-20.6,0
12.4,28,2010,01,30,NM,9,1138,31.7,-19.3,32.0,-19.6,0
12.4,27,2010,01,31,NM,9,1138,30.1,-17.7,31.0,-18.6,0
12.4,25,2010,02,01,NM,9,1138,25.8,-13.4,27.0,-14.6,0
12.4,29,2010,02,02,NM,9,1138,24.2,-11.8,29.0,-16.6,0
12.5,28,2010,02,03,NM,9,1138,26.3,-13.8,28.0,-15.5,0
12.8,28,2010,02,04,NM,9,1138,28.3,-15.5,29.0,-16.2,0
12.8,29,2010,02,05,NM,9,1138,29.4,-16.6,29.0,-16.2,0
12.9,31,2010,02,06,NM,9,1138,28.6,-15.7,30.0,-17.1,0
13.2,26,2010,02,07,NM,9,1138,29.0,-15.8,28.0,-14.8,0
14.0,24,2010,02,08,NM,9,1138,32.6,-18.6,33.0,-19.0,0
14.3,24,2010,02,09,NM,9,1138,31.8,-17.5,30.0,-15.7,0
14.4,23,2010,02,10,NM,9,1138,31.1,-16.7,31.0,-16.6,0
14.5,22,2010,02,11,NM,9,1138,29.4,-14.9,29.5,-15.0,0
14.5,25,2010,02,12,NM,9,1138,31.6,-17.1,33.0,-18.5,0
14.5,29,2010,02,13,NM,9,1138,34.8,-20.3,35.0,-20.5,0
14.6,28,2010,02,14,NM,9,1138,34.3,-19.7,34.5,-19.9,0
14.6,27,2010,02,15,NM,9,1138,33.1,-18.5,32.5,-17.9,0
14.7,28,2010,02,16,NM,9,1138,32.6,-17.9,31.0,-16.3,0
15.1,30,2010,02,17,NM,9,1138,32.7,-17.6,34.0,-18.9,0
15.1,31,2010,02,18,NM,9,1138,33.3,-18.2,36.0,-20.9,0
15.1,31,2010,02,19,NM,9,1138,30.8,-15.7,31.0,-15.9,0
15.1,29,2010,02,20,NM,9,1138,26.7,-11.6,25.0,-9.9,0
15.2,26,2010,02,21,NM,9,1138,29.3,-14.1,30.0,-14.8,0
16.5,19,2010,02,22,NM,9,1138,28.9,-12.4,31.0,-14.5,0
17.1,19,2010,02,23,NM,9,1138,24.9,-7.8,24.0,-6.9,0
17.2,26,2010,02,24,NM,9,1138,24.1,-6.9,26.0,-8.8,0
17.6,25,2010,02,25,NM,9,1138,29.6,-12.0,29.0,-11.4,0
17.7,27,2010,02,26,NM,9,1138,29.4,-11.7,29.5,-11.8,0
17.8,33,2010,02,27,NM,9,1138,30.4,-12.6,30.5,-12.7,0
17.9,29,2010,02,28,NM,9,1138,30.4,-12.5,29.5,-11.6,0
18.2,29,2010,03,01,NM,9,1138,32.4,-14.2,33.5,-15.3,0
18.3,32,2010,03,02,NM,9,1138,33.6,-15.3,33.0,-14.7,0
18.4,34,2010,03,03,NM,9,1138,34.6,-16.2,34.0,-15.6,0
18.4,34,2010,03,04,NM,9,1138,33.9,-15.5,34.0,-15.6,0
18.4,27,2010,03,05,NM,9,1138,35.7,-17.3,37.0,-18.6,0
18.7,35,2010,03,06,NM,9,1138,37.2,-18.5,39.0,-20.3,0
18.7,33,2010,03,07,NM,9,1138,33.7,-15.0,33.0,-14.3,0
18.7,27,2010,03,08,NM,9,1138,32.8,-14.1,31.0,-12.3,0
19.2,25,2010,03,09,NM,9,1138,33.2,-14.0,33.0,-13.8,0
19.8,22,2010,03,10,NM,9,1138,36.0,-16.2,38.0,-18.2,0
20.1,24,2010,03,11,NM,9,1138,36.2,-16.1,36.0,-15.9,0
20.2,32,2010,03,12,NM,9,1138,37.4,-17.2,38.0,-17.8,0
