swe,temp_avg,year,month,day,state,elevation,station_id,avg,avg_anomaly,median,median_anomaly,found
7.6,23,2000,01,01,OR,5,406,13.5,-5.9,14.0,-6.4,1
8.8,22,2000,01,02,OR,5,406,13.8,-5.0,14.4,-5.6,1
10.3,29,2000,01,03,OR,5,406,14.1,-3.8,14.6,-4.3,1
10.6,27,2000,01,04,OR,5,406,14.4,-3.8,14.9,-4.3,1
11.3,23,2000,01,05,OR,5,406,14.7,-3.4,15.2,-3.9,1
11.5,26,2000,01,06,OR,5,406,14.9,-3.4,15.5,-4.0,1
11.8,31,2000,01,07,OR,5,406,15.2,-3.4,16.0,-4.2,1
12.0,29,2000,01,08,OR,5,406,15.5,-3.5,16.5,-4.5,1
12.8,27,2000,01,09,OR,5,406,15.8,-3.0,16.9,-4.1,1
14.4,30,2000,01,10,OR,5,406,16.1,-1.7,17.3,-2.9,1
18.1,25,2000,01,11,OR,5,406,16.3,1.8,17.8,0.3,1
20.4,20,2000,01,12,OR,5,406,16.6,3.8,18.2,2.2,1
20.5,29,2000,01,13,OR,5,406,16.9,3.6,18.6,1.9,1
21.9,31,2000,01,14,OR,5,406,17.1,4.8,18.9,3.0,1
22.9,31,2000,01,15,OR,5,406,17.3,5.6,19.1,3.8,1
23.5,27,2000,01,16,OR,5,406,17.6,5.9,19.2,4.3,1
23.8,25,2000,01,17,OR,5,406,17.8,6.0,19.4,4.4,1
24.0,30,2000,01,18,OR,5,406,18.0,6.0,19.6,4.4,1
24.0,32,2000,01,19,OR,5,406,18.3,5.7,19.8,4.2,1
24.0,30,2000,01,20,OR,5,406,18.6,5.4,20.0,4.0,1
24.1,26,2000,01,21,OR,5,406,18.9,5.2,20.2,3.9,1
24.6,26,2000,01,22,OR,5,406,19.2,5.4,20.4,4.2,1
24.8,28,2000,01,23,OR,5,406,19.5,5.3,20.6,4.2,1
25.2,32,2000,01,24,OR,5,406,19.8,5.4,20.7,4.5,1
25.7,30,2000,01,25,OR,5,406,20.1,5.6,20.9,4.8,1
26.0,23,2000,01,26,OR,5,406,20.4,5.6,21.0,5.0,1
26.1,22,2000,01,27,OR,5,406,20.6,5.5,21.2,4.9,1
26.2,20,2000,01,28,OR,5,406,20.9,5.3,21.5,4.7,1
26.3,24,2000,01,29,OR,5,406,21.1,5.2,21.7,4.6,1
26.4,28,2000,01,30,OR,5,406,21.3,5.1,22.0,4.4,1
26.6,27,2000,01,31,OR,5,406,21.5,5.1,22.2,4.4,1
26.4,36,2000,02,01,OR,5,406,21.7,4.7,22.5,3.9,1
26.6,35,2000,02,02,OR,5,406,21.9,4.7,22.9,3.7,1
26.2,35,2000,02,03,OR,5,406,22.1,4.1,23.2,3.0,1
26.5,29,2000,02,04,OR,5,406,22.4,4.1,23.5,3.0,1
26.9,32,2000,02,05,OR,5,406,22.6,4.3,23.7,3.2,1
27.2,33,2000,02,06,OR,5,406,22.8,4.4,23.9,3.3,1
27.3,37,2000,02,07,OR,5,406,23.0,4.3,24.0,3.3,1
27.4,36,2000,02,08,OR,5,406,23.2,4.2,24.1,3.3,1
27.4,36,2000,02,09,OR,5,406,23.4,4.0,24.1,3.3,1
27.4,34,2000,02,10,OR,5,406,23.6,3.8,24.1,3.3,1
27.8,30,2000,02,11,OR,5,406,23.8,4.0,24.3,3.5,1
28.4,27,2000,02,12,OR,5,406,24.0,4.4,24.5,3.9,1
28.8,29,2000,02,13,OR,5,406,24.2,4.6,24.7,4.1,1
29.8,29,2000,02,14,OR,5,406,24.4,5.4,25.0,4.8,1
30.9,28,2000,02,15,OR,5,406,24.6,6.3,25.3,5.6,1
30.8,29,2000,02,16,OR,5,406,24.8,6.0,25.6,5.2,1
30.8,28,2000,02,17,OR,5,406,25.1,5.7,25.7,5.1,1
30.9,27,2000,02,18,OR,5,406,25.3,5.6,25.5,5.4,1
31.0,28,2000,02,19,OR,5,406,25.5,5.5,25.7,5.3,1
30.9,34,2000,02,20,OR,5,406,25.8,5.1,25.9,5.0,1
31.0,33,2000,02,21,OR,5,406,26.0,5.0,26.2,4.8,1
30.9,29,2000,02,22,OR,5,406,26.2,4.7,26.5,4.4,1
31.6,23,2000,02,23,OR,5,406,26.3,5.3,26.9,4.7,1
