swe,temp_avg,year,month,day,state,elevation,station_id,avg,avg_anomaly,median,median_anomaly,found
9.6,23,2005,01,01,UT,8,1056,7.1,2.5,5.8,3.8,1
9.7,24,2005,01,02,UT,8,1056,7.4,2.3,5.9,3.8,1
9.7,26,2005,01,03,UT,8,1056,7.6,2.1,6.1,3.6,1
9.7,21,2005,01,04,UT,8,1056,7.8,1.9,6.3,3.4,1
9.7,17,2005,01,05,UT,8,1056,8.0,1.7,6.6,3.1,1
9.7,15,2005,01,06,UT,8,1056,8.2,1.5,6.8,2.9,1
9.9,17,2005,01,07,UT,8,1056,8.4,1.5,7.1,2.8,1
10.1,27,2005,01,08,UT,8,1056,8.6,1.5,7.4,2.7,1
10.9,32,2005,01,09,UT,8,1056,8.8,2.1,7.7,3.2,1
11.5,31,2005,01,10,UT,8,1056,9.0,2.5,7.9,3.6,1
12.5,29,2005,01,11,UT,8,1056,9.2,3.3,8.0,4.5,1
13.2,16,2005,01,12,UT,8,1056,9.3,3.9,8.2,5.0,1
13.2,18,2005,01,13,UT,8,1056,9.4,3.8,8.3,4.9,1
13.2,22,2005,01,14,UT,8,1056,9.5,3.7,8.3,4.9,1
13.2,28,2005,01,15,UT,8,1056,9.6,3.6,8.4,4.8,1
13.3,31,2005,01,16,UT,8,1056,9.6,3.7,8.4,4.9,1
13.2,31,2005,01,17,UT,8,1056,9.7,3.5,8.4,4.8,1
13.2,33,2005,01,18,UT,8,1056,9.7,3.5,8.4,4.8,1
13.2,40,2005,01,19,UT,8,1056,9.8,3.4,8.5,4.7,1
13.2,45,2005,01,20,UT,8,1056,9.9,3.3,8.5,4.7,1
13.2,37,2005,01,21,UT,8,1056,9.9,3.3,8.6,4.6,1
13.2,39,2005,01,22,UT,8,1056,10.0,3.2,8.7,4.5,1
13.2,40,2005,01,23,UT,8,1056,10.2,3.0,8.9,4.3,1
13.2,40,2005,01,24,UT,8,1056,10.3,2.9,9.1,4.1,1
13.1,34,2005,01,25,UT,8,1056,10.4,2.7,9.3,3.8,1
13.0,35,2005,01,26,UT,8,1056,10.5,2.5,9.6,3.4,1
13.0,31,2005,01,27,UT,8,1056,10.6,2.4,9.8,3.2,1
13.0,31,2005,01,28,UT,8,1056,10.8,2.2,10.0,3.0,1
13.0,30,2005,01,29,UT,8,1056,10.9,2.1,10.2,2.8,1
13.0,26,2005,01,30,UT,8,1056,11.0,2.0,10.3,2.7,1
12.9,24,2005,01,31,UT,8,1056,11.1,1.8,10.3,2.6,1
12.9,23,2005,02,01,UT,8,1056,11.3,1.6,10.4,2.5,1
12.9,27,2005,02,02,UT,8,1056,11.4,1.5,10.4,2.5,1
12.9,36,2005,02,03,UT,8,1056,11.6,1.3,10.5,2.4,1
12.9,34,2005,02,04,UT,8,1056,11.7,1.2,10.5,2.4,1
12.9,26,2005,02,05,UT,8,1056,11.8,1.1,10.5,2.4,1
12.9,25,2005,02,06,UT,8,1056,11.9,1.0,10.6,2.3,1
13.1,21,2005,02,07,UT,8,1056,12.1,1.0,10.7,2.4,1
13.2,16,2005,02,08,UT,8,1056,12.2,1.0,10.7,2.5,1
13.2,24,2005,02,09,UT,8,1056,12.3,0.9,10.8,2.4,1
13.2,32,2005,02,10,UT,8,1056,12.4,0.8,11.0,2.2,1
13.2,31,2005,02,11,UT,8,1056,12.5,0.7,11.1,2.1,1
13.3,29,2005,02,12,UT,8,1056,12.7,0.6,11.2,2.1,1
13.5,31,2005,02,13,UT,8,1056,12.8,0.7,11.4,2.1,1
13.5,29,2005,02,14,UT,8,1056,13.0,0.5,11.5,2.0,1
14.7,18,2005,02,15,UT,8,1056,13.1,1.6,11.7,3.0,1
14.8,20,2005,02,16,UT,8,1056,13.3,1.5,11.9,2.9,1
14.8,29,2005,02,17,UT,8,1056,13.4,1.4,12.1,2.7,1
14.8,32,2005,02,18,UT,8,1056,13.5,1.3,12.3,2.5,1
14.9,29,2005,02,19,UT,8,1056,13.6,1.3,12.4,2.5,1
15.5,29,2005,02,20,UT,8,1056,13.7,1.8,12.5,3.0,1
16.1,31,2005,02,21,UT,8,1056,13.8,2.3,12.7,3.4,1
16.1,29,2005,02,22,UT,8,1056,13.8,2.3,12.7,3.4,1
16.1,26,2005,02,23,UT,8,1056,14.0,2.1,12.8,3.3,1
16.1,30,2005,02,24,UT,8,1056,14.0,2.1,12.9,3.2,1
16.1,32,2005,02,25,UT,8,1056,14.1,2.0,12.9,3.2,1
16.1,30,2005,02,26,UT,8,1056,14.2,1.9,13.0,3.1,1
16.1,29,2005,02,27,UT,8,1056,14.4,1.7,13.0,3.1,1
16.1,30,2005,02,28,UT,8,1056,14.5,1.6,13.0,3.1,1
16.2,27,2005,03,01,UT,8,1056,14.6,1.6,13.0,3.2,1
16.2,34,2005,03,02,UT,8,1056,14.7,1.5,13.1,3.1,1
16.2,33,2005,03,03,UT,8,1056,14.8,1.4,13.1,3.1,1
16.2,32,2005,03,04,UT,8,1056,14.9,1.3,13.1,3.1,1
16.2,34,2005,03,05,UT,8,1056,15.0,1.2,13.2,3.0,1
16.2,33,2005,03,06,UT,8,1056,15.0,1.2,13.2,3.0,1
16.2,35,2005,03,07,UT,8,1056,15.1,1.1,13.3,2.9,1
16.2,36,2005,03,08,UT,8,1056,15.2,1.0,13.4,2.8,1
16.2,41,2005,03,09,UT,8,1056,15.3,0.9,13.4,2.8,1
16.2,40,2005,03,10,UT,8,1056,15.4,0.8,13.5,2.7,1
16.2,39,2005,03,11,UT,8,1056,15.5,0.7,13.5,2.7,1
16.3,37,2005,03,12,UT,8,1056,15.5,0.8,13.6,2.7,1
16.4,23,2005,03,13,UT,8,1056,15.6,0.8,13.6,2.8,1
16.6,21,2005,03,14,UT,8,1056,15.6,1.0,13.6,3.0,1
16.6,25,2005,03,15,UT,8,1056,15.7,0.9,13.7,2.9,1
16.6,31,2005,03,16,UT,8,1056,15.7,0.9,13.7,2.9,1
16.5,27,2005,03,17,UT,8,1056,15.7,0.8,13.6,2.9,1
16.5,28,2005,03,18,UT,8,1056,15.7,0.8,13.6,2.9,1
16.4,36,2005,03,19,UT,8,1056,15.7,0.7,13.5,2.9,1
16.4,29,2005,03,20,UT,8,1056,15.7,0.7,13.5,2.9,1
16.9,28,2005,03,21,UT,8,1056,15.7,1.2,13.5,3.4,1
17.1,31,2005,03,22,UT,8,1056,15.8,1.3,13.6,3.5,1
17.3,32,2005,03,23,UT,8,1056,15.9,1.4,13.8,3.5,1
18.1,29,2005,03,24,UT,8,1056,15.9,2.2,14.0,4.1,1
18.6,24,2005,03,25,UT,8,1056,16.1,2.5,14.3,4.3,1
18.6,24,2005,03,26,UT,8,1056,16.2,2.4,14.6,4.0,1
18.6,35,2005,03,27,UT,8,1056,16.4,2.2,14.9,3.7,1
18.8,33,2005,03,28,UT,8,1056,16.5,2.3,15.2,3.6,1
19.7,26,2005,03,29,UT,8,1056,16.7,3.0,15.5,4.2,1
19.9,21,2005,03,30,UT,8,1056,16.9,3.0,15.7,4.2,1
