swe,temp_avg,year,month,day,state,elevation,station_id,avg,avg_anomaly,median,median_anomaly,found
15.2,27,2009,01,01,WA,4,1107,34.1,-18.9,35.0,-19.8,0
16.3,16,2009,01,02,WA,4,1107,32.2,-15.9,34.0,-17.7,0
16.3,20,2009,01,03,WA,4,1107,29.7,-13.4,33.0,-16.7,0
16.8,22,2009,01,04,WA,4,1107,31.9,-15.1,33.0,-16.2,0
18.7,29,2009,01,05,WA,4,1107,33.6,-14.9,33.0,-14.3,0
18.9,33,2009,01,06,WA,4,1107,33.5,-14.6,33.0,-14.1,0
19.2,35,2009,01,07,WA,4,1107,34.0,-14.8,33.0,-13.8,0
20.1,27,2009,01,08,WA,4,1107,34.5,-14.4,33.0,-12.9,0
20.7,25,2009,01,09,WA,4,1107,31.0,-10.3,31.0,-10.3,0
20.8,30,2009,01,10,WA,4,1107,29.7,-8.9,30.0,-9.2,0
21.6,37,2009,01,11,WA,4,1107,31.3,-9.7,34.0,-12.4,0
21.5,40,2009,01,12,WA,4,1107,33.9,-12.4,35.0,-13.5,0
21.5,47,2009,01,13,WA,4,1107,36.8,-15.3,36.0,-14.5,0
21.4,53,2009,01,14,WA,4,1107,38.3,-16.9,36.0,-14.6,0
21.1,56,2009,01,15,WA,4,1107,37.0,-15.9,38.0,-16.9,0
21.0,55,2009,01,16,WA,4,1107,37.1,-16.1,36.0,-15.0,0
20.9,56,2009,01,17,WA,4,1107,38.0,-17.1,35.0,-14.1,0
20.6,55,2009,01,18,WA,4,1107,35.7,-15.1,33.0,-12.4,0
20.6,52,2009,01,19,WA,4,1107,35.1,-14.5,31.0,-10.4,0
20.5,46,2009,01,20,WA,4,1107,35.5,-15.0,32.0,-11.5,0
20.5,42,2009,01,21,WA,4,1107,35.7,-15.2,36.0,-15.5,0
20.5,40,2009,01,22,WA,4,1107,34.8,-14.3,35.0,-14.5,0
20.5,39,2009,01,23,WA,4,1107,34.5,-14.0,32.0,-11.5,0
20.4,29,2009,01,24,WA,4,1107,34.3,-13.9,31.0,-10.6,0
20.4,16,2009,01,25,WA,4,1107,33.8,-13.4,31.0,-10.6,0
20.5,20,2009,01,26,WA,4,1107,35.2,-14.7,31.0,-10.5,0
20.5,26,2009,01,27,WA,4,1107,35.1,-14.6,35.0,-14.5,0
21.0,25,2009,01,28,WA,4,1107,35.4,-14.4,36.0,-15.0,0
21.1,34,2009,01,29,WA,4,1107,35.7,-14.6,35.0,-13.9,0
21.0,37,2009,01,30,WA,4,1107,33.8,-12.8,31.0,-10.0,0
21.0,22,2009,01,31,WA,4,1107,30.7,-9.7,30.0,-9.0,0
21.1,29,2009,02,01,WA,4,1107,30.5,-9.4,32.0,-10.9,0
21.2,39,2009,02,02,WA,4,1107,34.1,-12.9,35.0,-13.8,0
21.0,46,2009,02,03,WA,4,1107,34.1,-13.1,35.0,-14.0,0
21.0,44,2009,02,04,WA,4,1107,32.1,-11.1,35.0,-14.0,0
20.9,38,2009,02,05,WA,4,1107,30.6,-9.7,34.0,-13.1,0
21.1,29,2009,02,06,WA,4,1107,29.6,-8.5,29.0,-7.9,0
21.3,35,2009,02,07,WA,4,1107,31.4,-10.1,34.0,-12.7,0
21.3,31,2009,02,08,WA,4,1107,32.0,-10.7,31.0,-9.7,0
21.4,18,2009,02,09,WA,4,1107,31.5,-10.1,31.0,-9.6,0
21.5,20,2009,02,10,WA,4,1107,31.2,-9.7,33.0,-11.5,0
22.0,24,2009,02,11,WA,4,1107,32.1,-10.1,32.0,-10.0,0
