swe,temp_avg,year,month,day,state,elevation,station_id
0.4,22,2000,01,02,AZ,7,488
1.2,17,2000,01,03,AZ,7,488
1.2,29,2000,01,04,AZ,7,488
1.2,26,2000,01,05,AZ,7,488
1.2,26,2000,01,06,AZ,7,488
1.2,25,2000,01,07,AZ,7,488
1.2,23,2000,01,08,AZ,7,488
1.2,29,2000,01,09,AZ,7,488
1.2,30,2000,01,10,AZ,7,488
1.2,32,2000,01,11,AZ,7,488
1.2,36,2000,01,12,AZ,7,488
1.2,34,2000,01,13,AZ,7,488
1.2,36,2000,01,14,AZ,7,488
1.2,37,2000,01,15,AZ,7,488
1.2,39,2000,01,16,AZ,7,488
1.2,41,2000,01,17,AZ,7,488
1.2,40,2000,01,18,AZ,7,488
1.2,38,2000,01,19,AZ,7,488
1.1,38,2000,01,20,AZ,7,488
1.0,38,2000,01,21,AZ,7,488
0.7,36,2000,01,22,AZ,7,488
0.6,34,2000,01,23,AZ,7,488
0.5,40,2000,01,24,AZ,7,488
0.5,38,2000,01,25,AZ,7,488
0.4,33,2000,01,26,AZ,7,488
0.3,40,2000,02,09,AZ,7,488
0.3,39,2000,02,10,AZ,7,488
0.3,36,2000,02,11,AZ,7,488
0.3,31,2000,02,12,AZ,7,488
0.9,32,2000,02,13,AZ,7,488
0.9,39,2000,02,14,AZ,7,488
0.4,39,2000,02,15,AZ,7,488
0.3,36,2000,02,16,AZ,7,488
0.3,27,2000,02,17,AZ,7,488
0.6,32,2000,02,18,AZ,7,488
0.6,38,2000,02,19,AZ,7,488
0.6,40,2000,02,20,AZ,7,488
0.6,35,2000,02,21,AZ,7,488
1.1,31,2000,02,22,AZ,7,488
1.1,33,2000,02,23,AZ,7,488
1.1,26,2000,02,24,AZ,7,488
1.5,24,2000,02,25,AZ,7,488
1.6,31,2000,02,26,AZ,7,488
1.7,37,2000,02,27,AZ,7,488
1.5,31,2000,02,28,AZ,7,488
1.5,34,2000,02,29,AZ,7,488
1.8,29,2000,03,01,AZ,7,488
2.0,33,2000,03,02,AZ,7,488
2.0,38,2000,03,03,AZ,7,488
2.2,40,2000,03,04,AZ,7,488
2.4,28,2000,03,05,AZ,7,488
2.7,26,2000,03,06,AZ,7,488
3.9,28,2000,03,07,AZ,7,488
4.1,30,2000,03,08,AZ,7,488
4.3,31,2000,03,09,AZ,7,488
4.4,31,2000,03,10,AZ,7,488
4.3,39,2000,03,11,AZ,7,488
4.1,38,2000,03,12,AZ,7,488
3.8,38,2000,03,13,AZ,7,488
3.5,39,2000,03,14,AZ,7,488
3.1,40,2000,03,15,AZ,7,488
2.8,37,2000,03,16,AZ,7,488
2.5,40,2000,03,17,AZ,7,488
2.1,41,2000,03,18,AZ,7,488
1.3,41,2000,03,19,AZ,7,488
1.0,28,2000,03,20,AZ,7,488
0.8,25,2000,03,21,AZ,7,488
1.2,30,2000,03,22,AZ,7,488
1.3,34,2000,03,23,AZ,7,488
0.8,37,2000,03,24,AZ,7,488
0.4,39,2000,03,25,AZ,7,488
0.1,44,2000,03,26,AZ,7,488
0.1,31,2000,03,31,AZ,7,488
0.2,32,2000,04,01,AZ,7,488
2.2,31,2001,01,01,AZ,7,488
2.2,33,2001,01,02,AZ,7,488
2.2,39,2001,01,03,AZ,7,488
2.2,41,2001,01,04,AZ,7,488
2.2,38,2001,01,05,AZ,7,488
2.2,37,2001,01,06,AZ,7,488
2.2,36,2001,01,07,AZ,7,488
2.2,35,2001,01,08,AZ,7,488
2.4,33,2001,01,09,AZ,7,488
2.7,32,2001,01,10,AZ,7,488
2.8,32,2001,01,11,AZ,7,488
3.0,25,2001,01,12,AZ,7,488
4.4,21,2001,01,13,AZ,7,488
4.4,15,2001,01,14,AZ,7,488
4.4,17,2001,01,15,AZ,7,488
4.7,20,2001,01,16,AZ,7,488
4.7,14,2001,01,17,AZ,7,488
4.7,17,2001,01,18,AZ,7,488
4.7,22,2001,01,19,AZ,7,488
4.8,31,2001,01,20,AZ,7,488
4.8,33,2001,01,21,AZ,7,488
4.8,34,2001,01,22,AZ,7,488
4.8,31,2001,01,23,AZ,7,488
4.8,31,2001,01,24,AZ,7,488
4.8,27,2001,01,25,AZ,7,488
4.8,24,2001,01,26,AZ,7,488
4.9,25,2001,01,27,AZ,7,488
5.5,22,2001,01,28,AZ,7,488
5.7,25,2001,01,29,AZ,7,488
5.7,21,2001,01,30,AZ,7,488
5.7,23,2001,01,31,AZ,7,488
5.7,28,2001,02,01,AZ,7,488
5.7,33,2001,02,02,AZ,7,488
5.7,39,2001,02,03,AZ,7,488
5.7,40,2001,02,04,AZ,7,488
5.7,38,2001,02,05,AZ,7,488
5.7,37,2001,02,06,AZ,7,488
5.7,33,2001,02,07,AZ,7,488
5.7,21,2001,02,08,AZ,7,488
5.7,20,2001,02,09,AZ,7,488
5.7,27,2001,02,10,AZ,7,488
5.7,29,2001,02,11,AZ,7,488
5.7,31,2001,02,12,AZ,7,488
5.8,28,2001,02,13,AZ,7,488
6.7,22,2001,02,14,AZ,7,488
6.9,19,2001,02,15,AZ,7,488
6.7,22,2001,02,16,AZ,7,488
6.6,29,2001,02,17,AZ,7,488
6.6,36,2001,02,18,AZ,7,488
6.5,34,2001,02,19,AZ,7,488
6.4,35,2001,02,20,AZ,7,488
6.4,34,2001,02,21,AZ,7,488
6.5,36,2001,02,22,AZ,7,488
6.5,27,2001,02,23,AZ,7,488
6.7,23,2001,02,24,AZ,7,488
6.7,32,2001,02,25,AZ,7,488
6.7,30,2001,02,26,AZ,7,488
7.0,29,2001,02,27,AZ,7,488
7.3,27,2001,02,28,AZ,7,488
7.7,28,2001,03,01,AZ,7,488
7.7,29,2001,03,02,AZ,7,488
7.7,31,2001,03,03,AZ,7,488
7.8,34,2001,03,04,AZ,7,488
7.8,39,2001,03,05,AZ,7,488
7.9,38,2001,03,06,AZ,7,488
8.0,33,2001,03,07,AZ,7,488
8.1,39,2001,03,08,AZ,7,488
7.8,35,2001,03,09,AZ,7,488
8.3,28,2001,03,10,AZ,7,488
9.0,27,2001,03,11,AZ,7,488
9.4,33,2001,03,12,AZ,7,488
9.4,33,2001,03,13,AZ,7,488
9.2,37,2001,03,14,AZ,7,488
9.1,35,2001,03,15,AZ,7,488
8.8,37,2001,03,16,AZ,7,488
8.4,35,2001,03,17,AZ,7,488
8.1,39,2001,03,18,AZ,7,488
7.5,43,2001,03,19,AZ,7,488
6.7,43,2001,03,20,AZ,7,488
6.1,44,2001,03,21,AZ,7,488
5.1,43,2001,03,22,AZ,7,488
4.3,42,2001,03,23,AZ,7,488
3.4,44,2001,03,24,AZ,7,488
2.7,43,2001,03,25,AZ,7,488
1.7,42,2001,03,26,AZ,7,488
0.3,40,2001,03,27,AZ,7,488
0.1,43,2001,03,28,AZ,7,488
0.8,33,2001,04,06,AZ,7,488
0.5,34,2001,04,07,AZ,7,488
0.2,33,2001,04,08,AZ,7,488
0.1,33,2001,04,09,AZ,7,488
0.1,26,2001,04,10,AZ,7,488
0.8,30,2001,04,11,AZ,7,488
