swe,temp_avg,year,month,day,state,elevation,station_id
19.9,25,2000,01,01,ID,5,520
20.9,21,2000,01,02,ID,5,520
21.9,20,2000,01,03,ID,5,520
22.3,28,2000,01,04,ID,5,520
24.2,24,2000,01,05,ID,5,520
24.8,23,2000,01,06,ID,5,520
24.8,26,2000,01,07,ID,5,520
24.8,27,2000,01,08,ID,5,520
25.8,23,2000,01,09,ID,5,520
27.0,21,2000,01,10,ID,5,520
27.5,23,2000,01,11,ID,5,520
27.8,20,2000,01,12,ID,5,520
27.9,26,2000,01,13,ID,5,520
28.4,32,2000,01,14,ID,5,520
29.0,26,2000,01,15,ID,5,520
29.1,33,2000,01,16,ID,5,520
29.6,27,2000,01,17,ID,5,520
29.6,28,2000,01,18,ID,5,520
29.6,28,2000,01,19,ID,5,520
29.6,31,2000,01,20,ID,5,520
29.9,28,2000,01,21,ID,5,520
30.1,25,2000,01,22,ID,5,520
30.1,26,2000,01,23,ID,5,520
30.2,32,2000,01,24,ID,5,520
30.2,31,2000,01,25,ID,5,520
31.1,24,2000,01,26,ID,5,520
31.6,21,2000,01,27,ID,5,520
31.7,20,2000,01,28,ID,5,520
31.7,23,2000,01,29,ID,5,520
31.8,27,2000,01,30,ID,5,520
31.8,26,2000,01,31,ID,5,520
31.9,32,2000,02,01,ID,5,520
32.7,31,2000,02,02,ID,5,520
34.2,30,2000,02,03,ID,5,520
34.3,33,2000,02,04,ID,5,520
34.3,34,2000,02,05,ID,5,520
34.3,35,2000,02,06,ID,5,520
34.3,38,2000,02,07,ID,5,520
35.0,38,2000,02,08,ID,5,520
35.0,29,2000,02,09,ID,5,520
35.6,29,2000,02,10,ID,5,520
35.6,26,2000,02,11,ID,5,520
36.0,28,2000,02,12,ID,5,520
36.7,26,2000,02,13,ID,5,520
37.1,32,2000,02,14,ID,5,520
38.9,26,2000,02,15,ID,5,520
39.7,27,2000,02,16,ID,5,520
39.7,22,2000,02,17,ID,5,520
39.7,21,2000,02,18,ID,5,520
39.7,28,2000,02,19,ID,5,520
39.7,36,2000,02,20,ID,5,520
39.7,37,2000,02,21,ID,5,520
39.8,36,2000,02,22,ID,5,520
39.8,31,2000,02,23,ID,5,520
40.3,24,2000,02,24,ID,5,520
40.5,25,2000,02,25,ID,5,520
40.7,30,2000,02,26,ID,5,520
41.5,34,2000,02,27,ID,5,520
42.7,29,2000,02,28,ID,5,520
43.0,31,2000,02,29,ID,5,520
43.2,31,2000,03,01,ID,5,520
43.2,34,2000,03,02,ID,5,520
43.3,36,2000,03,03,ID,5,520
43.6,39,2000,03,04,ID,5,520
43.6,34,2000,03,05,ID,5,520
43.7,31,2000,03,06,ID,5,520
43.7,31,2000,03,07,ID,5,520
43.7,34,2000,03,08,ID,5,520
43.7,31,2000,03,09,ID,5,520
43.8,31,2000,03,10,ID,5,520
43.8,27,2000,03,11,ID,5,520
44.7,28,2000,03,12,ID,5,520
44.8,33,2000,03,13,ID,5,520
44.8,29,2000,03,14,ID,5,520
45.6,28,2000,03,15,ID,5,520
45.6,29,2000,03,16,ID,5,520
46.3,25,2000,03,17,ID,5,520
47.0,31,2000,03,18,ID,5,520
48.1,24,2000,03,19,ID,5,520
48.9,24,2000,03,20,ID,5,520
48.9,31,2000,03,21,ID,5,520
48.9,41,2000,03,22,ID,5,520
49.2,28,2000,03,23,ID,5,520
50.2,31,2000,03,24,ID,5,520
50.3,35,2000,03,25,ID,5,520
50.3,38,2000,03,26,ID,5,520
50.3,40,2000,03,27,ID,5,520
51.0,28,2000,03,28,ID,5,520
51.6,27,2000,03,29,ID,5,520
52.3,32,2000,03,30,ID,5,520
52.3,36,2000,03,31,ID,5,520
52.3,39,2000,04,01,ID,5,520
52.2,40,2000,04,02,ID,5,520
51.9,46,2000,04,03,ID,5,520
51.5,43,2000,04,04,ID,5,520
50.9,31,2000,04,05,ID,5,520
50.9,27,2000,04,06,ID,5,520
52.1,33,2000,04,07,ID,5,520
52.2,46,2000,04,08,ID,5,520
51.9,45,2000,04,09,ID,5,520
51.3,46,2000,04,10,ID,5,520
50.8,47,2000,04,11,ID,5,520
50.0,48,2000,04,12,ID,5,520
49.1,41,2000,04,13,ID,5,520
48.4,35,2000,04,14,ID,5,520
48.7,38,2000,04,15,ID,5,520
48.6,38,2000,04,16,ID,5,520
48.4,46,2000,04,17,ID,5,520
47.8,49,2000,04,18,ID,5,520
46.9,44,2000,04,19,ID,5,520
46.0,45,2000,04,20,ID,5,520
45.2,49,2000,04,21,ID,5,520
44.3,37,2000,04,22,ID,5,520
43.8,33,2000,04,23,ID,5,520
43.6,33,2000,04,24,ID,5,520
43.8,34,2000,04,25,ID,5,520
44.1,41,2000,04,26,ID,5,520
43.9,55,2000,04,27,ID,5,520
42.6,32,2000,04,28,ID,5,520
42.5,35,2000,04,29,ID,5,520
42.3,50,2000,04,30,ID,5,520
41.6,53,2000,05,01,ID,5,520
40.5,42,2000,05,02,ID,5,520
39.9,44,2000,05,03,ID,5,520
39.4,35,2000,05,04,ID,5,520
39.2,36,2000,05,05,ID,5,520
39.0,37,2000,05,06,ID,5,520
38.7,41,2000,05,07,ID,5,520
38.1,41,2000,05,08,ID,5,520
37.7,36,2000,05,09,ID,5,520
37.7,31,2000,05,10,ID,5,520
37.8,30,2000,05,11,ID,5,520
38.6,36,2000,05,12,ID,5,520
39.0,44,2000,05,13,ID,5,520
38.8,48,2000,05,14,ID,5,520
38.4,52,2000,05,15,ID,5,520
37.6,52,2000,05,16,ID,5,520
36.2,46,2000,05,17,ID,5,520
34.6,47,2000,05,18,ID,5,520
33.0,44,2000,05,19,ID,5,520
31.8,47,2000,05,20,ID,5,520
30.3,53,2000,05,21,ID,5,520
28.5,50,2000,05,22,ID,5,520
26.3,45,2000,05,23,ID,5,520
24.9,49,2000,05,24,ID,5,520
23.7,47,2000,05,25,ID,5,520
22.2,43,2000,05,26,ID,5,520
21.3,46,2000,05,27,ID,5,520
20.2,43,2000,05,28,ID,5,520
18.9,43,2000,05,29,ID,5,520
18.0,41,2000,05,30,ID,5,520
17.4,34,2000,05,31,ID,5,520
17.7,46,2000,06,01,ID,5,520
17.0,54,2000,06,02,ID,5,520
15.6,53,2000,06,03,ID,5,520
13.9,62,2000,06,04,ID,5,520
12.0,60,2000,06,05,ID,5,520
10.1,53,2000,06,06,ID,5,520
8.0,56,2000,06,07,ID,5,520
5.5,45,2000,06,08,ID,5,520
4.0,40,2000,06,09,ID,5,520
3.0,36,2000,06,10,ID,5,520
3.2,40,2000,06,11,ID,5,520
2.2,43,2000,06,12,ID,5,520
1.4,45,2000,06,13,ID,5,520
0.4,51,2000,06,14,ID,5,520
13.5,29,2001,01,01,ID,5,520
13.5,36,2001,01,02,ID,5,520
