swe,temp_avg,year,month,day,state,elevation,station_id
15.6,13,2011,01,01,NV,10,1147
15.7,18,2011,01,02,NV,10,1147
15.7,12,2011,01,03,NV,10,1147
15.7,12,2011,01,04,NV,10,1147
15.7,20,2011,01,05,NV,10,1147
15.7,23,2011,01,06,NV,10,1147
15.7,23,2011,01,07,NV,10,1147
15.7,25,2011,01,08,NV,10,1147
15.7,9,2011,01,09,NV,10,1147
15.7,0,2011,01,10,NV,10,1147
15.7,22,2011,01,11,NV,10,1147
16.0,27,2011,01,12,NV,10,1147
16.0,31,2011,01,13,NV,10,1147
16.0,29,2011,01,14,NV,10,1147
15.8,30,2011,01,15,NV,10,1147
15.7,38,2011,01,16,NV,10,1147
15.5,35,2011,01,17,NV,10,1147
15.4,30,2011,01,18,NV,10,1147
15.4,22,2011,01,19,NV,10,1147
15.4,26,2011,01,20,NV,10,1147
15.4,31,2011,01,21,NV,10,1147
15.4,25,2011,01,22,NV,10,1147
15.4,24,2011,01,23,NV,10,1147
15.4,28,2011,01,24,NV,10,1147
15.3,24,2011,01,25,NV,10,1147
15.2,21,2011,01,26,NV,10,1147
15.2,27,2011,01,27,NV,10,1147
15.2,30,2011,01,28,NV,10,1147
15.2,30,2011,01,29,NV,10,1147
15.2,25,2011,01,30,NV,10,1147
15.5,16,2011,01,31,NV,10,1147
15.5,-1,2011,02,01,NV,10,1147
15.6,3,2011,02,02,NV,10,1147
15.6,22,2011,02,03,NV,10,1147
15.6,29,2011,02,04,NV,10,1147
15.6,26,2011,02,05,NV,10,1147
15.6,25,2011,02,06,NV,10,1147
15.6,26,2011,02,07,NV,10,1147
16.0,10,2011,02,08,NV,10,1147
16.0,6,2011,02,09,NV,10,1147
16.0,15,2011,02,10,NV,10,1147
16.0,20,2011,02,11,NV,10,1147
16.0,32,2011,02,12,NV,10,1147
16.0,35,2011,02,13,NV,10,1147
16.0,33,2011,02,14,NV,10,1147
16.0,35,2011,02,15,NV,10,1147
16.0,22,2011,02,16,NV,10,1147
16.3,15,2011,02,17,NV,10,1147
16.3,22,2011,02,18,NV,10,1147
16.3,20,2011,02,19,NV,10,1147
16.8,12,2011,02,20,NV,10,1147
16.9,15,2011,02,21,NV,10,1147
16.9,18,2011,02,22,NV,10,1147
17.0,20,2011,02,23,NV,10,1147
17.0,19,2011,02,24,NV,10,1147
17.2,19,2011,02,25,NV,10,1147
18.4,14,2011,02,26,NV,10,1147
19.3,14,2011,02,27,NV,10,1147
19.3,26,2011,02,28,NV,10,1147
19.3,31,2011,03,01,NV,10,1147
19.3,32,2011,03,02,NV,10,1147
19.3,24,2011,03,03,NV,10,1147
19.4,22,2011,03,04,NV,10,1147
19.5,31,2011,03,05,NV,10,1147
19.6,28,2011,03,06,NV,10,1147
19.7,20,2011,03,07,NV,10,1147
20.5,21,2011,03,08,NV,10,1147
20.5,31,2011,03,09,NV,10,1147
20.5,36,2011,03,10,NV,10,1147
20.5,36,2011,03,11,NV,10,1147
20.5,31,2011,03,12,NV,10,1147
20.5,32,2011,03,13,NV,10,1147
20.5,35,2011,03,14,NV,10,1147
20.5,37,2011,03,15,NV,10,1147
20.6,33,2011,03,16,NV,10,1147
21.1,22,2011,03,17,NV,10,1147
21.1,29,2011,03,18,NV,10,1147
21.1,20,2011,03,19,NV,10,1147
21.4,22,2011,03,20,NV,10,1147
21.6,18,2011,03,21,NV,10,1147
22.2,17,2011,03,22,NV,10,1147
22.4,23,2011,03,23,NV,10,1147
22.5,21,2011,03,24,NV,10,1147
22.9,20,2011,03,25,NV,10,1147
23.4,24,2011,03,26,NV,10,1147
23.7,27,2011,03,27,NV,10,1147
23.6,23,2011,03,28,NV,10,1147
23.6,26,2011,03,29,NV,10,1147
23.5,36,2011,03,30,NV,10,1147
23.7,42,2011,03,31,NV,10,1147
23.5,44,2011,04,01,NV,10,1147
23.3,41,2011,04,02,NV,10,1147
24.0,19,2011,04,03,NV,10,1147
24.4,32,2011,04,04,NV,10,1147
24.5,41,2011,04,05,NV,10,1147
24.4,31,2011,04,06,NV,10,1147
24.7,24,2011,04,07,NV,10,1147
26.2,15,2011,04,08,NV,10,1147
26.6,15,2011,04,09,NV,10,1147
26.6,20,2011,04,10,NV,10,1147
26.6,28,2011,04,11,NV,10,1147
26.6,31,2011,04,12,NV,10,1147
26.8,28,2011,04,13,NV,10,1147
26.8,25,2011,04,14,NV,10,1147
26.9,35,2011,04,15,NV,10,1147
27.0,40,2011,04,16,NV,10,1147
27.0,42,2011,04,17,NV,10,1147
26.9,36,2011,04,18,NV,10,1147
