swe,temp_avg,year,month,day,state,elevation,station_id
2.4,31,2000,01,01,OR,3,687
3.2,29,2000,01,02,OR,3,687
3.7,32,2000,01,03,OR,3,687
4.1,33,2000,01,04,OR,3,687
4.7,31,2000,01,05,OR,3,687
4.7,29,2000,01,06,OR,3,687
4.5,34,2000,01,07,OR,3,687
4.5,33,2000,01,08,OR,3,687
5.0,32,2000,01,09,OR,3,687
5.9,31,2000,01,10,OR,3,687
7.6,28,2000,01,11,OR,3,687
8.9,28,2000,01,12,OR,3,687
9.8,32,2000,01,13,OR,3,687
10.9,32,2000,01,14,OR,3,687
11.4,25,2000,01,15,OR,3,687
11.7,31,2000,01,16,OR,3,687
12.0,29,2000,01,17,OR,3,687
12.1,29,2000,01,18,OR,3,687
12.0,28,2000,01,19,OR,3,687
12.1,32,2000,01,20,OR,3,687
12.2,33,2000,01,21,OR,3,687
12.2,33,2000,01,22,OR,3,687
12.1,26,2000,01,23,OR,3,687
12.3,27,2000,01,24,OR,3,687
12.5,31,2000,01,25,OR,3,687
12.7,31,2000,01,26,OR,3,687
12.7,28,2000,01,27,OR,3,687
12.7,27,2000,01,28,OR,3,687
12.7,20,2000,01,29,OR,3,687
12.7,21,2000,01,30,OR,3,687
12.8,30,2000,01,31,OR,3,687
13.5,39,2000,02,01,OR,3,687
13.1,36,2000,02,02,OR,3,687
12.9,34,2000,02,03,OR,3,687
13.1,33,2000,02,04,OR,3,687
13.3,34,2000,02,05,OR,3,687
13.6,36,2000,02,06,OR,3,687
13.8,38,2000,02,07,OR,3,687
13.9,39,2000,02,08,OR,3,687
13.9,33,2000,02,09,OR,3,687
13.8,33,2000,02,10,OR,3,687
14.1,34,2000,02,11,OR,3,687
14.5,33,2000,02,12,OR,3,687
14.8,31,2000,02,13,OR,3,687
15.3,33,2000,02,14,OR,3,687
15.8,33,2000,02,15,OR,3,687
16.3,32,2000,02,16,OR,3,687
16.4,33,2000,02,17,OR,3,687
16.5,31,2000,02,18,OR,3,687
16.6,30,2000,02,19,OR,3,687
16.7,32,2000,02,20,OR,3,687
16.8,37,2000,02,21,OR,3,687
16.9,35,2000,02,22,OR,3,687
17.1,32,2000,02,23,OR,3,687
16.9,29,2000,02,24,OR,3,687
17.0,30,2000,02,25,OR,3,687
